,countRef,openDate,sector,employer,employerType,jobTitle,type,countries
618,619,20220227,university,University of Bristol,U,Lecturer in Quantum Engineering Technologies,F,GB
619,620,20210505,university,University of Southampton,U,"PhD Studentship, Quantum, Light and Matter Group",A,GB
620,621,20220826,"an application-oriented research institute in the fields of high-frequency electronics, photonics and quantum physics","Ferdinand Braun Institute, Leibniz Institute for High Frequency Technology (FBH)",O,Scientific member of staff / (m/f/d) Development and micro-integration of micromechanical-optical setups for atom-based quantum sensors - 36/22,A,DE
621,622,20220211,,Riverlane,O,Hardware Verification Engineer,A,GB
622,623,20220902,,Quantum Brilliance,O,Executive Assistant to the GM,A,DE
623,624,20211108,university,University of Edinburgh,U,Senior Research Programmer,A,GB
624,625,20211026,,Julich Supercomputing Centre / Forschungszentrum Julich,O,Postdoc- Optimal Control and ML Optimization of Open-System Solid State Qubits,P,DE
625,626,20220212,a quantum computing hardware and software company,Oxford Quantum Circuits,O,HR Assistant,A,GB
626,627,20210720,a cutting edge technology company,Quantum Detectors,O,Design Engineer,A,GB
627,628,20210501,,UK Research & Innovation (UKRI),O,Superconducting Hardware Technology Development Manager,A,GB
628,629,20220219,university,Technical University of Munich (TUM),U,"Full-Time Research Assistant (m/f/d): Compiler, Runtime-Environments and Algorithms for Superconducting Qubits-based Digital Quantum Computers",A,DE
629,630,20210628,a global hospitality company,The One Group,O,Detector Scientist,A,GB
630,631,20220615,university,Dresden University of Technology,U,Chair (W2) of High-Field Terahertz Physics combined with the position of a head of department at the HZDR,A,DE
631,632,20221118,,Physikalisch-Technische Bundesanstalt (PTB),O,Doctoral candidate or postdoc in the field of quantum sensor systems for medical purposes,P,DE
632,633,20220608,independent quantum computing company,Cambridge Quantum Computing,O,"CiQ:22 General Interest in Quantinuum, Bristol University",A,GB
633,634,20210717,university,University of Edinburgh,U,Research Associate,A,GB
634,635,20220222,university,Universitat Hamburg,U,Research Associate for the Project Cluster of Excellence CUI: Advanced Imaging of Matter- Quantum optical technology and entanglement control in the x-ray regime,A,DE
635,636,20220409,independent quantum computing company,Cambridge Quantum Computing,O,Senior Scientific Software Engineer - Quantum Software,A,GB
636,637,20201115,a UK company developing a completely new approach towards quantum computing,ORCA Computing,O,Quantum Theorist / Architect,A,GB
637,638,20220510,,Julich Supercomputing Centre / Forschungszentrum Julich,O,Master Thesis for Scalasca Performance Analysis Group,A,DE
638,639,20220810,the world's leading applied research organisation,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Speculative application for the department Opto-mechatronical Components and Systems (IOF-2022-56),A,DE
639,640,20210410,technology company,Microsoft,O,Structural Characterization Engineer,A,DK
640,641,20210626,university,Technical University of Munich (TUM),U,"PhD Students and Postdocs: Design Automation and Software for Quantum Computing, Microfluidics, or Conventional Circuits and Systems",P,DE
641,642,20210308,a technology company,IBM,O,Research Software Engineer - Delivering Client Impact,A,GB
642,643,20220622,symmetric encryption reborn for the cloud,ArQit Limited,O,Facilities Manager,A,GB
643,644,20211208,university,The University of Manchester,U,Research Associate in Atomic Resolution Scanning Transmission Electron Microscopy and Atom Manipulation,A,GB
644,645,20220328,a research institute of the Max Planck Society,Max Planck Institute for Chemical Physics of Solids,O,PhD Position (m/f/d) in Quantum Material Physics,A,DE
645,646,20220210,,T-Systems International GmbH,O,Quantum Computing Solutions Engineer (m/f/d),A,DE
646,647,20220728,university,Technical University of Munich (TUM),U,Student assistant for outreach activities as part of the Munich Quantum Valley (m/f/d),I,DE
647,648,20220124,university,Carl von Ossietzky Universitt Oldenburg,U,"Postdoc-position in Animal Behavior (m,f,d);E13",P,DE
648,649,20220720,,IC Resources,O,Compiler Engineer,A,GB
649,650,20210310,information technology company,E.ON Digital Technology GmbH,O,Working Student (m/f/d) - Quantum Computing,A,DE
650,651,20220802,university,Heriot Watt University,U,Research Associate in Connectorising Integrated Quantum Photonics Devices,A,GB
651,652,20210508,independent quantum computing company,Cambridge Quantum Computing,O,Senior Sales Executive - Cybersecurity - UK. Travel to offices in London and Cambridge as required (remote working in UK).,A,GB
652,653,20220216,university,Universitat Paderborn,U,Institute for Photonic Quantum Systems (PhoQS),A,DE
653,654,20220110,university,Universitat Hamburg,U,Research Associate for the Project Cluster of Excellence Quantum Universe Categorification in Quantum Topology,A,DE
654,655,20210721,,Evi Technologies Limited,O,Senior Quantum Research Scientist,A,GB
655,656,20210419,university,University of Southampton,U,Research Fellow in Coherent Diffraction Imaging,A,GB
656,657,20220129,university,Technical University of Munich (TUM),U,PhD Student Position: Materials and Interfaces of Superconducting Qubit Devices,A,DE
657,658,20211222,,Atos,O,IT Consultant - Quantum Computing (m/w/d),A,DE
658,659,20220407,one of the world's leading producers of software for the management of business processes,SAP,O,(Senior) Developer (f/m/d) for Applied Research on Quantum Optimization,A,DE
659,660,20221027,an international pioneer in the aerospace industry,Airbus,O,Internship in the field of Quantum Computing in Operational Analysis (d/m/f),I,DE
660,661,20211114,a world leader in the manufacture of magnetic shielding technology,Magnetic Shields Ltd.,O,Senior Electronics Engineer,A,GB
661,662,20210508,university,Universitat Hamburg,U,Research Associate for the Project Cluster of Excellence CUI: Advanced Imaging of Matter- Rydberg Quantum Lattices,A,DE
662,663,20220701,university,King's College London,U,Research Associate,A,GB
663,664,20210909,university,University of Warwick,U,Research Fellow,A,GB
664,665,20210418,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Assistant,A,GB
665,666,20220608,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",Science and Technology Facilities Council (STFC),O,Head of Quantum Technologies - NQCC,A,GB
666,667,20220510,cybersecurity company,PQShield,O,Cryptography Architect,A,GB
667,668,20211223,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",Science and Technology Facilities Council (STFC),O,Hardware Engineer,A,GB
668,669,20220711,a cutting edge technology company,Quantum Detectors,O,Finance Manager,A,GB
669,670,20211108,university,University of Cambridge,U,Research Associates in Theoretical Physics (Fixed Term),A,GB
670,671,20220615,university,Technical University of Munich (TUM),U,Project Manager (m/f/d) Munich Quantum Valley,A,DE
671,672,20210929,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",Science and Technology Facilities Council (STFC),O,Postdoctoral Research Associate - Experimental Condensed Matter Physics,P,GB
672,673,20221028,,Julich Supercomputing Centre / Forschungszentrum Julich,O,Research Software Engineer / Quantum Cloud Engineer for the JUNIQ cloud platform,A,DE
673,674,20220426,university,University of Oxford,U,Postdoctoral Research Assistant in Thermodynamics at the Nanoscale,P,GB
674,675,20211002,university,University of Glasgow,U,Research Associate,A,GB
675,676,20221110,university,Dresden University of Technology,U,Scientific employee (m/f/d),A,DE
676,677,20220118,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Recruitment Assistant,A,GB
677,678,20220112,American tech multinational,Amazon,O,"Sr. Consultant, Quantum and Optimization solutions",A,DE
678,679,20210702,international state-of-the-art competence center for science & technology as well as service & transfer for innovations in and by crystalline materials,Leibniz Institute for Crystal Growth (IKZ),O,PhD Student Position (m/f/d) - KZ 22,A,DE
679,680,20220902,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,Senior Embedded Software Engineer,A,DE
680,681,20210904,British luxury automobile maker,Rolls-Royce,O,Quantum Computationsal Science Specialist,A,GB
681,682,20210814,"electronic capital goods for industry, infrastructure operators and government customers",Rohde & Schwarz GmbH & Co. KG,O,Forschung & Entwicklung Quantum Computing Security (m/w/d),A,DE
682,683,20210324,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,Quanteningenieur/in,A,DE
683,684,20220812,"the world's leading manufacturer of premium automobiles and motorcycles, and provider of premium financial and mobility services",BMW Group,O,Master's student in the field of Quantum Computing Benchmark Framework for Machine Learning (f/m/x),I,DE
684,685,20220511,a fast-growing consultancy focused on solving problems with Data Science and the right organizational frameworks as their backbone,Machine Learning Reply,O,Senior Quantum Computing Developer (m/f/d),A,DE
685,686,20210402,"a German educational
institution focused on research, teaching, and innovation",Karlsruhe Institute of Technology (KIT),O,Research Associate (f/m/d),A,DE
686,687,20210322,university,University of Edinburgh,U,Research Associate,A,GB
687,688,01/11/2022,Developer of quantum computing technologies,Oxford Ionics,O,Quantum Architect (Remote or On-Site),A,GB
688,689,20220810,the world's leading applied research organisation,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Researcher in Quantum Cryptography (IOF-2022-27),A,DE
689,690,20220119,a global financial services provider,Standard Chartered,O,Quantum Computing Specialist,A,GB
690,691,20220623,independent quantum computing company,Cambridge Quantum Computing,O,Senior Quantum Optics/Photonics Engineer,A,GB
691,692,20221207,university,Technical University of Munich (TUM),U,The institute for communications engineering offers a position for a doctoral or young postdoctoral candidate with the topic Communication and coding in quantum networks (TV-L E13) (f/m/x),P,DE
692,693,20210501,,Bosch Group,O,Research Scientist Quantum Sensors,A,DE
693,694,20220609,IoT security company,ANGOKA,O,Assistant Business Development Assistant to Chairman,A,GB
694,695,20220714,university,Imperial College London,U,Research Assistant / Associate in Quantum algorithms for the simulation of turbulent flows,A,GB
695,696,20220810,,IC Resources,O,DevOps Engineer,A,GB
696,697,20220401,,Evi Technologies Limited,O,"Sr Technical Product Manager-External Services, Quantum Technologies",A,GB
697,698,20220106,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Systems Integration Engineer,A,GB
698,699,20211003,,Council Of Scientific And Industrial Research–National Physical Laboratory (CSIR–NPL),O,Quantum Technology Standards Manager,A,GB
699,700,20220421,university,Friedrich-Schiller-Universitt Jena,U,Research Associate (m/f/d) at the Quantum Hub Thringen,A,DE
700,701,20211016,,Fraunhofer-Institut fr Angewandte Optik und Feinmechanik,O,Photonics Engineer for Quantum Computing,A,DE
701,702,20220830,,Julich Supercomputing Centre / Forschungszentrum Julich,O,Postdoc in the domain of coherent spin shuttling for scaling semiconductor qubits,P,DE
702,703,20220129,university,The University of Manchester,U,Chair in Quantum Science or Quantum Engineering,A,GB
703,704,20211023,test and measurement company,Zurich Instruments,O,Application Scientist Quantum Technologies,A,DE
704,705,20210618,university,University of Cambridge,U,Research Assistant/Associate in Quantum Dot Display Technology (Fixed Term),A,GB
705,706,20210217,"provides software for materials scientists in the chemical industry, as well as in academia",HQS Quantum Simulations,O,PhD candidtate for quantum computing in multi-scale simulations (m/f/x),A,DE
706,707,20220402,university,University of Oxford,U,Postdoctoral Research Assistant in Superconducting Quantum Circuits,P,GB
707,708,20220815,cloud infrastructure company for quantum computing,Quantum Machines,O,International Sales Manager,A,DK
708,709,20220801,a technology company,IBM,O,"Research Software Engineer, Accelerated Discovery",A,GB
709,710,20220804,a research organization,Rand,O,Quantitative Research Analyst - Science and Emerging Technologies,A,GB
710,711,20210622,a world-class manufacturer of high-quality solid-state and ultrafast laser sources,Laser Quantum,O,Development Engineer (Software & Firmware),A,GB
711,712,20210312,quantum computing hardware company,IQM,O,"Business Development Manager (m/f/d) - (Munich, Germany), (Espoo, Finland)",A,DE
712,713,20211030,university,University of Southampton,U,"Research Fellow, Photonic Systems Circuits and Sensors Group",A,GB
713,714,20220610,university,Carl von Ossietzky Universitt Oldenburg,U,"Research Associate (m/f/d), E13",A,DE
714,715,20220112,cloud infrastructure company for quantum computing,Quantum Machines,O,Scientific Business Development Manager (EMEA),A,DE
715,716,20210306,,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,"Theoretical Physics, Quantum Physics",A,DE
716,717,20220101,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Business Development Lead,A,GB
717,718,20210615,symmetric encryption reborn for the cloud,ArQit Limited,O,Security Architect,A,GB
718,719,20220824,university,University College London,U,Research Fellow in Quantum Simulation and Quantum Machine Learning,A,GB
719,720,20210508,university,University of York,U,Research Associate,A,GB
720,721,20220110,an award-winning photonics technology spin-out from the University of Oxford,Quantum Dice,O,Cryptographer,A,GB
721,722,20210731,university,Heriot Watt University,U,Research Associate in satellite quantum photonics,A,GB
722,723,20220130,university,University of Glasgow,U,"Research Associate/Fellow, QUEST Programme Grant Co-ordinator",A,GB
723,724,20210310,a technology company,IBM,O,Quantum Qiskit Core Developer - Qiskit Runtime,A,GB
724,725,20220719,,IC Resources,O,Quantum Engineer,A,GB
725,726,20220106,a quantum computing hardware and software company,Oxford Quantum Circuits,O,DevOps Engineer,A,GB
726,727,20210313,symmetric encryption reborn for the cloud,ArQit Limited,O,Software Engineer,A,GB
727,728,20210805,symmetric encryption reborn for the cloud,ArQit Limited,O,Senior Software Engineer - satellite software,A,GB
728,729,20220308,develops sensor solutions for defence and security applications,HENSOLDT Cyber GmbH,O,Cryptography Expert - Software (w/m/d),A,DE
729,730,20210821,Developer of quantum computing technologies,Oxford Ionics,O,Head of Partnerships,A,GB
730,731,20210527,develops and manufactures high-end laser systems for scientific and industrial applications,TOPTICA Photonics,O,Development engineer * optics for laser systems,A,DE
731,732,20210519,telecommunications company,Nu Quantum,O,Detector Scientist,A,GB
732,733,20220124,multinational company,Merck KGaA Darmstadt Germany,O,Quantum Computing Scientist (all genders) (Full- / Part-time),A,DE
733,734,20220504,,IC Resources,O,Senior Firmware Engineer,A,GB
734,735,20220422,develops and manufactures high-end laser systems for scientific and industrial applications,TOPTICA Photonics,O,Physicist / Development Engineer Ultra-Narrowband Laser Systems,A,DE
735,736,20220511,cybersecurity company,PQShield,O,Software Security Engineer,A,GB
736,737,20211124,"provides software for materials scientists in the chemical industry, as well as in academia",HQS Quantum Simulations,O,Systemadministrator (m/w/d),A,DE
737,738,20220714,independent quantum computing company,Cambridge Quantum Computing,O,Senior Backend Engineer,A,GB
738,739,20220312,symmetric encryption reborn for the cloud,ArQit Limited,O,Experienced Software Engineers,A,GB
739,740,20210626,independent quantum computing company,Cambridge Quantum Computing,O,Quantum Data Scientist (Project Implementation),A,GB
740,741,20201115,a UK company developing a completely new approach towards quantum computing,ORCA Computing,O,Quantum Programme Manager,A,GB
741,742,20220706,,T-Systems International GmbH,O,Senior Product Manager Quantum Computing (m/f/d),A,DE
742,743,20211217,independent quantum computing company,Cambridge Quantum Computing,O,Scientific Software Developer - Quantum Software,A,GB
743,744,20220621,major Japanese manufacturer of computers and electronic devices for consumers and industry,Toshiba,O,Industrial CASE PhD Studentship in Next Generation Quantum Communication Systems,A,GB
744,745,20220826,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Research Associate for Quantum Machine Learning and Quantum Computing,A,DE
745,746,20210217,,SpinUp AI,O,Algorithmic Trading Quant - Quantum Computing Start Up,A,GB
746,747,20210423,university,Universitat Hamburg,U,Research Associate for the project &quot;Cluster of Excellence CUI: Advanced Imaging of Matter-Emergent 2D Quantum Phases in Atomically Crafted Spin Lattices&quot;,A,DE
747,748,20220901,a cutting edge technology company,Quantum Detectors,O,Warehouse Assistant,A,GB
748,749,20211026,a technology company,IBM,O,Development Engineer Processor Logic Designer (m / f / x),A,DE
749,750,20210828,university,Lancaster University,U,Lecturer in Physics (Condensed Matter Theory),F,GB
750,751,20210724,university,Imperial College London,U,Research Assistant / Research Associate,A,GB
751,752,20220820,,IC Resources,O,Senior C++ Software Engineer,A,GB
752,753,20220112,university,Technical University of Munich (TUM),U,Scientific Researcher for Architecture and Hardware Design (m/f/d),A,DE
753,754,20211202,university,University of Southampton,U,Research Fellow in Quantum Photonics,A,GB
754,755,20220428,cybersecurity company,PQShield,O,Senior Account Executive - Europe,A,GB
755,756,20220311,,Siemens Energy,O,Senior Contract Manager (f/m/d) Project Execution/ Senior Delay and Quantum Expert,A,DE
756,757,20221125,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Innovation Scientist* Quantum Communication / Systems Engineering / Photonic Networks,A,DE
757,758,20220113,university,Saarland University,U,Academic research assistant (m/f/x),A,DE
758,759,20210924,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",Science and Technology Facilities Council (STFC),O,Programme Manager,A,GB
759,760,20220716,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,PhD student on the topic: Quantum Security IP,A,DE
760,761,20220322,a leading-edge photonics company,UniKLasers,O,Optical R&D Engineer,A,GB
761,762,20211217,your experienced partner concerning the search and selection of excellent technical and high-level personnel in the expanding High-Tech world,beratungsgruppe wirth + partner,O,Developer/Engineer in Laser Technology - QUBIG GmbH,A,DE
762,763,20211001,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Quantum Engineer,A,GB
763,764,20220327,Developer of quantum computing software designed to transform experimental technology into commercial products,Riverlane,O,Recruitment Admin Assistant,A,GB
764,765,20220425,symmetric encryption reborn for the cloud,ArQit Limited,O,Product Marketing Director,A,GB
765,766,20220424,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Partnerships Lead,A,GB
766,767,20210906,university,University of Bristol,U,Business Pre-Incubation Manager,A,GB
767,768,20210917,,Cambridge Quantum Computing,O,QNLP Product Evangelist,A,GB
768,769,20211014,,Fraunhofer-Institut fr Angewandte Festkrperphysik,O,Scientist in Quantum Computing,A,DE
769,770,20211012,multinational technology company,Intel,O,PQC Cryptographer,A,GB
770,771,20211222,symmetric encryption reborn for the cloud,ArQit Limited,O,DevOps Engineer,A,GB
771,772,20220113,university,University of Sussex,U,Senior Project Manager (Ion Quantum Technology Group),A,GB
772,773,20210708,a cutting edge technology company,Quantum Detectors,O,Technical Buyer,A,GB
773,774,20211211,university,University of Oxford,U,"Technology Associate, QCS Hub",A,GB
774,775,20220726,university,Technical University of Munich (TUM),U,Student assistants (m/f/d) to support the development of the Quantum Social Lab,I,DE
775,776,20211219,,KETS Quantum Security Ltd,O,Senior / ASIC Engineer,A,GB
776,777,20210513,university,Leibniz Universitat Hanover,U,Junior Research Group Leader in Cloud-based Quantum Technologies,A,DE
777,778,20220126,a technology company,IBM,O,Internship: Quantum Control Electronic Firmware Developer (m/w/x),I,DE
778,779,20220125,university,University of Southampton,U,"PhD Studentship, Zepler Institute for Photonics and Nanoelectronics",A,GB
779,780,20220104,,Julich Supercomputing Centre / Forschungszentrum Julich,O,PhD Position Cryogenic Digital-to-Analog Converter Design in CMOS for Quantum Computing Applications,A,DE
780,781,20220223,university,University of Dundee,U,Quantum Mechanics Specialist,A,GB
781,782,20211013,university,Technical University of Munich (TUM),U,3 PhD positions (m/f/d),A,DE
782,783,20220129,university,Leibniz Universitat Hanover,U,Postdoctoral Researcher (m/f/d) – Glass-based waveguide circuits for quantum enhanced sensing,A,DE
783,784,20220529,provides businesses with an easy on-ramp to quantum and hybrid computing,Quantagonia,O,Simulation Developer | C++ (m/w/d),A,DE
784,785,20220312,independent quantum computing company,Cambridge Quantum Computing,O,Senior Software Developer for Munich,A,DE
785,786,20221021,an international pioneer in the aerospace industry,Airbus,O,Optical Instruments Systems Engineer (d/f/m),A,DE
786,787,20220311,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",Science and Technology Facilities Council (STFC),O,Deputy Director of Research,A,GB
787,788,20211216,a forefront research organizations in the fields of quantum physics and photonics,Max Planck Institute of Quantum Optics (MPQ),O,PhD positions (m / f / d),A,DE
788,789,20211206,"a trusted global innovator
of IT and business services",NTT DATA Deutschland,O,Teamlead (m/w/d),A,DE
789,790,20220519,"a leading global provider of audit and assurance, consulting, financial advisory, risk advisory, tax, and related services",Deloitte,O,(Senior) Consultant - Technology Strategy & Transformation - Banking (m/w/d),A,DE
790,791,20210717,,Julich Supercomputing Centre / Forschungszentrum Julich,O,Front-End Developer for Cloud-Based Quantum Control System,A,DE
791,792,20210217,"provides software for materials scientists in the chemical industry, as well as in academia",HQS Quantum Simulations,O,Ab-initio Simulation Specialist (Bulk Materials) (m/f/x),A,DE
792,793,20220306,,IC Resources,O,Photonics Engineer,A,GB
793,794,20211219,executive non-departmental public body,AWE (United Kingdom),O,Material Models Development Physicist,A,GB
794,795,20210225,,"Leibniz Supercomputing Centre (Leibniz-Rechenzentrum, LRZ)",O,Quantum Computing Software Engineer (f/m/d),A,DE
795,796,20210626,German public IT services provider,BWI GmbH,O,Experte Quanten Computer Technologie (m/w/d),A,DE
796,797,20220620,university,University of Oxford,U,Postdoctoral Research Assistant in Condensed Matter Physics,P,GB
797,798,20220828,university,Imperial College London,U,Research Associate: Atom Interferometry,A,GB
798,799,20210930,weltweit führende anwendungsorientierte Forschungseinrichtung für mikroelektronische und informationstechnische Systemlösungen und Dienstleistungen,Fraunhofer-Institut fr Integrierte Schaltungen,O,TECHNICAL PROJECT MANAGER IN SCALABLE ELECTRONICS FOR QUANTUM TECHNOLOGIES,A,DE
799,800,20211219,university,University of Leeds,U,Research Fellow in Injection-Locked Terahertz Quantum Cascade Lasers,A,GB
800,801,20220104,the largest research institute in the world specializing in general relativity and beyond,Max Planck Institute for Gravitational Physics,O,PhD student positions | Laser and squeezed light,A,DE
801,802,20220106,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Electronics Engineer,A,GB
802,803,20220826,university,Universitat Bielefeld,U,Research,A,DE
803,804,20220819,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",Science and Technology Facilities Council (STFC),O,Quantum Applications Team Lead,A,GB
804,805,20220322,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Research Associate (m/f/d) Quantum ComputingThesis on the topic: Demonstrator development for Quantum Imaging,A,DE
805,806,20220118,Developer of quantum computing software designed to transform experimental technology into commercial products,Riverlane,O,Quantum Computing Summer Internship Scheme (for MSc & PhD students),I,GB
806,807,20211227,develops and manufactures cutting-edge Light Modulators for scientific and industrial applications,QUBIG GmbH,O,Developer / engineer for laser technology / technology (m / f / x),A,DE
807,808,20220106,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Technician,A,GB
808,809,20211220,university,University of Glasgow,U,Research Assistant,A,GB
809,810,20210424,,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,Energy storage simulations with quantum computers,A,DE
810,811,20210306,university,Heriot Watt University,U,Research Associate in Theoretical Chemistry,A,GB
811,812,20220715,university,Berlin Institute of Technology (Technische Universitat Berlin),U,Wiss. Mitarbeiter*in (PostDoc) (d/m/w),P,DE
812,813,20210823,university,Technical University of Munich (TUM),U,The institute for communications engineering is currently offering a position for a doctoral candidate or young postdoctoral candidate,P,DE
813,814,20211222,university,University of Sussex,U,Research Fellow in Quantum Technology,A,GB
814,815,20220311,,Siemens Energy,O,Contract Manager (f/m/d) Project Execution/ Delay and Quantum Expert,A,DE
815,816,20211217,,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,Photon sources for optical quantum computing,A,DE
816,817,20211115,symmetric encryption reborn for the cloud,ArQit Limited,O,Software Engineering Manager,A,GB
817,818,20211121,university,Technical University of Munich (TUM),U,Full-Time Research Assistant (m/f/d): Programming and Simulation of Digital Quantum Computers,A,DE
818,819,20211006,,Julich Supercomputing Centre / Forschungszentrum Julich,O,Master Thesis: Design of digitally enhanced power management circuits for Future Quantum Computers,A,DE
819,820,20221001,,PsiQuantum,O,Experimental Systems Engineer,A,GB
820,821,20211005,university,The University of Manchester,U,Research Associate in Atomic Physics,A,GB
821,822,20211124,"provides software for materials scientists in the chemical industry, as well as in academia",HQS Quantum Simulations,O,Cloud Entwickler (m/w/d),A,DE
822,823,20220121,banking and financial services organisations,HSBC,O,Quantum Computing Research Scientist,A,GB
823,824,20220614,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,System Architect (Diamond Quantum Computers),A,DE
824,825,20220905,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",Science and Technology Facilities Council (STFC),O,Cryogenic Sample Environment Industrial Placement,A,GB
825,826,20220124,university,University of Oxford,U,Postdoctoral Research Assistant in Ultra-low Temperature Physics,P,GB
826,827,20220930,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Speculative application in the field of imaging and sensing (IOF-2022-53),A,DE
827,828,20210820,university,University of Bath,U,Research Associate in Photonics and Photonic Materials (fixed-term post),P,GB
828,829,20211120,quantum computing hardware company,IQM,O,Quantum Physics Engineer,A,DE
829,830,20220222,university,University of Leeds,U,Research Fellow in Quantum Spin Hall Spintronics,A,GB
830,831,20220417,symmetric encryption reborn for the cloud,ArQit Limited,O,Requirements Manager,A,GB
831,832,20210322,,M Squared Lasers Limited,O,Quantum Technology Scientist,A,GB
832,833,20220805,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Engineer for magnetic and cryogenic metrology and analytics,A,DE
833,834,20210529,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",Science and Technology Facilities Council (STFC),O,Electronics Design Engineer,A,GB
834,835,20211027,symmetric encryption reborn for the cloud,ArQit Limited,O,Software QA/Automation/SDET Engineers all levels,A,GB
835,836,20211008,university,The University of Manchester,U,"Research Associate: Design, fabrication and testing of Quantum Hall Effect Sensors for Non-Destructive Testing",A,GB
836,837,20210830,university,University of Cambridge,U,Research Assistant/Research Associate in Multiplexed Quantum Circuits (Fixed Term),A,GB
837,838,20210217,integrated systems company,Rigetti,O,"Senior Research Engineer, Quantum Algorithms and Applications",A,GB
838,839,20210410,technology company,Microsoft,O,Quantum Hardware Researcher,A,DK
839,840,20210605,symmetric encryption reborn for the cloud,ArQit Limited,O,Senior Software Engineer - Security,A,GB
840,841,20220414,independent quantum computing company,Cambridge Quantum Computing,O,Technical Solutions Specialist Cybersecurity,A,DE
841,842,20220614,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,Process Integration Engineer,A,DE
842,843,20221027,"a computing firm specialising in scalable quantum computers for a number of different industries, including aviation, climate tech, and drug discovery",Universal Quantum,O,Quantum Hardware Engineer,A,DE
843,844,20220822,university,Royal Holloway University of London,U,Research Associate in Theoretical Particle Physics,A,GB
844,845,20210916,,IBM,O,Senior Managing Consultant - Digital Business Strategy (f/m/x),A,DE
845,846,20211020,a quantum computing hardware and software company,Oxford Quantum Circuits,O,HR Specialist,A,GB
846,847,20210830,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,Snr/Principal Quantum Applications Developer,A,DE
847,848,20220727,university,Universitat Hamburg,U,Research Associate - Joint PhD position between the Universitt Hamburg and European XFEL,A,DE
848,849,20211224,university,Technical University of Munich (TUM),U,Projektkoordinator (m/w/d) Munich Quantum Valley,A,DE
849,850,20220115,,Helmholtz-Zentrum Dresden-Rossendorf,O,PostDoc (f/m/d) - Noisy Quantum Computing for Matter under Extreme Conditions,P,DE
850,851,20220414,university,Technical University of Munich (TUM),U,"Ph.D. Student for Quantum Circuit Compilation (m/f/d, full time E13)",A,DE
851,852,20210306,university,Universitat Hamburg,U,Projektleitung Ausstellung,A,DE
852,853,20211008,mechanical workshops,Trumpf,O,"Internship in data science, machine learning and quantum computing",A,DE
853,854,20220821,Developer of quantum computing software designed to transform experimental technology into commercial products,Riverlane,O,Senior FPGA and Hardware Design Engineer,A,GB
854,855,20210711,university,University of Oxford,U,Postdoctoral Research Assistant in Computational Physics,P,GB
855,856,20220108,"a computing firm specialising in scalable quantum computers for a number of different industries, including aviation, climate tech, and drug discovery",Universal Quantum,O,Embedded Software Engineer,A,GB
856,857,20220406,university,Universitat Hamburg,U,Research Associate Entanglement analysis of quantum dynamics,A,DE
857,858,20220822,university,Queens University Belfast,U,Research Fellows in Optical Imaging and Spectroscopy,A,GB
858,859,20211121,university,Technical University of Munich (TUM),U,Full-Time Research Assistant (m/f/d): Quantum Computing for Li-ion battery simulation,A,DE
859,860,20211204,"electronic capital goods for industry, infrastructure operators and government customers",Rohde & Schwarz GmbH & Co. KG,O,Quantum Computing Security (m / f/ d) research and development,A,DE
860,861,20211211,university,Universitat Hamburg,U,Research Associate for the Project Theory of hybrid quantum systems,A,DE
