,0,1,2,3,4,5,6
835,countRef,openDate,employer,employerType,jobTitle,type,countries
836,000419,20211111,Oxford Quantum Circuits,O,Communications & Marketing Specialist,A,GB
837,countRef,openDate,employer,employerType,jobTitle,type,countries
838,000420,20210315,University of Southampton,U,PhD Studentship - Imaging Quantum Materials with an XFEL,A,GB
839,countRef,openDate,employer,employerType,jobTitle,type,countries
840,000421,20220517,Technical University of Munich (TUM),U,"Doctoral and postdoctoral positions at the Department of Science, Technology and Society (STS) at TU Munich",P,DE
841,countRef,openDate,employer,employerType,jobTitle,type,countries
842,000422,20220108,Universal Quantum,O,Laser Scientist,A,GB
843,countRef,openDate,employer,employerType,jobTitle,type,countries
844,000423,20210727,SAP,O,Senior Engineer (f/m/d) for Quantum Computing,A,DE
845,countRef,openDate,employer,employerType,jobTitle,type,countries
846,000424,20211008,Oxford Quantum Circuits,O,Laboratory Supervisor,A,GB
847,countRef,openDate,employer,employerType,jobTitle,type,countries
848,000425,20210626,Oxford Quantum Circuits,O,Quantum RF Engineer,A,GB
849,countRef,openDate,employer,employerType,jobTitle,type,countries
850,000426,20220429,Universal Quantum,O,Quantum Software Developer,A,GB
851,countRef,openDate,employer,employerType,jobTitle,type,countries
852,000427,20210526,EASYRECRUE,O,Engineer Microintegration of Quantum Sensors,A,DE
853,countRef,openDate,employer,employerType,jobTitle,type,countries
854,000428,20211023,Georg-August-Universitat Gottingen,U,PhD Position (all genders welcome),A,DE
855,countRef,openDate,employer,employerType,jobTitle,type,countries
856,000429,20220209,Accenture,O,Junior Business Consultant Quantum Computing (all genders),A,DE
857,countRef,openDate,employer,employerType,jobTitle,type,countries
858,000430,20220818,Technische Universitat Imenau,U,2 Postdoctoral Fellows (m/f/d) - Department of Mechanical Engineering - ID Number 123/2022,P,DE
859,countRef,openDate,employer,employerType,jobTitle,type,countries
860,000431,20211012,University of Sussex,U,Research Fellow in Quantum Technology for Fundamental Physics,A,GB
861,countRef,openDate,employer,employerType,jobTitle,type,countries
862,000432,20220429,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,"Engineer in computer science, electrical engineering or similar (f/m/x)",A,DE
863,countRef,openDate,employer,employerType,jobTitle,type,countries
864,000433,20211106,Technische Universitt Dortmund,U,PhD Position in Experimental Condensed Matter Physics (m/f/d),A,DE
865,countRef,openDate,employer,employerType,jobTitle,type,countries
866,000434,20210413,Leibniz Universitat Hanover,U,Master-/Student-/Bachelor-Project (m/f/d),A,DE
867,countRef,openDate,employer,employerType,jobTitle,type,countries
868,000435,20220106,Oxford Quantum Circuits,O,Mechanical Design Engineer,A,GB
869,countRef,openDate,employer,employerType,jobTitle,type,countries
870,000436,20220621,Cambridge Quantum Computing,O,Office Administrator & Receptionist,A,GB
871,countRef,openDate,employer,employerType,jobTitle,type,countries
872,000437,20220812,Infleqtion / ColdQuanta,O,LabVIEW Engineer,A,GB
873,countRef,openDate,employer,employerType,jobTitle,type,countries
874,000438,20210505,University of Sussex,U,Research Fellow in Quantum Technology for Fundamental Physics (Fixed Term),A,GB
875,countRef,openDate,employer,employerType,jobTitle,type,countries
876,000439,20210925,Friedrich-Schiller-Universitt Jena,U,PhD Student and a Postdoctoral Researcher (m/f/d),P,DE
877,countRef,openDate,employer,employerType,jobTitle,type,countries
878,000440,20220212,Airbus,O,Praktikum im Bereich Quantum Computing in Operational Analysis,A,DE
879,countRef,openDate,employer,employerType,jobTitle,type,countries
880,000441,20220723,Riverlane,O,Quantum Scientst,A,GB
881,countRef,openDate,employer,employerType,jobTitle,type,countries
882,000442,20220821,Riverlane,O,Senior System Tester,A,GB
883,countRef,openDate,employer,employerType,jobTitle,type,countries
884,000443,20210527,TOPTICA Photonics,O,Physicist/Engineer (m/f/d) for Frequency Comb System Production,A,DE
885,countRef,openDate,employer,employerType,jobTitle,type,countries
886,000444,20211023,StoneOne AG,O,Senior Sales Manager Quantum Computing and AI (m / f / d),A,DE
887,countRef,openDate,employer,employerType,jobTitle,type,countries
888,000445,20221128,Ruhr Universitt Bochum,U,PhD and Postdoc Positions on Symmetries and Optimization at the Frontiers of Computation,P,DE
889,countRef,openDate,employer,employerType,jobTitle,type,countries
890,000446,20220420,Quantum Detectors,O,Mechanical Design Engineer,A,GB
891,countRef,openDate,employer,employerType,jobTitle,type,countries
892,000447,20210612,Cambridge Quantum Computing,O,Senior Solutions Architect Cybersecurity,A,GB
893,countRef,openDate,employer,employerType,jobTitle,type,countries
894,000448,20220212,Infleqtion / ColdQuanta,O,IT Service Desk Technician,A,GB
895,countRef,openDate,employer,employerType,jobTitle,type,countries
896,000449,20210615,Bosch Group,O,Engineer Electronics for Quantum Sensors,A,DE
897,countRef,openDate,employer,employerType,jobTitle,type,countries
898,000450,20220516,"Quantum Design, Inc.",O,Service technician for the area spectroscopy & imaging (m/f/d),A,DE
899,countRef,openDate,employer,employerType,jobTitle,type,countries
900,000451,20211008,Quantum Brilliance,O,Quantum Researcher (all levels),A,DE
901,countRef,openDate,employer,employerType,jobTitle,type,countries
902,000452,20210419,Science and Technology Facilities Council (STFC),O,Trapped IONS Hardware Development Manager,A,GB
903,countRef,openDate,employer,employerType,jobTitle,type,countries
904,000453,20220424,Oxford Quantum Circuits,O,Marketing and Communications Specialist,A,GB
905,countRef,openDate,employer,employerType,jobTitle,type,countries
906,000454,20220924,Q.ANT GmbH,O,Werkstudent HR (m/w/d),I,DE
907,countRef,openDate,employer,employerType,jobTitle,type,countries
908,000455,20210709,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,Conception of novel control algorithms for robotic electric vehicles,A,DE
909,countRef,openDate,employer,employerType,jobTitle,type,countries
910,000456,20211224,Max Planck Institute of Quantum Optics (MPQ),O,Postdoctoral Physicist (m/f/d) |Nonlinear Optics Ultrafast field-resolved Infrared Spectroscopy for Biosensing,P,DE
911,countRef,openDate,employer,employerType,jobTitle,type,countries
912,000457,20220902,Quantum Brilliance,O,Quantum Control Engineer,A,DE
913,countRef,openDate,employer,employerType,jobTitle,type,countries
914,000458,20220625,IBM,O,"Research Software Engineer, Enablement & Education",A,GB
915,countRef,openDate,employer,employerType,jobTitle,type,countries
916,000459,20201115,ORCA Computing,O,Atomic Atomic-Molecular-Optical AMO Physicist,A,GB
917,countRef,openDate,employer,employerType,jobTitle,type,countries
918,000460,20220404,Bond Williams,O,Lead Scientist Physics up to 90k Oxford,A,GB
919,countRef,openDate,employer,employerType,jobTitle,type,countries
920,000461,20220108,IC Resources,O,Electronics Engineer,A,GB
921,countRef,openDate,employer,employerType,jobTitle,type,countries
922,000462,20220124,University of Bristol,U,Bristol Quantum Business Development Associate,A,GB
923,countRef,openDate,employer,employerType,jobTitle,type,countries
924,000463,20210419,Science and Technology Facilities Council (STFC),O,Facilities Manager,A,GB
925,countRef,openDate,employer,employerType,jobTitle,type,countries
926,000464,20210306,Max Planck Institute for the Science of Light,O,Postdoctoral Position (m/f/d) | Microfluidics for Cell Analysis,P,DE
927,countRef,openDate,employer,employerType,jobTitle,type,countries
928,000465,20210529,Accenture,O,Software Engineer,A,GB
929,countRef,openDate,employer,employerType,jobTitle,type,countries
930,000466,20220112,TribePost,O,Senior Electronics Engineer,A,GB
931,countRef,openDate,employer,employerType,jobTitle,type,countries
932,000467,20220108,Universal Quantum,O,Quantum Computer Scientist,A,GB
933,countRef,openDate,employer,employerType,jobTitle,type,countries
934,000468,20210529,Oxford Quantum Circuits,O,Executive Assistant,A,GB
935,countRef,openDate,employer,employerType,jobTitle,type,countries
936,000469,20210830,IBM,O,Entwicklungsingenieur Electronic Design Automation (m/w/x),A,DE
937,countRef,openDate,employer,employerType,jobTitle,type,countries
938,000470,20211222,Helmholtz-Zentrum Dresden-Rossendorf,O,PostDoc (f/m/d) Theoretical chemistry,P,DE
939,countRef,openDate,employer,employerType,jobTitle,type,countries
940,000471,20220716,Quantinuum,O,Senior Backend Engineer,A,GB
941,countRef,openDate,employer,employerType,jobTitle,type,countries
942,000472,20220105,University of Southampton,U,"PhD Studentship, Quantum, Light and Matter Group",A,GB
943,countRef,openDate,employer,employerType,jobTitle,type,countries
944,000473,20220902,Max Planck Institute for Physics,O,"Development engineer (m/f/d), micro and nanotechnology (semiconductor manufacturing, microsystems technology)",A,DE
945,countRef,openDate,employer,employerType,jobTitle,type,countries
946,000474,20210615,Bosch Group,O,Research Scientist Neuroscience for Brain Machine Interface,A,DE
947,countRef,openDate,employer,employerType,jobTitle,type,countries
948,000475,20220804,IBM,O,IBM Quantum Services Offering Manager (f/m/x),A,DE
949,countRef,openDate,employer,employerType,jobTitle,type,countries
950,000476,20220115,Helmholtz-Zentrum Dresden-Rossendorf,O,PostDoc (f/m/d) - Noisy Quantum Computing for Matter under Extreme Conditions,P,DE
951,countRef,openDate,employer,employerType,jobTitle,type,countries
952,000477,2022-11-19,ORCA Computing,O,Machine Learning Engineer,A,GB
953,countRef,openDate,employer,employerType,jobTitle,type,countries
954,000478,20210710,IBM,O,Development Engineer Electronic Design Automation (m / f / x),A,DE
955,countRef,openDate,employer,employerType,jobTitle,type,countries
956,000479,20211206,Universitat Hamburg,U,Postdoctoral position in Quantum Physics,P,DE
957,countRef,openDate,employer,employerType,jobTitle,type,countries
958,000480,20211130,Technical University of Munich (TUM),U,Project Manager Venture Lab Quantum (m/f/,A,DE
959,countRef,openDate,employer,employerType,jobTitle,type,countries
960,000481,20220905,PQShield,O,Product Vulnerability Manager,A,GB
961,countRef,openDate,employer,employerType,jobTitle,type,countries
962,000482,20220323,Quantum Brilliance,O,Business Development Executive,A,DE
963,countRef,openDate,employer,employerType,jobTitle,type,countries
964,000483,20220423,Helmholtz-Zentrum Dresden-Rossendorf,O,PostDoc / Scientist (f/m/d) Research in Quantum Materials,P,DE
965,countRef,openDate,employer,employerType,jobTitle,type,countries
966,000484,20220519,BMW Group,O,PhD candidate in the area of quantum computing enhanced generative adversarial networks (f/m/d),A,DE
967,countRef,openDate,employer,employerType,jobTitle,type,countries
968,000485,20211217,Institute for Functional Matter and Quantum Technologies,O,"Secretariat and administration (m / f / d, 50%, unlimited)",A,DE
969,countRef,openDate,employer,employerType,jobTitle,type,countries
970,000486,20211015,Exscientia,O,Director Quantum Mechanics,A,GB
971,countRef,openDate,employer,employerType,jobTitle,type,countries
972,000487,20220108,Technische Universitat (TU) Darmstadt,U,PhD candidate (all genders),A,DE
973,countRef,openDate,employer,employerType,jobTitle,type,countries
974,000488,20210715,Zapata Computing,O,Quantum Solutions Engineer - Europe & Middle East,A,GB
975,countRef,openDate,employer,employerType,jobTitle,type,countries
976,000489,20210615,Oxford Ionics,O,Operations Lead,A,GB
977,countRef,openDate,employer,employerType,jobTitle,type,countries
978,000490,20220405,Riverlane,O,Senior Compiler Engineer,A,GB
979,countRef,openDate,employer,employerType,jobTitle,type,countries
980,000491,20220119,Fujitsu,O,Technical Consultant Quantum Computing (w/m/d),A,DE
981,countRef,openDate,employer,employerType,jobTitle,type,countries
982,000492,20220301,Toshiba,O,Research Scientist - Chip based Quantum Communications,A,GB
983,countRef,openDate,employer,employerType,jobTitle,type,countries
984,000493,20211002,University of Leeds,U,Research Fellow in Quantum Many-Body Physics,A,GB
985,countRef,openDate,employer,employerType,jobTitle,type,countries
986,000494,20210501,IBM,O,Internship/Praktikum: IBM Quantum Community Advocate (m/w/x),I,DE
987,countRef,openDate,employer,employerType,jobTitle,type,countries
988,000495,20210522,Loughborough University,U,Research Associate in Quantum Many-Body Dynamics,A,GB
989,countRef,openDate,employer,employerType,jobTitle,type,countries
990,000496,20210712,ArQit Limited,O,Account Director - Distributed Ledger Technology,A,GB
991,countRef,openDate,employer,employerType,jobTitle,type,countries
992,000497,20220920,Kelly,O,Working student/intern Quantum Computing Institute for Data & Analytics (m/f/d),I,DE
993,countRef,openDate,employer,employerType,jobTitle,type,countries
994,000498,20220923,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Sub-project management in the field of software engineering and machine learning for quantum computing,A,DE
995,countRef,openDate,employer,employerType,jobTitle,type,countries
996,000499,20221026,Airbus,O,PhD for Post-Quantum Enhanced Systems (d/f/m),P,DE
997,countRef,openDate,employer,employerType,jobTitle,type,countries
998,000500,20221207,Quantagonia,O,DevOps/Infrastructure Developer (m/w/d),A,DE
999,countRef,openDate,employer,employerType,jobTitle,type,countries
1000,000501,20220816,The Open University (OU; UK),U,Infrared image sensors for space and Solar System exploration,A,GB
1001,countRef,openDate,employer,employerType,jobTitle,type,countries
1002,000502,20210427,Oxford Ionics,O,Operations Associate,A,GB
1003,countRef,openDate,employer,employerType,jobTitle,type,countries
1004,000503,20221103,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Research assistant for algorithm development and software engineering Quantum Computing,A,DE
1005,countRef,openDate,employer,employerType,jobTitle,type,countries
1006,000504,20220408,Technischa Universitat Kaiserslautern,U,Research assistants (m/f/d) in the field of Individual Quantum Systems,A,DE
1007,countRef,openDate,employer,employerType,jobTitle,type,countries
1008,000505,20210326,Julich Supercomputing Centre / Forschungszentrum Julich,O,Executive Assistant of the European Quantum Industry Consortium,A,DE
1009,countRef,openDate,employer,employerType,jobTitle,type,countries
1010,000506,20211120,University of Cologne,U,PhD position (f/m/d),A,DE
1011,countRef,openDate,employer,employerType,jobTitle,type,countries
1012,000507,20210310,Karlsruhe Institute of Technology (KIT),O,PhD Student/ Research Assistant (f/m/d),A,DE
1013,countRef,openDate,employer,employerType,jobTitle,type,countries
1014,000508,20211102,Deloitte,O,(Senior) Consultant (m/w/d) The Garage - Quantum.Link - Schwerpunkt Quantencomputing,A,DE
1015,countRef,openDate,employer,employerType,jobTitle,type,countries
1016,000509,20210918,UK Research & Innovation (UKRI),O,Deputy Director of Research - National Quantum Computing Centre,A,GB
1017,countRef,openDate,employer,employerType,jobTitle,type,countries
1018,000510,20220309,Airbus,O,Optical Instruments Performance Engineer (d/f/m),A,DE
1019,countRef,openDate,employer,employerType,jobTitle,type,countries
1020,000511,20211223,DATEV eg,O,Expert quantum computing for research and development tasks (m / f / d),A,DE
1021,countRef,openDate,employer,employerType,jobTitle,type,countries
1022,000512,20201128,Nu Quantum,O,Principal Electronics Engineer,A,GB
1023,countRef,openDate,employer,employerType,jobTitle,type,countries
1024,000513,20210615,University of Bristol,U,Research Associate in III-V integrated photonics,A,GB
1025,countRef,openDate,employer,employerType,jobTitle,type,countries
1026,000514,20221130,"Leibniz Supercomputing Centre (Leibniz-Rechenzentrum, LRZ)",O,HPC Systems Software Researcher (f/m/d) for HPC-Quantum Hybrid Software Stack,A,DE
1027,countRef,openDate,employer,employerType,jobTitle,type,countries
1028,000515,20220607,University of Nottingham,U,Research Associate/Fellow (Quantum Technology) (fixed term),A,GB
1029,countRef,openDate,employer,employerType,jobTitle,type,countries
1030,000516,20210410,ArQit Limited,O,Payload Engineer,A,GB
1031,countRef,openDate,employer,employerType,jobTitle,type,countries
1032,000517,20220211,Quantum Brilliance,O,Head of Quantum Materials,A,DE
1033,countRef,openDate,employer,employerType,jobTitle,type,countries
1034,000518,20220409,Max Planck Institute for Gravitational Physics,O,PhD Students (m/f/d) | Laser and Squeezed Light group at the AEI,A,DE
1035,countRef,openDate,employer,employerType,jobTitle,type,countries
1036,000519,20210618,University of Cambridge,U,PhD Studentship: Quantum Chemistry,A,GB
1037,countRef,openDate,employer,employerType,jobTitle,type,countries
1038,000520,20210808,Universal Quantum,O,ASIC Digital Design Engineer,A,GB
1039,countRef,openDate,employer,employerType,jobTitle,type,countries
1040,000521,20220727,Council Of Scientific And Industrial Research–National Physical Laboratory (CSIR–NPL),O,Higher Research Scientist in Quantum Technologies,A,GB
1041,countRef,openDate,employer,employerType,jobTitle,type,countries
1042,000522,20220515,Cambridge Quantum Computing,O,"ZX-calculus specialist: theory, applications and software development",A,GB
1043,countRef,openDate,employer,employerType,jobTitle,type,countries
1044,000523,20211029,Quantum Brilliance,O,Executive Assistant / Office Manager (Immediate Start),A,DE
1045,countRef,openDate,employer,employerType,jobTitle,type,countries
1046,000524,20220214,Technical University of Munich (TUM),U,Techniker (m/w/d),A,DE
1047,countRef,openDate,employer,employerType,jobTitle,type,countries
1048,000525,20220812,Universitt zu Koln,U,PhD / Postdoc Positions (f/m/d) at the Institute for Theoretical Physics,P,DE
1049,countRef,openDate,employer,employerType,jobTitle,type,countries
1050,000526,20210626,Quantum Detectors,O,Technician,A,GB
1051,countRef,openDate,employer,employerType,jobTitle,type,countries
1052,000527,20220209,Science and Technology Facilities Council (STFC),O,Technician,A,GB
1053,countRef,openDate,employer,employerType,jobTitle,type,countries
1054,000528,20220608,Oxford Instrumentsi Plc,O,Technical Project Manager - FTC,A,GB
1055,countRef,openDate,employer,employerType,jobTitle,type,countries
1056,000529,20210408,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,Realization of the electronics subsystem,A,DE
1057,countRef,openDate,employer,employerType,jobTitle,type,countries
1058,000530,20220729,University of Copenhagen,U,Postdoctoral Fellowships in Nonlocal Aspects of Topological Superconductivity at the Niels Bohr Institute,P,DK
1059,countRef,openDate,employer,employerType,jobTitle,type,countries
1060,000531,20210428,Riverlane,O,DevOps Engineer,A,GB
1061,countRef,openDate,employer,employerType,jobTitle,type,countries
1062,000532,20220930,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Working student in Quantum Machine Learning,I,DE
1063,countRef,openDate,employer,employerType,jobTitle,type,countries
1064,000533,20211122,Durham University,U,Assistant Professor in Computer Science (COMP22-1),F,GB
1065,countRef,openDate,employer,employerType,jobTitle,type,countries
1066,000534,20211117,Council Of Scientific And Industrial Research–National Physical Laboratory (CSIR–NPL),O,Higher Research Scientist - Optoelectronics,A,GB
1067,countRef,openDate,employer,employerType,jobTitle,type,countries
1068,000535,20210811,ArQit Limited,O,Opto-Mechanical Engineer,A,GB
1069,countRef,openDate,employer,employerType,jobTitle,type,countries
1070,000536,20210612,AegiQ,O,Delivery Lead / Project Manager,A,GB
1071,countRef,openDate,employer,employerType,jobTitle,type,countries
1072,000537,20220510,PQShield,O,SCA Analyst / Infrastructure Engineer,A,GB
1073,countRef,openDate,employer,employerType,jobTitle,type,countries
1074,000538,20220826,Coventry University,U,Lecturer in High Performance and Quantum Computing,F,GB
1075,countRef,openDate,employer,employerType,jobTitle,type,countries
1076,000539,20220120,Quantum Dice,O,Electronics Engineer - FPGA and PCB,A,GB
1077,countRef,openDate,employer,employerType,jobTitle,type,countries
1078,000540,20220623,Dresden University of Technology,U,Project assistant (m/f/d),A,DE
1079,countRef,openDate,employer,employerType,jobTitle,type,countries
1080,000541,20210422,Universitat Hamburg,U,Research Associate for the project &quot;Exploration of topological matter at the single particle level&quot;,A,DE
1081,countRef,openDate,employer,employerType,jobTitle,type,countries
1082,000542,20210920,Science and Technology Facilities Council (STFC),O,Deputy Director of Research - National Quantum Computing Centre,A,GB
1083,countRef,openDate,employer,employerType,jobTitle,type,countries
1084,000543,20220407,SAP,O,Developer (f/m/d) Applied Research on Quantum Optimization,A,DE
1085,countRef,openDate,employer,employerType,jobTitle,type,countries
1086,000544,20211113,Heriot Watt University,U,Research Associate in Theoretical Chemistry,A,GB
1087,countRef,openDate,employer,employerType,jobTitle,type,countries
1088,000545,20211104,IHP GmbH - Leibniz-Institut fr innovative Mikroelektronik,O,PhD Position (m/f/d),A,DE
1089,countRef,openDate,employer,employerType,jobTitle,type,countries
1090,000546,20220407,BMW Group,O,PhD student in the field of AI Quantum Machine Learning Benchmarks (f/m/x),A,DE
1091,countRef,openDate,employer,employerType,jobTitle,type,countries
1092,000547,20220203,Imperial College London,U,Research Associate in Theoretical Solid State Physics,A,GB
1093,countRef,openDate,employer,employerType,jobTitle,type,countries
1094,000548,20220314,University of Southampton,U,Research Fellow in Coherent Diffraction Imaging,A,GB
1095,countRef,openDate,employer,employerType,jobTitle,type,countries
1096,000549,20200926,Rigetti,O,Quantum Test Engineer,A,GB
1097,countRef,openDate,employer,employerType,jobTitle,type,countries
1098,000550,20211111,Umicore,O,PhD student position: Spectroscopic investigation and modelling (m/f/d),A,DE
1099,countRef,openDate,employer,employerType,jobTitle,type,countries
1100,000551,20211023,Imperial College London,U,Research Associate in Quantum Information,A,GB
1101,countRef,openDate,employer,employerType,jobTitle,type,countries
1102,000552,20220506,Durham University,U,Postdoctoral Research Associate in Quantum Light and Matter,P,GB
1103,countRef,openDate,employer,employerType,jobTitle,type,countries
1104,000553,20221205,Carl von Ossietzky Universitt Oldenburg,U,"PhD Position (m,f,d), E13",P,DE
1105,countRef,openDate,employer,employerType,jobTitle,type,countries
1106,000554,20210817,Dresden University of Technology,U,three positions as Research Associate,A,DE
1107,countRef,openDate,employer,employerType,jobTitle,type,countries
1108,000555,20211005,University of Bristol,U,Quantum Computing Heilbronn Research Fellow,A,GB
1109,countRef,openDate,employer,employerType,jobTitle,type,countries
1110,000556,20220131,Toshiba,O,Senior Systems Software Engineer,A,GB
1111,countRef,openDate,employer,employerType,jobTitle,type,countries
1112,000557,20210306,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,Theoretical Quantum Physics,A,DE
1113,countRef,openDate,employer,employerType,jobTitle,type,countries
1114,000558,20220810,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Research Associate --Quantum Computing--,A,DE
1115,countRef,openDate,employer,employerType,jobTitle,type,countries
1116,000559,20210709,University of Bath,U,Research Associate in Photonics and Photonic Materials (fixed-term post),P,GB
1117,countRef,openDate,employer,employerType,jobTitle,type,countries
1118,000560,20220528,University of Bristol,U,QE-CDT Industry Engagement Manager,A,GB
1119,countRef,openDate,employer,employerType,jobTitle,type,countries
1120,000561,20221012,Q.ANT GmbH,O,Scrum Master Quantum Computing (m/w/d),A,DE
1121,countRef,openDate,employer,employerType,jobTitle,type,countries
1122,000562,20220717,Toshiba,O,Key Account Manager - QT,A,GB
1123,countRef,openDate,employer,employerType,jobTitle,type,countries
1124,000563,20220820,Riverlane,O,Lead Verification Engineer,A,GB
1125,countRef,openDate,employer,employerType,jobTitle,type,countries
1126,000564,20210907,Leibniz Universitat Hanover,U,Scientific collaboration (m / f / d) in the field of quantum technologies with a focus on topological quantum computing,A,DE
1127,countRef,openDate,employer,employerType,jobTitle,type,countries
1128,000565,20210505,Physikalisch-Technische Bundesanstalt (PTB),O,Doktorand / Doktorandin (m/w/d) auf dem Gebiet der Quantentechnologie mit dem Schwerpunkt Supraleitende Photonendetektion,A,DE
1129,countRef,openDate,employer,employerType,jobTitle,type,countries
1130,000566,20210419,Science and Technology Facilities Council (STFC),O,Superconducting Hardware Technology Development Manager,A,GB
1131,countRef,openDate,employer,employerType,jobTitle,type,countries
1132,000567,20220701,BWI GmbH,O,Expert Quantum Key Distribution & Post Quantum Cryptographie (m/w/d),P,DE
1133,countRef,openDate,employer,employerType,jobTitle,type,countries
1134,000568,20211012,ArQit Limited,O,System Architect,A,GB
1135,countRef,openDate,employer,employerType,jobTitle,type,countries
1136,000569,20210327,Science and Technology Facilities Council (STFC),O,Electronics Design Engineer,A,GB
1137,countRef,openDate,employer,employerType,jobTitle,type,countries
1138,000570,20210519,The University of Manchester,U,Research Associate in Non-relativistic Quantum Electrodynamics,A,GB
1139,countRef,openDate,employer,employerType,jobTitle,type,countries
1140,000571,20210625,University of Exeter,U,Postdoctoral Research Associate or Fellow,P,GB
1141,countRef,openDate,employer,employerType,jobTitle,type,countries
1142,000572,20211030,Physikalisch-Technische Bundesanstalt (PTB),O,Science communicator / science communication for quantum technologies at PTB and in QTZ (21-392-9),A,DE
1143,countRef,openDate,employer,employerType,jobTitle,type,countries
1144,000573,20211116,University of Bristol,U,Research Engineer in Software Engineering for Quantum Cryptography in Networks,A,GB
1145,countRef,openDate,employer,employerType,jobTitle,type,countries
1146,000574,20220602,Quantagonia,O,Business Development Intern (m/w/d),I,DE
1147,countRef,openDate,employer,employerType,jobTitle,type,countries
1148,000575,20220920,Quantistry GmbH,O,Working Student Sales (m/f/d),I,DE
1149,countRef,openDate,employer,employerType,jobTitle,type,countries
1150,000576,20210320,Cambridge Quantum Computing,O,Senior Software Engineer,A,GB
1151,countRef,openDate,employer,employerType,jobTitle,type,countries
1152,000577,20220209,Oxford Quantum Circuits,O,Head of People,A,GB
1153,countRef,openDate,employer,employerType,jobTitle,type,countries
1154,000578,20220504,Council Of Scientific And Industrial Research–National Physical Laboratory (CSIR–NPL),O,Higher Research Scientist - scanning probe microscopy for quantum circuits,A,GB
1155,countRef,openDate,employer,employerType,jobTitle,type,countries
1156,000579,20210213,Nu Quantum,O,Scientist - Nanofabrication R&D,A,GB
1157,countRef,openDate,employer,employerType,jobTitle,type,countries
1158,000580,20220129,Leibniz Universitat Hanover,U,Junior Research Group Leader,A,DE
1159,countRef,openDate,employer,employerType,jobTitle,type,countries
1160,000581,20210702,Science and Technology Facilities Council (STFC),O,Electronics Design Engineer,A,GB
1161,countRef,openDate,employer,employerType,jobTitle,type,countries
1162,000582,20201109,Cambridge Quantum Computing,O,Software Architect,A,GB
1163,countRef,openDate,employer,employerType,jobTitle,type,countries
1164,000583,20220426,Julich Supercomputing Centre / Forschungszentrum Julich,O,Postdoc - Cryogenic CMOS for Quantum Computing Applications,P,DE
1165,countRef,openDate,employer,employerType,jobTitle,type,countries
1166,000584,20220217,QAR-Lab – Quantum Applications and Research Laboratory,O,Projektmanager (m/w/d) im Bereich Quantum Computing,A,DE
1167,countRef,openDate,employer,employerType,jobTitle,type,countries
1168,000585,20220107,Riverlane,O,Head of People & Culture,A,GB
1169,countRef,openDate,employer,employerType,jobTitle,type,countries
1170,000586,20220902,Julich Supercomputing Centre / Forschungszentrum Julich,O,Master Thesis - Engineering Josephson Junction Tunnel Barriers for Future Superconducting Qubits,A,DE
1171,countRef,openDate,employer,employerType,jobTitle,type,countries
1172,000587,20220208,Science and Technology Facilities Council (STFC),O,Superconducting Qubit Physicist,A,GB
1173,countRef,openDate,employer,employerType,jobTitle,type,countries
1174,000588,20220309,ArQit Limited,O,People Operations Lead,A,GB
1175,countRef,openDate,employer,employerType,jobTitle,type,countries
1176,000589,20220823,University of Southampton,U,Research Fellow in Macroscopic Quantum Physics,A,GB
1177,countRef,openDate,employer,employerType,jobTitle,type,countries
1178,000590,20221021,Technische Universitt Dortmund,U,Professorship (W1) Theoretical Solid-State Physics,F,DE
1179,countRef,openDate,employer,employerType,jobTitle,type,countries
1180,000591,20220831,Council Of Scientific And Industrial Research–National Physical Laboratory (CSIR–NPL),O,Higher Research Scientist - Microtraps,A,GB
1181,countRef,openDate,employer,employerType,jobTitle,type,countries
1182,000592,20211008,Defence Science and Technology Laboratory,O,STEM Graduate,A,GB
1183,countRef,openDate,employer,employerType,jobTitle,type,countries
1184,000593,20220713,Durham University,U,Research Software Engineer,A,GB
1185,countRef,openDate,employer,employerType,jobTitle,type,countries
1186,000594,20201109,Cambridge Quantum Computing,O,Software Quality Assurance Specialist,A,GB
1187,countRef,openDate,employer,employerType,jobTitle,type,countries
1188,000595,20210326,Helmholtz-Zentrum Dresden-Rossendorf,O,Postdoctoral Researcher (f/m/d) Data-driven Framework for Multiscale Simulations,P,DE
1189,countRef,openDate,employer,employerType,jobTitle,type,countries
1190,000596,20211220,University of Glasgow,U,Research Associate,A,GB
1191,countRef,openDate,employer,employerType,jobTitle,type,countries
1192,000597,20220120,Quantum Dice,O,Photonics Engineer PIC design,A,GB
1193,countRef,openDate,employer,employerType,jobTitle,type,countries
1194,000598,20220305,Oxford Instrumentsi Plc,O,Territory Sales Manager DACH Region,A,DE
1195,countRef,openDate,employer,employerType,jobTitle,type,countries
1196,000599,20210331,Bosch Group,O,Research Scientist Quantum Sensors,A,DE
1197,countRef,openDate,employer,employerType,jobTitle,type,countries
1198,000600,20210508,Bosch Group,O,Research Scientist Neuroscience for Brain Machine Interface,A,DE
