,code,context,work_context
753,43-4041.00,10,Deal With Physically Aggressive People — How frequently does this job require the worker to deal with physical aggression of violent individuals?
754,43-4041.00,8,Pace Determined by Speed of Equipment — How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
755,43-4041.00,7,"Exposed to Minor Burns, Cuts, Bites, or Stings — How often does this job require exposure to minor burns, cuts, bites, or stings?"
756,43-4041.00,7,"Spend Time Kneeling, Crouching, Stooping, or Crawling — How much does this job require kneeling, crouching, stooping or crawling?"
757,43-4041.00,4,Exposed to Hazardous Equipment — How often does this job require exposure to hazardous equipment?
758,43-4041.00,4,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
759,43-4041.00,4,"Outdoors, Under Cover — How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?"
760,43-4041.00,2,"Exposed to Whole Body Vibration — How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?"
761,43-4041.00,2,Spend Time Keeping or Regaining Balance — How much does this job require keeping or regaining your balance?
762,43-4041.00,1,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
763,43-4041.00,0,Exposed to Disease or Infections — How often does this job require exposure to disease/infections?
764,43-4041.00,0,Exposed to Hazardous Conditions — How often does this job require exposure to hazardous conditions?
765,43-4041.00,0,Exposed to High Places — How often does this job require exposure to high places?
766,43-4041.00,0,Exposed to Radiation — How often does this job require exposure to radiation?
767,43-4041.00,0,"In an Open Vehicle or Equipment — How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
768,43-4041.00,0,"Spend Time Climbing Ladders, Scaffolds, or Poles — How much does this job require climbing ladders, scaffolds, or poles?"
769,43-4041.00,0,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection — How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
770,33-3021.00,99,Telephone — How often do you have telephone conversations in this job?
771,33-3021.00,96,Electronic Mail — How often do you use electronic mail in this job?
772,33-3021.00,95,"Contact With Others — How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
773,33-3021.00,95,Face-to-Face Discussions — How often do you have to have face-to-face discussions with individuals or teams in this job?
774,33-3021.00,93,"In an Enclosed Vehicle or Equipment — How often does this job require working in a closed vehicle or equipment (e.g., car)?"
775,33-3021.00,92,Deal With External Customers — How important is it to work with external customers or the public in this job?
776,33-3021.00,90,"Freedom to Make Decisions — How much decision making freedom, without supervision, does the job offer?"
777,33-3021.00,90,Impact of Decisions on Co-workers or Company Results — What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
778,33-3021.00,87,"Structured versus Unstructured Work — To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
779,33-3021.00,87,Work With Work Group or Team — How important is it to work with others in a group or team in this job?
780,33-3021.00,85,"Frequency of Decision Making — How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
781,33-3021.00,84,Importance of Being Exact or Accurate — How important is being very exact or highly accurate in performing this job?
782,33-3021.00,83,"Indoors, Environmentally Controlled — How often does this job require working indoors in environmentally controlled conditions?"
783,33-3021.00,82,"Deal With Unpleasant or Angry People — How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?"
784,33-3021.00,79,Frequency of Conflict Situations — How often are there conflict situations the employee has to face in this job?
785,33-3021.00,78,Consequence of Error — How serious would the result usually be if the worker made a mistake that was not readily correctable?
786,33-3021.00,78,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
787,33-3021.00,75,Coordinate or Lead Others — How important is it to coordinate or lead others in accomplishing work activities in this job?
788,33-3021.00,73,Letters and Memos — How often does the job require written letters and memos?
789,33-3021.00,71,Responsible for Others' Health and Safety — How much responsibility is there for the health and safety of others in this job?
790,33-3021.00,69,Physical Proximity — To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
791,33-3021.00,68,Deal With Physically Aggressive People — How frequently does this job require the worker to deal with physical aggression of violent individuals?
792,33-3021.00,65,Time Pressure — How often does this job require the worker to meet strict deadlines?
793,33-3021.00,63,"Indoors, Not Environmentally Controlled — How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
794,33-3021.00,63,Very Hot or Cold Temperatures — How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
795,33-3021.00,62,"Sounds, Noise Levels Are Distracting or Uncomfortable — How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?"
796,33-3021.00,61,Spend Time Sitting — How much does this job require sitting?
797,33-3021.00,57,"Exposed to Contaminants — How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
798,33-3021.00,57,"Importance of Repeating Same Tasks — How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?"
799,33-3021.00,56,Exposed to Disease or Infections — How often does this job require exposure to disease/infections?
800,33-3021.00,54,Level of Competition — To what extent does this job require the worker to compete or to be aware of competitive pressures?
801,33-3021.00,52,Extremely Bright or Inadequate Lighting — How often does this job require working in extremely bright or inadequate lighting conditions?
802,33-3021.00,51,Responsibility for Outcomes and Results — How responsible is the worker for work outcomes and results of other workers?
803,33-3021.00,45,Exposed to Hazardous Equipment — How often does this job require exposure to hazardous equipment?
804,33-3021.00,45,Spend Time Standing — How much does this job require standing?
805,33-3021.00,45,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
806,33-3021.00,43,"Outdoors, Under Cover — How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?"
807,33-3021.00,43,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls — How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
808,33-3021.00,41,"Cramped Work Space, Awkward Positions — How often does this job require working in cramped work spaces that requires getting into awkward positions?"
809,33-3021.00,40,Spend Time Making Repetitive Motions — How much does this job require making repetitive motions?
810,33-3021.00,37,Exposed to Hazardous Conditions — How often does this job require exposure to hazardous conditions?
811,33-3021.00,37,Public Speaking — How often do you have to perform public speaking in this job?
812,33-3021.00,34,"Exposed to Minor Burns, Cuts, Bites, or Stings — How often does this job require exposure to minor burns, cuts, bites, or stings?"
813,33-3021.00,32,Spend Time Bending or Twisting the Body — How much does this job require bending or twisting your body?
814,33-3021.00,31,Degree of Automation — How automated is the job?
815,33-3021.00,31,Spend Time Walking and Running — How much does this job require walking and running?
816,33-3021.00,26,Spend Time Keeping or Regaining Balance — How much does this job require keeping or regaining your balance?
817,33-3021.00,25,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection — How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
818,33-3021.00,21,"Spend Time Kneeling, Crouching, Stooping, or Crawling — How much does this job require kneeling, crouching, stooping or crawling?"
819,33-3021.00,19,Exposed to High Places — How often does this job require exposure to high places?
820,33-3021.00,12,"In an Open Vehicle or Equipment — How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
821,33-3021.00,10,"Spend Time Climbing Ladders, Scaffolds, or Poles — How much does this job require climbing ladders, scaffolds, or poles?"
822,33-3021.00,8,Exposed to Radiation — How often does this job require exposure to radiation?
823,33-3021.00,6,"Exposed to Whole Body Vibration — How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?"
824,33-3021.00,5,Pace Determined by Speed of Equipment — How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
825,17-3023.00,96,Electronic Mail — How often do you use electronic mail in this job?
826,17-3023.00,93,Face-to-Face Discussions — How often do you have to have face-to-face discussions with individuals or teams in this job?
827,17-3023.00,90,"Indoors, Environmentally Controlled — How often does this job require working indoors in environmentally controlled conditions?"
828,17-3023.00,86,"Freedom to Make Decisions — How much decision making freedom, without supervision, does the job offer?"
829,17-3023.00,85,Importance of Being Exact or Accurate — How important is being very exact or highly accurate in performing this job?
830,17-3023.00,82,"Structured versus Unstructured Work — To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
831,17-3023.00,81,Telephone — How often do you have telephone conversations in this job?
832,17-3023.00,81,Work With Work Group or Team — How important is it to work with others in a group or team in this job?
833,17-3023.00,76,"Contact With Others — How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
834,17-3023.00,72,Impact of Decisions on Co-workers or Company Results — What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
835,17-3023.00,67,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
836,17-3023.00,65,Spend Time Sitting — How much does this job require sitting?
837,17-3023.00,64,Coordinate or Lead Others — How important is it to coordinate or lead others in accomplishing work activities in this job?
838,17-3023.00,64,Time Pressure — How often does this job require the worker to meet strict deadlines?
839,17-3023.00,63,"Frequency of Decision Making — How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
840,17-3023.00,61,Responsible for Others' Health and Safety — How much responsibility is there for the health and safety of others in this job?
841,17-3023.00,60,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls — How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
842,17-3023.00,59,Responsibility for Outcomes and Results — How responsible is the worker for work outcomes and results of other workers?
843,17-3023.00,57,Letters and Memos — How often does the job require written letters and memos?
844,17-3023.00,55,"Importance of Repeating Same Tasks — How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?"
845,17-3023.00,55,"Sounds, Noise Levels Are Distracting or Uncomfortable — How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?"
846,17-3023.00,54,Consequence of Error — How serious would the result usually be if the worker made a mistake that was not readily correctable?
847,17-3023.00,53,Physical Proximity — To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
848,17-3023.00,49,Deal With External Customers — How important is it to work with external customers or the public in this job?
849,17-3023.00,47,Level of Competition — To what extent does this job require the worker to compete or to be aware of competitive pressures?
850,17-3023.00,46,Exposed to Hazardous Conditions — How often does this job require exposure to hazardous conditions?
851,17-3023.00,43,"Exposed to Contaminants — How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
852,17-3023.00,42,"Indoors, Not Environmentally Controlled — How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
853,17-3023.00,41,Frequency of Conflict Situations — How often are there conflict situations the employee has to face in this job?
854,17-3023.00,40,"Deal With Unpleasant or Angry People — How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?"
855,17-3023.00,40,Exposed to Hazardous Equipment — How often does this job require exposure to hazardous equipment?
856,17-3023.00,40,Spend Time Standing — How much does this job require standing?
857,17-3023.00,38,"Exposed to Minor Burns, Cuts, Bites, or Stings — How often does this job require exposure to minor burns, cuts, bites, or stings?"
858,17-3023.00,38,Spend Time Making Repetitive Motions — How much does this job require making repetitive motions?
859,17-3023.00,36,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
860,17-3023.00,34,"Cramped Work Space, Awkward Positions — How often does this job require working in cramped work spaces that requires getting into awkward positions?"
861,17-3023.00,34,Very Hot or Cold Temperatures — How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
862,17-3023.00,32,"In an Enclosed Vehicle or Equipment — How often does this job require working in a closed vehicle or equipment (e.g., car)?"
863,17-3023.00,30,Extremely Bright or Inadequate Lighting — How often does this job require working in extremely bright or inadequate lighting conditions?
864,17-3023.00,30,"Outdoors, Under Cover — How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?"
865,17-3023.00,28,Spend Time Walking and Running — How much does this job require walking and running?
866,17-3023.00,26,Degree of Automation — How automated is the job?
867,17-3023.00,26,Public Speaking — How often do you have to perform public speaking in this job?
868,17-3023.00,24,Spend Time Bending or Twisting the Body — How much does this job require bending or twisting your body?
869,17-3023.00,24,"Spend Time Kneeling, Crouching, Stooping, or Crawling — How much does this job require kneeling, crouching, stooping or crawling?"
870,17-3023.00,24,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection — How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
871,17-3023.00,23,Exposed to High Places — How often does this job require exposure to high places?
872,17-3023.00,17,Pace Determined by Speed of Equipment — How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
873,17-3023.00,17,"Spend Time Climbing Ladders, Scaffolds, or Poles — How much does this job require climbing ladders, scaffolds, or poles?"
874,17-3023.00,15,"In an Open Vehicle or Equipment — How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
875,17-3023.00,13,Spend Time Keeping or Regaining Balance — How much does this job require keeping or regaining your balance?
876,17-3023.00,10,Exposed to Radiation — How often does this job require exposure to radiation?
877,17-3023.00,8,"Exposed to Whole Body Vibration — How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?"
878,17-3023.00,7,Deal With Physically Aggressive People — How frequently does this job require the worker to deal with physical aggression of violent individuals?
879,17-3023.00,5,Exposed to Disease or Infections — How often does this job require exposure to disease/infections?
880,17-3012.00,99,Electronic Mail — How often do you use electronic mail in this job?
881,17-3012.00,96,Face-to-Face Discussions — How often do you have to have face-to-face discussions with individuals or teams in this job?
882,17-3012.00,93,Spend Time Sitting — How much does this job require sitting?
883,17-3012.00,92,"Indoors, Environmentally Controlled — How often does this job require working indoors in environmentally controlled conditions?"
884,17-3012.00,89,Importance of Being Exact or Accurate — How important is being very exact or highly accurate in performing this job?
885,17-3012.00,89,Work With Work Group or Team — How important is it to work with others in a group or team in this job?
886,17-3012.00,84,Telephone — How often do you have telephone conversations in this job?
887,17-3012.00,83,Time Pressure — How often does this job require the worker to meet strict deadlines?
888,17-3012.00,78,"Contact With Others — How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
889,17-3012.00,73,"Importance of Repeating Same Tasks — How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?"
890,17-3012.00,72,Spend Time Making Repetitive Motions — How much does this job require making repetitive motions?
891,17-3012.00,70,"Freedom to Make Decisions — How much decision making freedom, without supervision, does the job offer?"
892,17-3012.00,70,"Structured versus Unstructured Work — To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
893,17-3012.00,64,"Frequency of Decision Making — How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
894,17-3012.00,63,Impact of Decisions on Co-workers or Company Results — What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
895,17-3012.00,60,Coordinate or Lead Others — How important is it to coordinate or lead others in accomplishing work activities in this job?
896,17-3012.00,59,Letters and Memos — How often does the job require written letters and memos?
897,17-3012.00,57,Deal With External Customers — How important is it to work with external customers or the public in this job?
898,17-3012.00,53,"Sounds, Noise Levels Are Distracting or Uncomfortable — How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?"
899,17-3012.00,53,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls — How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
900,17-3012.00,51,Consequence of Error — How serious would the result usually be if the worker made a mistake that was not readily correctable?
901,17-3012.00,50,Responsibility for Outcomes and Results — How responsible is the worker for work outcomes and results of other workers?
902,17-3012.00,48,Physical Proximity — To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
903,17-3012.00,47,Level of Competition — To what extent does this job require the worker to compete or to be aware of competitive pressures?
904,17-3012.00,45,Frequency of Conflict Situations — How often are there conflict situations the employee has to face in this job?
905,17-3012.00,44,Degree of Automation — How automated is the job?
906,17-3012.00,36,"Deal With Unpleasant or Angry People — How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?"
907,17-3012.00,28,Responsible for Others' Health and Safety — How much responsibility is there for the health and safety of others in this job?
908,17-3012.00,27,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
909,17-3012.00,23,Public Speaking — How often do you have to perform public speaking in this job?
910,17-3012.00,19,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
911,17-3012.00,18,Spend Time Standing — How much does this job require standing?
912,17-3012.00,16,"Exposed to Contaminants — How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
913,17-3012.00,16,"In an Enclosed Vehicle or Equipment — How often does this job require working in a closed vehicle or equipment (e.g., car)?"
914,17-3012.00,16,Spend Time Walking and Running — How much does this job require walking and running?
915,17-3012.00,15,Exposed to Hazardous Conditions — How often does this job require exposure to hazardous conditions?
916,17-3012.00,15,"Indoors, Not Environmentally Controlled — How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
917,17-3012.00,12,Spend Time Bending or Twisting the Body — How much does this job require bending or twisting your body?
918,17-3012.00,10,"Outdoors, Under Cover — How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?"
919,17-3012.00,10,Pace Determined by Speed of Equipment — How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
920,17-3012.00,10,Very Hot or Cold Temperatures — How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
921,17-3012.00,8,Exposed to Hazardous Equipment — How often does this job require exposure to hazardous equipment?
922,17-3012.00,7,"Exposed to Minor Burns, Cuts, Bites, or Stings — How often does this job require exposure to minor burns, cuts, bites, or stings?"
923,17-3012.00,6,Deal With Physically Aggressive People — How frequently does this job require the worker to deal with physical aggression of violent individuals?
924,17-3012.00,6,Extremely Bright or Inadequate Lighting — How often does this job require working in extremely bright or inadequate lighting conditions?
925,17-3012.00,4,Exposed to High Places — How often does this job require exposure to high places?
926,17-3012.00,3,"Cramped Work Space, Awkward Positions — How often does this job require working in cramped work spaces that requires getting into awkward positions?"
927,17-3012.00,3,"Spend Time Climbing Ladders, Scaffolds, or Poles — How much does this job require climbing ladders, scaffolds, or poles?"
928,17-3012.00,3,"Spend Time Kneeling, Crouching, Stooping, or Crawling — How much does this job require kneeling, crouching, stooping or crawling?"
929,17-3012.00,2,"Exposed to Whole Body Vibration — How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?"
930,17-3012.00,2,"In an Open Vehicle or Equipment — How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
931,17-3012.00,2,Spend Time Keeping or Regaining Balance — How much does this job require keeping or regaining your balance?
932,17-3012.00,2,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection — How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
933,17-3012.00,1,Exposed to Disease or Infections — How often does this job require exposure to disease/infections?
934,17-3012.00,1,Exposed to Radiation — How often does this job require exposure to radiation?
935,11-9013.00,96,Face-to-Face Discussions — How often do you have to have face-to-face discussions with individuals or teams in this job?
936,11-9013.00,95,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
937,11-9013.00,89,"Freedom to Make Decisions — How much decision making freedom, without supervision, does the job offer?"
938,11-9013.00,88,"Structured versus Unstructured Work — To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
939,11-9013.00,86,Work With Work Group or Team — How important is it to work with others in a group or team in this job?
940,11-9013.00,82,"Contact With Others — How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
941,11-9013.00,81,Responsible for Others' Health and Safety — How much responsibility is there for the health and safety of others in this job?
942,11-9013.00,80,"Indoors, Not Environmentally Controlled — How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
943,11-9013.00,78,Telephone — How often do you have telephone conversations in this job?
944,11-9013.00,77,Impact of Decisions on Co-workers or Company Results — What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
945,11-9013.00,76,Coordinate or Lead Others — How important is it to coordinate or lead others in accomplishing work activities in this job?
946,11-9013.00,75,"Outdoors, Under Cover — How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?"
947,11-9013.00,74,Responsibility for Outcomes and Results — How responsible is the worker for work outcomes and results of other workers?
948,11-9013.00,72,"In an Enclosed Vehicle or Equipment — How often does this job require working in a closed vehicle or equipment (e.g., car)?"
949,11-9013.00,72,"In an Open Vehicle or Equipment — How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
950,11-9013.00,70,Very Hot or Cold Temperatures — How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
951,11-9013.00,64,"Frequency of Decision Making — How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
952,11-9013.00,62,Importance of Being Exact or Accurate — How important is being very exact or highly accurate in performing this job?
953,11-9013.00,62,"Indoors, Environmentally Controlled — How often does this job require working indoors in environmentally controlled conditions?"
954,11-9013.00,62,Time Pressure — How often does this job require the worker to meet strict deadlines?
955,11-9013.00,61,Spend Time Standing — How much does this job require standing?
956,11-9013.00,61,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
957,11-9013.00,60,Electronic Mail — How often do you use electronic mail in this job?
958,11-9013.00,58,"Exposed to Minor Burns, Cuts, Bites, or Stings — How often does this job require exposure to minor burns, cuts, bites, or stings?"
959,11-9013.00,57,Deal With External Customers — How important is it to work with external customers or the public in this job?
960,11-9013.00,57,"Sounds, Noise Levels Are Distracting or Uncomfortable — How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?"
961,11-9013.00,56,Physical Proximity — To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
962,11-9013.00,54,"Exposed to Contaminants — How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
963,11-9013.00,54,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls — How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
964,11-9013.00,52,"Importance of Repeating Same Tasks — How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?"
965,11-9013.00,52,Level of Competition — To what extent does this job require the worker to compete or to be aware of competitive pressures?
966,11-9013.00,51,Consequence of Error — How serious would the result usually be if the worker made a mistake that was not readily correctable?
967,11-9013.00,47,Spend Time Walking and Running — How much does this job require walking and running?
968,11-9013.00,44,Letters and Memos — How often does the job require written letters and memos?
969,11-9013.00,43,Exposed to Hazardous Conditions — How often does this job require exposure to hazardous conditions?
970,11-9013.00,42,Exposed to Hazardous Equipment — How often does this job require exposure to hazardous equipment?
971,11-9013.00,40,Frequency of Conflict Situations — How often are there conflict situations the employee has to face in this job?
972,11-9013.00,39,Spend Time Making Repetitive Motions — How much does this job require making repetitive motions?
973,11-9013.00,36,Spend Time Bending or Twisting the Body — How much does this job require bending or twisting your body?
974,11-9013.00,35,Extremely Bright or Inadequate Lighting — How often does this job require working in extremely bright or inadequate lighting conditions?
975,11-9013.00,34,Degree of Automation — How automated is the job?
976,11-9013.00,34,"Spend Time Kneeling, Crouching, Stooping, or Crawling — How much does this job require kneeling, crouching, stooping or crawling?"
977,11-9013.00,34,Spend Time Sitting — How much does this job require sitting?
978,11-9013.00,31,"Cramped Work Space, Awkward Positions — How often does this job require working in cramped work spaces that requires getting into awkward positions?"
979,11-9013.00,31,"Deal With Unpleasant or Angry People — How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?"
980,11-9013.00,31,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection — How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
981,11-9013.00,30,Pace Determined by Speed of Equipment — How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
982,11-9013.00,24,"Exposed to Whole Body Vibration — How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?"
983,11-9013.00,23,Public Speaking — How often do you have to perform public speaking in this job?
984,11-9013.00,21,Exposed to High Places — How often does this job require exposure to high places?
985,11-9013.00,20,Spend Time Keeping or Regaining Balance — How much does this job require keeping or regaining your balance?
986,11-9013.00,17,"Spend Time Climbing Ladders, Scaffolds, or Poles — How much does this job require climbing ladders, scaffolds, or poles?"
987,11-9013.00,5,Exposed to Disease or Infections — How often does this job require exposure to disease/infections?
988,11-9013.00,4,Deal With Physically Aggressive People — How frequently does this job require the worker to deal with physical aggression of violent individuals?
989,11-9013.00,1,Exposed to Radiation — How often does this job require exposure to radiation?
990,45-2092.00,85,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls — How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
991,45-2092.00,82,Face-to-Face Discussions — How often do you have to have face-to-face discussions with individuals or teams in this job?
992,45-2092.00,77,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
993,45-2092.00,68,Spend Time Standing — How much does this job require standing?
994,45-2092.00,67,Responsible for Others' Health and Safety — How much responsibility is there for the health and safety of others in this job?
995,45-2092.00,66,Work With Work Group or Team — How important is it to work with others in a group or team in this job?
996,45-2092.00,65,"Structured versus Unstructured Work — To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
997,45-2092.00,65,Very Hot or Cold Temperatures — How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
998,45-2092.00,62,"Exposed to Contaminants — How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
999,45-2092.00,62,"Freedom to Make Decisions — How much decision making freedom, without supervision, does the job offer?"
1000,45-2092.00,61,Importance of Being Exact or Accurate — How important is being very exact or highly accurate in performing this job?
1001,45-2092.00,60,Coordinate or Lead Others — How important is it to coordinate or lead others in accomplishing work activities in this job?
1002,45-2092.00,60,Spend Time Making Repetitive Motions — How much does this job require making repetitive motions?
1003,45-2092.00,58,Time Pressure — How often does this job require the worker to meet strict deadlines?
1004,45-2092.00,55,"Indoors, Not Environmentally Controlled — How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
1005,45-2092.00,54,Pace Determined by Speed of Equipment — How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
1006,45-2092.00,53,"In an Open Vehicle or Equipment — How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
1007,45-2092.00,52,"Contact With Others — How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
1008,45-2092.00,51,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
1009,45-2092.00,50,Impact of Decisions on Co-workers or Company Results — What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
