,code,imortance,work_style
4373,17-2081.00,68,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4374,17-2081.00,68,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4375,17-2081.00,67,Initiative — Job requires a willingness to take on responsibilities and challenges.
4376,17-2081.00,66,Persistence — Job requires persistence in the face of obstacles.
4377,17-2081.00,65,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4378,17-2081.00,65,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4379,17-2081.00,61,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4380,17-2081.00,59,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4381,17-2081.00,58,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4382,17-2081.00,57,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4383,17-2081.00,44,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4384,19-2041.02,86,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4385,19-2041.02,81,Integrity — Job requires being honest and ethical.
4386,19-2041.02,80,Initiative — Job requires a willingness to take on responsibilities and challenges.
4387,19-2041.02,76,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4388,19-2041.02,76,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4389,19-2041.02,75,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4390,19-2041.02,74,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4391,19-2041.02,73,Persistence — Job requires persistence in the face of obstacles.
4392,19-2041.02,71,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4393,19-2041.02,69,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4394,19-2041.02,69,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4395,19-2041.02,63,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4396,19-2041.02,63,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4397,19-2041.02,61,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4398,19-2041.02,55,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4399,19-2041.02,51,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4400,19-4042.00,93,Integrity — Job requires being honest and ethical.
4401,19-4042.00,84,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4402,19-4042.00,83,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4403,19-4042.00,80,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4404,19-4042.00,75,Initiative — Job requires a willingness to take on responsibilities and challenges.
4405,19-4042.00,71,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4406,19-4042.00,71,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4407,19-4042.00,71,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4408,19-4042.00,69,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4409,19-4042.00,66,Persistence — Job requires persistence in the face of obstacles.
4410,19-4042.00,63,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4411,19-4042.00,58,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4412,19-4042.00,58,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4413,19-4042.00,57,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4414,19-4042.00,50,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4415,19-4042.00,44,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4416,25-1053.00,90,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4417,25-1053.00,90,Initiative — Job requires a willingness to take on responsibilities and challenges.
4418,25-1053.00,90,Integrity — Job requires being honest and ethical.
4419,25-1053.00,88,Persistence — Job requires persistence in the face of obstacles.
4420,25-1053.00,87,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4421,25-1053.00,86,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4422,25-1053.00,85,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4423,25-1053.00,84,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4424,25-1053.00,82,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4425,25-1053.00,81,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4426,25-1053.00,80,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4427,25-1053.00,77,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4428,25-1053.00,76,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4429,25-1053.00,74,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4430,25-1053.00,73,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4431,25-1053.00,60,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4432,19-2041.00,88,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4433,19-2041.00,87,Integrity — Job requires being honest and ethical.
4434,19-2041.00,86,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4435,19-2041.00,84,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4436,19-2041.00,75,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4437,19-2041.00,75,Initiative — Job requires a willingness to take on responsibilities and challenges.
4438,19-2041.00,73,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4439,19-2041.00,72,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4440,19-2041.00,71,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4441,19-2041.00,69,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4442,19-2041.00,68,Persistence — Job requires persistence in the face of obstacles.
4443,19-2041.00,67,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4444,19-2041.00,66,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4445,19-2041.00,62,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4446,19-2041.00,59,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4447,19-2041.00,53,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4448,19-1041.00,93,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4449,19-1041.00,92,Integrity — Job requires being honest and ethical.
4450,19-1041.00,88,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4451,19-1041.00,82,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4452,19-1041.00,82,Initiative — Job requires a willingness to take on responsibilities and challenges.
4453,19-1041.00,78,Persistence — Job requires persistence in the face of obstacles.
4454,19-1041.00,77,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4455,19-1041.00,75,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4456,19-1041.00,75,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4457,19-1041.00,73,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4458,19-1041.00,70,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4459,19-1041.00,68,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4460,19-1041.00,64,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4461,19-1041.00,63,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4462,19-1041.00,61,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4463,19-1041.00,58,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4464,13-1041.03,93,Integrity — Job requires being honest and ethical.
4465,13-1041.03,89,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4466,13-1041.03,87,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4467,13-1041.03,87,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4468,13-1041.03,85,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4469,13-1041.03,85,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4470,13-1041.03,80,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4471,13-1041.03,79,Initiative — Job requires a willingness to take on responsibilities and challenges.
4472,13-1041.03,78,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4473,13-1041.03,76,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4474,13-1041.03,76,Persistence — Job requires persistence in the face of obstacles.
4475,13-1041.03,72,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4476,13-1041.03,71,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4477,13-1041.03,69,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4478,13-1041.03,56,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4479,13-1041.03,53,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4480,51-9194.00,92,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4481,51-9194.00,87,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4482,51-9194.00,85,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4483,51-9194.00,75,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4484,51-9194.00,75,Persistence — Job requires persistence in the face of obstacles.
4485,51-9194.00,73,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4486,51-9194.00,70,Initiative — Job requires a willingness to take on responsibilities and challenges.
4487,51-9194.00,69,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4488,51-9194.00,68,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4489,51-9194.00,68,Integrity — Job requires being honest and ethical.
4490,51-9194.00,67,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4491,51-9194.00,63,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4492,51-9194.00,63,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4493,51-9194.00,61,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4494,51-9194.00,57,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4495,51-9194.00,41,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4496,47-5022.00,83,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4497,47-5022.00,74,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4498,47-5022.00,67,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4499,47-5022.00,65,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4500,47-5022.00,65,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4501,47-5022.00,65,Integrity — Job requires being honest and ethical.
4502,47-5022.00,62,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4503,47-5022.00,62,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4504,47-5022.00,61,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4505,47-5022.00,61,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4506,47-5022.00,61,Initiative — Job requires a willingness to take on responsibilities and challenges.
4507,47-5022.00,61,Persistence — Job requires persistence in the face of obstacles.
4508,47-5022.00,55,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4509,47-5022.00,54,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4510,47-5022.00,52,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4511,47-5022.00,50,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4512,43-6011.00,90,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4513,43-6011.00,90,Integrity — Job requires being honest and ethical.
4514,43-6011.00,89,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4515,43-6011.00,87,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4516,43-6011.00,79,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4517,43-6011.00,79,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4518,43-6011.00,78,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4519,43-6011.00,77,Initiative — Job requires a willingness to take on responsibilities and challenges.
4520,43-6011.00,76,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4521,43-6011.00,71,Persistence — Job requires persistence in the face of obstacles.
4522,43-6011.00,71,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4523,43-6011.00,71,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4524,43-6011.00,66,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4525,43-6011.00,63,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4526,43-6011.00,63,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4527,43-6011.00,63,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4528,29-1128.00,93,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4529,29-1128.00,92,Integrity — Job requires being honest and ethical.
4530,29-1128.00,89,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4531,29-1128.00,83,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4532,29-1128.00,83,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4533,29-1128.00,81,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4534,29-1128.00,80,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4535,29-1128.00,76,Initiative — Job requires a willingness to take on responsibilities and challenges.
4536,29-1128.00,73,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4537,29-1128.00,72,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4538,29-1128.00,71,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4539,29-1128.00,71,Persistence — Job requires persistence in the face of obstacles.
4540,29-1128.00,69,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4541,29-1128.00,68,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4542,29-1128.00,68,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4543,29-1128.00,59,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4544,39-9031.00,91,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4545,39-9031.00,88,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4546,39-9031.00,83,Integrity — Job requires being honest and ethical.
4547,39-9031.00,79,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4548,39-9031.00,78,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4549,39-9031.00,76,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4550,39-9031.00,76,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4551,39-9031.00,74,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4552,39-9031.00,73,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4553,39-9031.00,72,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4554,39-9031.00,70,Initiative — Job requires a willingness to take on responsibilities and challenges.
4555,39-9031.00,68,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4556,39-9031.00,66,Persistence — Job requires persistence in the face of obstacles.
4557,39-9031.00,63,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4558,39-9031.00,63,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4559,39-9031.00,54,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4560,47-5032.00,92,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4561,47-5032.00,87,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4562,47-5032.00,87,Integrity — Job requires being honest and ethical.
4563,47-5032.00,85,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4564,47-5032.00,80,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4565,47-5032.00,77,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4566,47-5032.00,75,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4567,47-5032.00,75,Initiative — Job requires a willingness to take on responsibilities and challenges.
4568,47-5032.00,74,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4569,47-5032.00,71,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4570,47-5032.00,68,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4571,47-5032.00,67,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4572,47-5032.00,66,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4573,47-5032.00,66,Persistence — Job requires persistence in the face of obstacles.
4574,47-5032.00,61,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4575,47-5032.00,46,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4576,51-4021.00,83,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4577,51-4021.00,82,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4578,51-4021.00,74,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4579,51-4021.00,72,Integrity — Job requires being honest and ethical.
4580,51-4021.00,71,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4581,51-4021.00,70,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4582,51-4021.00,66,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4583,51-4021.00,66,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4584,51-4021.00,65,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4585,51-4021.00,62,Initiative — Job requires a willingness to take on responsibilities and challenges.
4586,51-4021.00,62,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4587,51-4021.00,61,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4588,51-4021.00,55,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4589,51-4021.00,54,Persistence — Job requires persistence in the face of obstacles.
4590,51-4021.00,51,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4591,51-4021.00,49,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4592,51-6091.00,75,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4593,51-6091.00,75,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4594,51-6091.00,74,Integrity — Job requires being honest and ethical.
4595,51-6091.00,72,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4596,51-6091.00,71,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4597,51-6091.00,71,Persistence — Job requires persistence in the face of obstacles.
4598,51-6091.00,69,Initiative — Job requires a willingness to take on responsibilities and challenges.
4599,51-6091.00,69,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4600,51-6091.00,68,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4601,51-6091.00,63,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4602,51-6091.00,63,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4603,51-6091.00,58,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4604,51-6091.00,58,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4605,51-6091.00,52,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4606,51-6091.00,50,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4607,51-6091.00,41,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4608,51-9041.00,83,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4609,51-9041.00,81,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4610,51-9041.00,75,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4611,51-9041.00,75,Initiative — Job requires a willingness to take on responsibilities and challenges.
4612,51-9041.00,73,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4613,51-9041.00,72,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4614,51-9041.00,72,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4615,51-9041.00,72,Integrity — Job requires being honest and ethical.
4616,51-9041.00,71,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4617,51-9041.00,71,Persistence — Job requires persistence in the face of obstacles.
4618,51-9041.00,71,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4619,51-9041.00,69,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4620,51-9041.00,69,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4621,51-9041.00,67,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4622,51-9041.00,64,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4623,51-9041.00,59,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4624,51-6092.00,98,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4625,51-6092.00,93,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4626,51-6092.00,84,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4627,51-6092.00,84,Integrity — Job requires being honest and ethical.
4628,51-6092.00,82,Initiative — Job requires a willingness to take on responsibilities and challenges.
4629,51-6092.00,80,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4630,51-6092.00,80,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4631,51-6092.00,79,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4632,51-6092.00,78,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4633,51-6092.00,78,Persistence — Job requires persistence in the face of obstacles.
4634,51-6092.00,78,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4635,51-6092.00,77,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4636,51-6092.00,73,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4637,51-6092.00,59,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4638,51-6092.00,57,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4639,51-6092.00,47,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4640,45-4021.00,78,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4641,45-4021.00,74,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
4642,45-4021.00,73,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
4643,45-4021.00,70,Integrity — Job requires being honest and ethical.
4644,45-4021.00,70,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
4645,45-4021.00,67,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
4646,45-4021.00,67,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
4647,45-4021.00,66,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4648,45-4021.00,63,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
4649,45-4021.00,62,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
4650,45-4021.00,62,Initiative — Job requires a willingness to take on responsibilities and challenges.
4651,45-4021.00,61,Persistence — Job requires persistence in the face of obstacles.
4652,45-4021.00,58,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
4653,45-4021.00,55,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
4654,45-4021.00,50,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
4655,45-4021.00,46,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
4656,25-1192.00,95,Integrity — Job requires being honest and ethical.
4657,25-1192.00,92,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
4658,25-1192.00,90,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
4659,25-1192.00,89,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
