,code,importance,skill
2241,53-6051.01,72,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2242,53-6051.01,72,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
2243,53-6051.01,72,Speaking — Talking to others to convey information effectively.
2244,53-6051.01,69,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
2245,53-6051.01,69,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
2246,53-6051.01,66,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
2247,53-6051.01,60,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2248,53-6051.01,60,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
2249,53-6051.01,56,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2250,53-6051.01,56,Time Management — Managing one's own time and the time of others.
2251,53-6051.01,56,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
2252,53-6051.01,53,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
2253,53-6051.01,50,Operation and Control — Controlling operations of equipment or systems.
2254,53-6051.01,50,Service Orientation — Actively looking for ways to help people.
2255,53-6051.01,50,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
2256,53-6051.01,50,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
2257,53-6051.01,47,Coordination — Adjusting actions in relation to others' actions.
2258,53-6051.01,47,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2259,53-6051.01,47,Instructing — Teaching others how to do something.
2260,53-6051.01,47,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2261,53-6051.01,47,Negotiation — Bringing others together and trying to reconcile differences.
2262,53-6051.01,47,Persuasion — Persuading others to change their minds or behavior.
2263,53-6051.01,47,Repairing — Repairing machines or systems using the needed tools.
2264,53-6051.01,47,Science — Using scientific rules and methods to solve problems.
2265,53-6051.01,47,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
2266,53-6051.01,44,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
2267,53-6051.01,44,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
2268,53-6051.01,41,Operations Analysis — Analyzing needs and product requirements to create a design.
2269,53-6051.01,31,Mathematics — Using mathematics to solve problems.
2270,53-6051.01,19,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
2271,53-6051.01,16,Technology Design — Generating or adapting equipment and technology to serve user needs.
2272,53-6051.01,13,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
2273,53-6051.01,10,Programming — Writing computer programs for various purposes.
2274,53-6051.01,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
2275,49-2091.00,72,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2276,49-2091.00,72,Repairing — Repairing machines or systems using the needed tools.
2277,49-2091.00,72,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
2278,49-2091.00,69,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
2279,49-2091.00,69,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
2280,49-2091.00,69,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
2281,49-2091.00,63,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2282,49-2091.00,60,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2283,49-2091.00,60,Speaking — Talking to others to convey information effectively.
2284,49-2091.00,56,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2285,49-2091.00,56,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
2286,49-2091.00,56,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
2287,49-2091.00,53,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
2288,49-2091.00,53,Time Management — Managing one's own time and the time of others.
2289,49-2091.00,50,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
2290,49-2091.00,50,Coordination — Adjusting actions in relation to others' actions.
2291,49-2091.00,50,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
2292,49-2091.00,50,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
2293,49-2091.00,47,Instructing — Teaching others how to do something.
2294,49-2091.00,47,Persuasion — Persuading others to change their minds or behavior.
2295,49-2091.00,47,Science — Using scientific rules and methods to solve problems.
2296,49-2091.00,47,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
2297,49-2091.00,47,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
2298,49-2091.00,44,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
2299,49-2091.00,44,Service Orientation — Actively looking for ways to help people.
2300,49-2091.00,41,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2301,49-2091.00,41,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
2302,49-2091.00,38,Operation and Control — Controlling operations of equipment or systems.
2303,49-2091.00,35,Negotiation — Bringing others together and trying to reconcile differences.
2304,49-2091.00,31,Operations Analysis — Analyzing needs and product requirements to create a design.
2305,49-2091.00,28,Mathematics — Using mathematics to solve problems.
2306,49-2091.00,22,Technology Design — Generating or adapting equipment and technology to serve user needs.
2307,49-2091.00,19,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
2308,49-2091.00,16,Programming — Writing computer programs for various purposes.
2309,49-2091.00,13,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
2310,39-6011.00,69,Service Orientation — Actively looking for ways to help people.
2311,39-6011.00,66,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2312,39-6011.00,66,Speaking — Talking to others to convey information effectively.
2313,39-6011.00,50,Coordination — Adjusting actions in relation to others' actions.
2314,39-6011.00,50,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
2315,39-6011.00,47,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2316,39-6011.00,47,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
2317,39-6011.00,47,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
2318,39-6011.00,47,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
2319,39-6011.00,47,Time Management — Managing one's own time and the time of others.
2320,39-6011.00,44,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2321,39-6011.00,44,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
2322,39-6011.00,38,Instructing — Teaching others how to do something.
2323,39-6011.00,35,Operation and Control — Controlling operations of equipment or systems.
2324,39-6011.00,35,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
2325,39-6011.00,31,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
2326,39-6011.00,31,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2327,39-6011.00,31,Negotiation — Bringing others together and trying to reconcile differences.
2328,39-6011.00,31,Persuasion — Persuading others to change their minds or behavior.
2329,39-6011.00,28,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
2330,39-6011.00,28,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
2331,39-6011.00,25,Mathematics — Using mathematics to solve problems.
2332,39-6011.00,25,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
2333,39-6011.00,25,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
2334,39-6011.00,25,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
2335,39-6011.00,22,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
2336,39-6011.00,22,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
2337,39-6011.00,16,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2338,39-6011.00,16,Repairing — Repairing machines or systems using the needed tools.
2339,39-6011.00,13,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
2340,39-6011.00,6,Programming — Writing computer programs for various purposes.
2341,39-6011.00,6,Technology Design — Generating or adapting equipment and technology to serve user needs.
2342,39-6011.00,3,Operations Analysis — Analyzing needs and product requirements to create a design.
2343,39-6011.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
2344,39-6011.00,0,Science — Using scientific rules and methods to solve problems.
2345,33-3011.00,75,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
2346,33-3011.00,60,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
2347,33-3011.00,60,Speaking — Talking to others to convey information effectively.
2348,33-3011.00,56,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2349,33-3011.00,56,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2350,33-3011.00,50,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
2351,33-3011.00,50,Time Management — Managing one's own time and the time of others.
2352,33-3011.00,47,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2353,33-3011.00,47,Coordination — Adjusting actions in relation to others' actions.
2354,33-3011.00,47,Persuasion — Persuading others to change their minds or behavior.
2355,33-3011.00,47,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
2356,33-3011.00,47,Service Orientation — Actively looking for ways to help people.
2357,33-3011.00,44,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
2358,33-3011.00,44,Negotiation — Bringing others together and trying to reconcile differences.
2359,33-3011.00,35,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
2360,33-3011.00,31,Instructing — Teaching others how to do something.
2361,33-3011.00,31,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
2362,33-3011.00,28,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2363,33-3011.00,25,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
2364,33-3011.00,22,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
2365,33-3011.00,22,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
2366,33-3011.00,13,Mathematics — Using mathematics to solve problems.
2367,33-3011.00,13,Operation and Control — Controlling operations of equipment or systems.
2368,33-3011.00,13,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
2369,33-3011.00,10,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
2370,33-3011.00,6,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
2371,33-3011.00,6,Technology Design — Generating or adapting equipment and technology to serve user needs.
2372,33-3011.00,6,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
2373,33-3011.00,3,Operations Analysis — Analyzing needs and product requirements to create a design.
2374,33-3011.00,3,Programming — Writing computer programs for various purposes.
2375,33-3011.00,0,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2376,33-3011.00,0,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
2377,33-3011.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
2378,33-3011.00,0,Repairing — Repairing machines or systems using the needed tools.
2379,33-3011.00,0,Science — Using scientific rules and methods to solve problems.
2380,51-3011.00,56,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
2381,51-3011.00,50,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
2382,51-3011.00,50,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2383,51-3011.00,50,Coordination — Adjusting actions in relation to others' actions.
2384,51-3011.00,50,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
2385,51-3011.00,50,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2386,51-3011.00,50,Speaking — Talking to others to convey information effectively.
2387,51-3011.00,50,Time Management — Managing one's own time and the time of others.
2388,51-3011.00,47,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
2389,51-3011.00,47,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
2390,51-3011.00,47,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
2391,51-3011.00,44,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
2392,51-3011.00,38,Service Orientation — Actively looking for ways to help people.
2393,51-3011.00,31,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2394,51-3011.00,31,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2395,51-3011.00,31,Mathematics — Using mathematics to solve problems.
2396,51-3011.00,31,Operation and Control — Controlling operations of equipment or systems.
2397,51-3011.00,31,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
2398,51-3011.00,28,Negotiation — Bringing others together and trying to reconcile differences.
2399,51-3011.00,28,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
2400,51-3011.00,25,Instructing — Teaching others how to do something.
2401,51-3011.00,25,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
2402,51-3011.00,25,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
2403,51-3011.00,25,Operations Analysis — Analyzing needs and product requirements to create a design.
2404,51-3011.00,25,Persuasion — Persuading others to change their minds or behavior.
2405,51-3011.00,25,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
2406,51-3011.00,25,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
2407,51-3011.00,19,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
2408,51-3011.00,19,Science — Using scientific rules and methods to solve problems.
2409,51-3011.00,19,Technology Design — Generating or adapting equipment and technology to serve user needs.
2410,51-3011.00,13,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2411,51-3011.00,13,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
2412,51-3011.00,3,Repairing — Repairing machines or systems using the needed tools.
2413,51-3011.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
2414,51-3011.00,0,Programming — Writing computer programs for various purposes.
2415,39-5011.00,60,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2416,39-5011.00,53,Service Orientation — Actively looking for ways to help people.
2417,39-5011.00,53,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
2418,39-5011.00,53,Speaking — Talking to others to convey information effectively.
2419,39-5011.00,50,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2420,39-5011.00,47,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
2421,39-5011.00,47,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
2422,39-5011.00,44,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
2423,39-5011.00,41,Time Management — Managing one's own time and the time of others.
2424,39-5011.00,38,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
2425,39-5011.00,38,Coordination — Adjusting actions in relation to others' actions.
2426,39-5011.00,31,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2427,39-5011.00,31,Persuasion — Persuading others to change their minds or behavior.
2428,39-5011.00,28,Operations Analysis — Analyzing needs and product requirements to create a design.
2429,39-5011.00,25,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2430,39-5011.00,25,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
2431,39-5011.00,25,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
2432,39-5011.00,25,Negotiation — Bringing others together and trying to reconcile differences.
2433,39-5011.00,25,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
2434,39-5011.00,25,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
2435,39-5011.00,25,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
2436,39-5011.00,22,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
2437,39-5011.00,22,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2438,39-5011.00,22,Mathematics — Using mathematics to solve problems.
2439,39-5011.00,22,Operation and Control — Controlling operations of equipment or systems.
2440,39-5011.00,22,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
2441,39-5011.00,22,Repairing — Repairing machines or systems using the needed tools.
2442,39-5011.00,19,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
2443,39-5011.00,19,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
2444,39-5011.00,16,Instructing — Teaching others how to do something.
2445,39-5011.00,16,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
2446,39-5011.00,13,Technology Design — Generating or adapting equipment and technology to serve user needs.
2447,39-5011.00,6,Science — Using scientific rules and methods to solve problems.
2448,39-5011.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
2449,39-5011.00,0,Programming — Writing computer programs for various purposes.
2450,35-3023.01,63,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2451,35-3023.01,60,Service Orientation — Actively looking for ways to help people.
2452,35-3023.01,60,Speaking — Talking to others to convey information effectively.
2453,35-3023.01,53,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
2454,35-3023.01,50,Coordination — Adjusting actions in relation to others' actions.
2455,35-3023.01,50,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
2456,35-3023.01,50,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
2457,35-3023.01,47,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
2458,35-3023.01,44,Operation and Control — Controlling operations of equipment or systems.
2459,35-3023.01,44,Persuasion — Persuading others to change their minds or behavior.
2460,35-3023.01,41,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
2461,35-3023.01,41,Time Management — Managing one's own time and the time of others.
2462,35-3023.01,41,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
2463,35-3023.01,38,Negotiation — Bringing others together and trying to reconcile differences.
2464,35-3023.01,38,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
2465,35-3023.01,35,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2466,35-3023.01,35,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2467,35-3023.01,35,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2468,35-3023.01,31,Instructing — Teaching others how to do something.
2469,35-3023.01,31,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
2470,35-3023.01,28,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2471,35-3023.01,28,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
2472,35-3023.01,28,Mathematics — Using mathematics to solve problems.
2473,35-3023.01,28,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
2474,35-3023.01,25,Repairing — Repairing machines or systems using the needed tools.
2475,35-3023.01,22,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
2476,35-3023.01,19,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
2477,35-3023.01,19,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
2478,35-3023.01,19,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
2479,35-3023.01,16,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
2480,35-3023.01,10,Technology Design — Generating or adapting equipment and technology to serve user needs.
2481,35-3023.01,3,Operations Analysis — Analyzing needs and product requirements to create a design.
2482,35-3023.01,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
2483,35-3023.01,0,Programming — Writing computer programs for various purposes.
2484,35-3023.01,0,Science — Using scientific rules and methods to solve problems.
2485,35-3011.00,69,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2486,35-3011.00,66,Service Orientation — Actively looking for ways to help people.
2487,35-3011.00,56,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
2488,35-3011.00,53,Coordination — Adjusting actions in relation to others' actions.
2489,35-3011.00,53,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
2490,35-3011.00,53,Persuasion — Persuading others to change their minds or behavior.
2491,35-3011.00,53,Speaking — Talking to others to convey information effectively.
2492,35-3011.00,50,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
2493,35-3011.00,50,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2494,35-3011.00,50,Instructing — Teaching others how to do something.
2495,35-3011.00,50,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
2496,35-3011.00,50,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
2497,35-3011.00,50,Time Management — Managing one's own time and the time of others.
2498,35-3011.00,47,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2499,35-3011.00,47,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2500,35-3011.00,47,Negotiation — Bringing others together and trying to reconcile differences.
2501,35-3011.00,44,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
2502,35-3011.00,38,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
2503,35-3011.00,35,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
2504,35-3011.00,31,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
2505,35-3011.00,31,Mathematics — Using mathematics to solve problems.
2506,35-3011.00,31,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
2507,35-3011.00,31,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
2508,35-3011.00,31,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
2509,35-3011.00,25,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
2510,35-3011.00,22,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
2511,35-3011.00,16,Operation and Control — Controlling operations of equipment or systems.
2512,35-3011.00,13,Technology Design — Generating or adapting equipment and technology to serve user needs.
2513,35-3011.00,6,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
2514,35-3011.00,6,Programming — Writing computer programs for various purposes.
2515,35-3011.00,3,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2516,35-3011.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
2517,35-3011.00,0,Operations Analysis — Analyzing needs and product requirements to create a design.
2518,35-3011.00,0,Repairing — Repairing machines or systems using the needed tools.
2519,35-3011.00,0,Science — Using scientific rules and methods to solve problems.
2520,49-3091.00,72,Repairing — Repairing machines or systems using the needed tools.
2521,49-3091.00,66,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2522,49-3091.00,66,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
2523,49-3091.00,66,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
2524,49-3091.00,60,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2525,49-3091.00,60,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
2526,49-3091.00,60,Service Orientation — Actively looking for ways to help people.
2527,49-3091.00,60,Speaking — Talking to others to convey information effectively.
2528,49-3091.00,56,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
2529,49-3091.00,56,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
2530,49-3091.00,50,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2531,49-3091.00,50,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
2532,49-3091.00,47,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
2533,49-3091.00,47,Coordination — Adjusting actions in relation to others' actions.
2534,49-3091.00,47,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2535,49-3091.00,47,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
2536,49-3091.00,47,Negotiation — Bringing others together and trying to reconcile differences.
2537,49-3091.00,47,Persuasion — Persuading others to change their minds or behavior.
2538,49-3091.00,47,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
2539,49-3091.00,44,Instructing — Teaching others how to do something.
2540,49-3091.00,44,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2541,49-3091.00,44,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
2542,49-3091.00,44,Time Management — Managing one's own time and the time of others.
2543,49-3091.00,41,Operation and Control — Controlling operations of equipment or systems.
2544,49-3091.00,38,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
2545,49-3091.00,38,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
2546,49-3091.00,38,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
2547,49-3091.00,35,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
2548,49-3091.00,28,Mathematics — Using mathematics to solve problems.
2549,49-3091.00,25,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
2550,49-3091.00,22,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
2551,49-3091.00,22,Technology Design — Generating or adapting equipment and technology to serve user needs.
2552,49-3091.00,16,Operations Analysis — Analyzing needs and product requirements to create a design.
2553,49-3091.00,6,Science — Using scientific rules and methods to solve problems.
2554,49-3091.00,3,Programming — Writing computer programs for various purposes.
2555,43-3011.00,72,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2556,43-3011.00,72,Speaking — Talking to others to convey information effectively.
