,code,detailed_work_activity
4807,21-1012.00,Counsel clients regarding educational or vocational issues.
4808,21-1012.00,Counsel clients or patients regarding personal issues.
4809,21-1012.00,Evaluate characteristics of individuals to determine needs or eligibility.
4810,21-1012.00,Write reports or evaluations.
4811,21-1012.00,Complete documentation required by programs or regulations.
4812,21-1012.00,Refer individuals to educational or work programs.
4813,21-1012.00,Lead classes or community events.
4814,21-1012.00,Develop educational programs.
4815,21-1012.00,"Interview clients to gather information about their backgrounds, needs, or progress."
4816,21-1012.00,Teach life skills or strategies to clients or their families.
4817,21-1012.00,Plan programs to address community mental wellness needs.
4818,21-1012.00,Present social services program information to the public.
4819,21-1012.00,Collaborate with other professionals to develop education or assistance programs.
4820,21-1012.00,Assess individual or community needs for educational or social services.
4821,21-1012.00,Refer clients to community or social service programs.
4822,21-1012.00,Develop educational policies.
4823,21-1012.00,Maintain professional social services knowledge.
4824,21-1012.00,Supervise workers providing client or patient services.
4825,21-1012.00,Advise others on social or educational issues.
4826,21-1012.00,Promote educational institutions or programs.
4827,21-1012.00,Develop working relationships with others to facilitate program activities.
4828,21-1012.00,Assist clients in handling details of daily life.
4829,21-1012.00,Train staff members in social services skills.
4830,49-2092.00,"Inspect mechanical equipment to locate damage, defects, or wear."
4831,49-2092.00,Read work orders or descriptions of problems to determine repairs or modifications needed.
4832,49-2092.00,Adjust equipment to ensure optimal performance.
4833,49-2092.00,Reassemble equipment after repair.
4834,49-2092.00,Communicate with coworkers to coordinate installations or repairs.
4835,49-2092.00,"Operate cranes, hoists, or other moving or lifting equipment."
4836,49-2092.00,Measure equipment outputs.
4837,49-2092.00,Rebuild parts or components.
4838,49-2092.00,Repair defective engines or engine components.
4839,49-2092.00,Maintain repair or maintenance records.
4840,49-2092.00,Disassemble equipment for maintenance or repair.
4841,49-2092.00,"Clean equipment, parts, or tools to repair or maintain them in good working order."
4842,49-2092.00,Lubricate equipment to allow proper functioning.
4843,49-2092.00,Inspect electrical or electronic systems for defects.
4844,49-2092.00,Read technical information needed to perform maintenance or repairs.
4845,49-2092.00,Smooth surfaces of objects or equipment.
4846,49-2092.00,Test mechanical equipment to ensure proper functioning.
4847,49-2092.00,Cut materials according to specifications or needs.
4848,49-2092.00,Install insulation in equipment or structures.
4849,49-2092.00,"Maintain inventories of materials, equipment, or products."
4850,49-2092.00,"Assemble electrical components, subsystems, or systems."
4851,49-2092.00,Solder parts or connections between parts.
4852,49-2092.00,Repair electrical components.
4853,49-2092.00,Rewire electrical or electronic systems.
4854,49-2092.00,Seal gaps or cracks to prevent leakage or moisture intrusion.
4855,49-2092.00,Test electrical circuits or components for proper functioning.
4856,49-2092.00,Braze metal parts or components.
4857,49-2092.00,Fabricate parts or components.
4858,49-2092.00,Prepare compounds or solutions to be used for repairs.
4859,49-2092.00,Remove parts or components from equipment.
4860,49-2092.00,"Replace worn, damaged, or defective mechanical parts."
4861,49-2092.00,"Remove dents from equipment, materials, tools or structures."
4862,49-2092.00,Repair electronic equipment.
4863,49-2092.00,Sharpen cutting or grinding tools.
4864,49-2092.00,Bolt objects into place.
4865,49-2092.00,Level machines or equipment.
4866,17-3023.00,Maintain electronic equipment.
4867,17-3023.00,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
4868,17-3023.00,Review technical documents to plan work.
4869,17-3023.00,Install instrumentation or electronic equipment or systems.
4870,17-3023.00,Confer with other personnel to resolve design or operational problems.
4871,17-3023.00,Resolve operational performance problems.
4872,17-3023.00,Create electrical schematics.
4873,17-3023.00,Assemble equipment or components.
4874,17-3023.00,Evaluate designs or specifications to ensure quality.
4875,17-3023.00,Interpret design or operational test results.
4876,17-3023.00,Maintain operational records or records systems.
4877,17-3023.00,"Select tools, equipment, or technologies for use in operations or projects."
4878,17-3023.00,Estimate technical or resource requirements for development or production projects.
4879,17-3023.00,Direct industrial production activities.
4880,17-3023.00,Direct installation activities.
4881,17-3023.00,Document technical design details.
4882,17-3023.00,Estimate operational costs.
4883,17-3023.00,Prepare project budgets.
4884,17-3023.00,Train personnel on proper operational procedures.
4885,17-3023.00,Design electrical equipment or systems.
4886,17-3023.00,Operate computer systems.
4887,17-3023.00,"Purchase materials, equipment, or other resources."
4888,17-3023.00,Update technical knowledge.
4889,17-3023.00,Advise customers on the use of products or services.
4890,17-3023.00,Direct quality control activities.
4891,17-3023.00,Create schematic drawings for electronics.
4892,17-3023.00,Analyze costs and benefits of proposed designs or projects.
4893,17-3023.00,Determine operational criteria or specifications.
4894,17-3023.00,Evaluate characteristics of equipment or systems.
4895,17-3023.00,Test green technologies or processes.
4896,51-2022.00,Read work orders or other instructions to determine product specifications or materials requirements.
4897,51-2022.00,Review blueprints or other instructions to determine operational methods or sequences.
4898,51-2022.00,Assemble electrical or electronic equipment.
4899,51-2022.00,Operate welding equipment.
4900,51-2022.00,Solder parts or workpieces.
4901,51-2022.00,Record operational or production data.
4902,51-2022.00,Test electrical equipment or systems to ensure proper functioning.
4903,51-2022.00,Repair parts or assemblies.
4904,51-2022.00,Align parts or workpieces to ensure proper assembly.
4905,51-2022.00,Instruct workers to use equipment or perform technical procedures.
4906,51-2022.00,"Mark products, workpieces, or equipment with identifying information."
4907,51-2022.00,Clean workpieces or finished products.
4908,51-2022.00,"Drill holes in parts, equipment, or materials."
4909,51-2022.00,Adjust flow of electricity to tools or production equipment.
4910,51-2022.00,Distribute supplies to workers.
4911,51-2022.00,Confer with others to resolve production problems or equipment malfunctions.
4912,51-2022.00,Exchange information with colleagues.
4913,51-2022.00,"Move products, materials, or equipment between work areas."
4914,51-2022.00,Package products for storage or shipment.
4915,51-2022.00,"Advise others on issues related to repairs, installation, or equipment design."
4916,51-2022.00,Apply protective or decorative finishes to workpieces or products.
4917,51-2022.00,Operate painting or coating equipment.
4918,17-3012.00,Operate digital imaging equipment.
4919,17-3012.00,Create electrical schematics.
4920,17-3012.00,Document technical design details.
4921,17-3012.00,Confer with technical personnel to prepare designs or operational plans.
4922,17-3012.00,Operate computer systems.
4923,17-3012.00,Evaluate designs or specifications to ensure quality.
4924,17-3012.00,Review technical documents to plan work.
4925,17-3012.00,Confer with other personnel to resolve design or operational problems.
4926,17-3012.00,Create schematic drawings for electronics.
4927,17-3012.00,Collect data about project sites.
4928,17-3012.00,Supervise engineering or other technical personnel.
4929,17-3012.00,Design electrical equipment or systems.
4930,17-3012.00,Verify mathematical calculations.
4931,17-3012.00,Prepare detailed work plans.
4932,17-3012.00,"Explain engineering drawings, specifications, or other technical information."
4933,17-3012.00,"Select tools, equipment, or technologies for use in operations or projects."
4934,17-3012.00,Prepare technical reports for internal use.
4935,17-3012.00,Train personnel on proper operational procedures.
4936,17-3012.00,Estimate technical or resource requirements for development or production projects.
4937,49-2093.00,Inspect electrical or electronic systems for defects.
4938,49-2093.00,Test electrical equipment or systems to ensure proper functioning.
4939,49-2093.00,Reassemble equipment after repair.
4940,49-2093.00,Test electrical circuits or components for proper functioning.
4941,49-2093.00,Confer with customers or users to assess problems.
4942,49-2093.00,Repair electrical circuits or wiring.
4943,49-2093.00,Adjust equipment to ensure optimal performance.
4944,49-2093.00,Connect electrical components or equipment.
4945,49-2093.00,Solder parts or connections between parts.
4946,49-2093.00,"Install heating, ventilation, or air conditioning (HVAC) equipment."
4947,49-2093.00,Maintain repair or maintenance records.
4948,49-2093.00,"Install electrical components, equipment, or systems."
4949,49-2093.00,Read technical information needed to perform maintenance or repairs.
4950,49-2093.00,Rebuild parts or components.
4951,49-2093.00,Repair electronic equipment.
4952,49-2093.00,"Drill holes in parts, equipment, or materials."
4953,49-2093.00,Estimate costs for labor or materials.
4954,49-2093.00,Cut materials according to specifications or needs.
4955,49-2093.00,Measure distances or dimensions.
4956,49-2094.00,Test electrical equipment or systems to ensure proper functioning.
4957,49-2094.00,Maintain repair or maintenance records.
4958,49-2094.00,Test mechanical equipment to ensure proper functioning.
4959,49-2094.00,Inspect equipment to locate or identify electrical problems.
4960,49-2094.00,"Install electrical components, equipment, or systems."
4961,49-2094.00,Demonstrate activity techniques or equipment use.
4962,49-2094.00,Diagnose equipment malfunctions.
4963,49-2094.00,Enter codes or other information into computers.
4964,49-2094.00,Calibrate equipment to specifications.
4965,49-2094.00,Maintain work equipment or machinery.
4966,49-2094.00,Adjust equipment to ensure optimal performance.
4967,49-2094.00,"Repair worn, damaged, or defective mechanical parts."
4968,49-2094.00,"Replace worn, damaged, or defective mechanical parts."
4969,49-2094.00,Confer with coworkers to resolve equipment problems.
4970,49-2094.00,Confer with customers or users to assess problems.
4971,49-2094.00,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities."
4972,49-2094.00,"Maintain inventories of materials, equipment, or products."
4973,49-2094.00,Read work orders or descriptions of problems to determine repairs or modifications needed.
4974,49-2094.00,Communicate with coworkers to coordinate installations or repairs.
4975,49-2094.00,Develop equipment or component configurations.
4976,49-2094.00,Document operational activities.
4977,49-2094.00,"Determine types of equipment, tools, or materials needed for jobs."
4978,49-2094.00,"Advise others on issues related to repairs, installation, or equipment design."
4979,49-2094.00,"Send information, materials or documentation."
4980,49-2095.00,Test electrical equipment or systems to ensure proper functioning.
4981,49-2095.00,Inspect equipment to locate or identify electrical problems.
4982,49-2095.00,Document operational activities.
4983,49-2095.00,Maintain repair or maintenance records.
4984,49-2095.00,Read technical information needed to perform maintenance or repairs.
4985,49-2095.00,Analyze test or performance data to assess equipment operation.
4986,49-2095.00,Confer with coworkers to coordinate work activities.
4987,49-2095.00,Control power supply connections.
4988,49-2095.00,Repair electrical circuits or wiring.
4989,49-2095.00,Repair electronic equipment.
4990,49-2095.00,Test electrical circuits or components for proper functioning.
4991,49-2095.00,"Clean equipment, parts, or tools to repair or maintain them in good working order."
4992,49-2095.00,Repair electrical components.
4993,49-2095.00,"Schedule repair, installation or maintenance activities."
4994,49-2095.00,Supervise employees.
4995,49-2095.00,Test fluids to identify contamination or other problems.
4996,49-2095.00,Document test results.
4997,49-2095.00,Connect electrical components or equipment.
4998,49-2095.00,"Maintain inventories of materials, equipment, or products."
4999,49-2095.00,"Order materials, supplies, or equipment."
5000,49-2095.00,Install structural foundations.
5001,17-2071.00,Operate computer systems.
5002,17-2071.00,Create electrical schematics.
5003,17-2071.00,Confer with technical personnel to prepare designs or operational plans.
5004,17-2071.00,Discuss designs or plans with clients.
5005,17-2071.00,Design electrical equipment or systems.
5006,17-2071.00,Design structures or facilities.
5007,17-2071.00,Maintain electronic equipment.
5008,17-2071.00,Survey land or bodies of water to measure or determine features.
5009,17-2071.00,Direct construction activities.
5010,17-2071.00,Direct equipment maintenance or repair activities.
5011,17-2071.00,Direct installation activities.
5012,17-2071.00,Prepare operational reports.
5013,17-2071.00,"Investigate system, equipment, or product failures."
5014,17-2071.00,Estimate technical or resource requirements for development or production projects.
5015,17-2071.00,Direct industrial production activities.
5016,17-2071.00,Inspect operational processes.
5017,17-2071.00,Devise research or testing protocols.
5018,17-2071.00,Design energy-efficient equipment or systems.
5019,17-2071.00,Design energy production or management equipment or systems.
5020,17-2071.00,Estimate operational costs.
5021,17-2071.00,Prepare project budgets.
5022,17-2071.00,Supervise engineering or other technical personnel.
5023,17-2071.00,Train personnel on proper operational procedures.
5024,17-2071.00,Test products for functionality or quality.
5025,17-2071.00,Design alternative energy systems.
5026,49-9051.00,Drive trucks or other vehicles to or at work sites.
5027,49-9051.00,Monitor work areas or procedures to ensure compliance with safety procedures.
5028,49-9051.00,Control power supply connections.
5029,49-9051.00,Climb equipment or structures to access work areas.
5030,49-9051.00,Inspect electrical or electronic systems for defects.
5031,49-9051.00,"Assemble electrical components, subsystems, or systems."
5032,49-9051.00,Repair electrical circuits or wiring.
5033,49-9051.00,Test electrical equipment or systems to ensure proper functioning.
5034,49-9051.00,Confer with coworkers to coordinate work activities.
5035,49-9051.00,Align equipment or machinery.
5036,49-9051.00,Run wiring to connect equipment.
5037,49-9051.00,Dig holes or trenches.
5038,49-9051.00,Assemble mechanical components or machine parts.
5039,49-9051.00,"Operate cranes, hoists, or other moving or lifting equipment."
5040,49-9051.00,"Travel to work sites to perform installation, repair or maintenance work."
5041,49-9051.00,Connect electrical components or equipment.
5042,49-9051.00,Install metering equipment.
5043,49-9051.00,Test electrical circuits or components for proper functioning.
5044,49-9051.00,Solder parts or connections between parts.
5045,49-9051.00,Install insulation in equipment or structures.
5046,49-9051.00,Cut materials according to specifications or needs.
5047,49-9051.00,Lay cables to connect equipment.
5048,47-2111.00,"Plan layout of construction, installation, or repairs."
5049,47-2111.00,"Install electrical components, equipment, or systems."
5050,47-2111.00,Test electrical equipment or systems to ensure proper functioning.
5051,47-2111.00,Inspect electrical or electronic systems for defects.
5052,47-2111.00,Create construction or installation diagrams.
5053,47-2111.00,Repair electrical equipment.
5054,47-2111.00,Communicate with other construction or extraction personnel to discuss project details.
5055,47-2111.00,Thread wire or cable through ducts or conduits.
5056,47-2111.00,Update job related knowledge or skills.
5057,47-2111.00,Direct construction or extraction personnel.
5058,47-2111.00,Train construction or extraction personnel.
5059,47-2111.00,Assist skilled construction or extraction personnel.
5060,47-2111.00,Order construction or extraction materials or equipment.
5061,47-2111.00,Prepare operational reports.
5062,47-2111.00,Estimate construction project costs.
5063,47-2111.00,Fabricate parts or components.
5064,47-2111.00,Dig holes or trenches.
5065,17-3024.00,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
5066,17-3024.00,Design electromechanical equipment or systems.
5067,17-3024.00,Program robotic equipment.
5068,17-3024.00,Review technical documents to plan work.
5069,17-3024.00,Document design or operational test results.
5070,17-3024.00,Inspect finished products to locate flaws.
5071,17-3024.00,Install instrumentation or electronic equipment or systems.
5072,17-3024.00,Maintain electromechanical equipment.
5073,17-3024.00,Calibrate scientific or technical equipment.
5074,17-3024.00,Assemble equipment or components.
5075,17-3024.00,Operate industrial equipment.
5076,17-3024.00,Train personnel on proper operational procedures.
5077,17-3024.00,Fabricate products or components using machine tools.
5078,17-3024.00,Analyze costs and benefits of proposed designs or projects.
5079,17-3024.00,Analyze design requirements for computer or electronics systems.
5080,17-3024.00,Create schematic drawings for electronics.
5081,17-3024.00,Determine design criteria or specifications.
5082,17-3024.00,Determine operational methods.
5083,17-3024.00,Develop operational methods or processes that use green materials or emphasize sustainability.
5084,17-3024.00,Develop software or computer applications.
5085,17-3024.00,Develop technical methods or processes.
5086,17-3024.00,Direct quality control activities.
5087,17-3024.00,Discuss design or technical features of products or services with technical personnel.
5088,17-3024.00,Evaluate characteristics of equipment or systems.
5089,17-3024.00,Fabricate devices or components.
5090,17-3024.00,Implement design or process improvements.
5091,17-3024.00,Maintain electronic equipment.
5092,17-3024.00,Maintain operational records or records systems.
5093,17-3024.00,Select project materials.
5094,17-3024.00,Test green technologies or processes.
5095,51-2023.00,Align parts or workpieces to ensure proper assembly.
5096,51-2023.00,Inspect installed components or assemblies.
5097,51-2023.00,Assemble electrical or electronic equipment.
5098,51-2023.00,Connect supply lines to production equipment or tools.
5099,51-2023.00,Measure dimensions of completed products or workpieces to verify conformance to specifications.
5100,51-2023.00,Review blueprints or other instructions to determine operational methods or sequences.
5101,51-2023.00,"Mark products, workpieces, or equipment with identifying information."
5102,51-2023.00,Reshape metal workpieces to established specifications.
5103,51-2023.00,Disassemble equipment for maintenance or repair.
5104,51-2023.00,Apply lubricants or coolants to workpieces.
5105,51-2023.00,Clean workpieces or finished products.
5106,51-2023.00,"Drill holes in parts, equipment, or materials."
5107,51-2023.00,Operate industrial equipment.
5108,51-2023.00,"Operate cranes, hoists, or other moving or lifting equipment."
5109,51-2023.00,Assemble electromechanical or hydraulic systems.
5110,49-2096.00,Install audio or communications equipment.
5111,49-2096.00,Inspect electrical or electronic systems for defects.
5112,49-2096.00,Test electrical equipment or systems to ensure proper functioning.
5113,49-2096.00,"Drill holes in parts, equipment, or materials."
5114,49-2096.00,Connect electrical components or equipment.
5115,49-2096.00,Repair electronic equipment.
5116,49-2096.00,Solder parts or connections between parts.
5117,49-2096.00,Confer with customers or users to assess problems.
5118,49-2096.00,Lay cables to connect equipment.
5119,49-2096.00,Install insulation in equipment or structures.
5120,49-2096.00,Install vehicle parts or accessories.
5121,49-2096.00,Remove parts or components from vehicles.
5122,49-2096.00,Document test results.
5123,49-2096.00,Estimate costs for labor or materials.
5124,49-2096.00,"Clean equipment, parts, or tools to repair or maintain them in good working order."
5125,49-2096.00,Repair electrical components.
5126,49-2096.00,Fabricate parts or components.
5127,17-2072.00,Estimate technical or resource requirements for development or production projects.
5128,17-2072.00,Create schematic drawings for electronics.
5129,17-2072.00,Document technical design details.
5130,17-2072.00,Design electronic or computer equipment or instrumentation.
5131,17-2072.00,Evaluate characteristics of equipment or systems.
5132,17-2072.00,Analyze design requirements for computer or electronics systems.
5133,17-2072.00,Inspect finished products to locate flaws.
5134,17-2072.00,"Communicate technical information to suppliers, contractors, or regulatory agencies."
5135,17-2072.00,Confer with technical personnel to prepare designs or operational plans.
5136,17-2072.00,Discuss designs or plans with clients.
5137,17-2072.00,Operate computer systems.
5138,17-2072.00,Advise customers on the use of products or services.
5139,17-2072.00,Provide technical guidance to other personnel.
5140,17-2072.00,Determine operational criteria or specifications.
5141,17-2072.00,Research design or application of green technologies.
5142,17-2072.00,Direct industrial production activities.
5143,17-2072.00,Prepare operational reports.
5144,17-2072.00,Schedule operational activities.
5145,17-2072.00,"Recommend technical design or process changes to improve efficiency, quality, or performance."
5146,17-2072.00,Estimate operational costs.
5147,17-2072.00,Prepare project budgets.
5148,17-2072.00,Test products for functionality or quality.
5149,17-2072.00,Explain project details to the general public.
5150,17-2072.00,Design energy production or management equipment or systems.
5151,25-2021.00,Establish rules or policies governing student behavior.
5152,25-2021.00,Apply multiple teaching methods.
5153,25-2021.00,Modify teaching methods or materials to accommodate student needs.
5154,25-2021.00,Discuss problems or issues with supervisors.
5155,25-2021.00,Discuss student progress with parents or guardians.
5156,25-2021.00,Set up classroom materials or equipment.
5157,25-2021.00,Encourage students.
5158,25-2021.00,Evaluate student work.
5159,25-2021.00,Develop instructional objectives.
5160,25-2021.00,Monitor student performance.
5161,25-2021.00,Advise students on academic or career matters.
5162,25-2021.00,"Monitor student behavior, social development, or health."
5163,25-2021.00,Enforce rules or policies governing student behavior.
5164,25-2021.00,Read to students.
5165,25-2021.00,Plan educational activities.
5166,25-2021.00,Assist students with special educational needs.
5167,25-2021.00,Collaborate with other teaching professionals to develop educational programs.
5168,25-2021.00,Develop strategies or programs for students with special needs.
5169,25-2021.00,Administer tests to assess educational needs or progress.
5170,25-2021.00,Prepare tests.
5171,25-2021.00,Create technology-based learning materials.
5172,25-2021.00,Maintain student records.
5173,25-2021.00,Assign class work to students.
5174,25-2021.00,Teach others to use technology or equipment.
5175,25-2021.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
5176,25-2021.00,Document lesson plans.
5177,25-2021.00,Prepare reports detailing student activities or performance.
5178,25-2021.00,Display student work.
5179,25-2021.00,Evaluate performance of educational staff.
5180,25-2021.00,Supervise student research or internship work.
5181,25-2021.00,Plan experiential learning activities.
5182,25-2021.00,Serve on institutional or departmental committees.
5183,25-2021.00,Supervise school or student activities.
5184,25-2021.00,Distribute instructional or library materials.
5185,25-2021.00,"Maintain inventories of materials, equipment, or products."
5186,25-2021.00,Order instructional or library materials or equipment.
5187,25-2021.00,Coordinate student extracurricular activities.
5188,47-4021.00,Assemble products or production equipment.
5189,47-4021.00,Maintain mechanical equipment.
5190,47-4021.00,Inspect industrial or commercial equipment to ensure proper operation.
5191,47-4021.00,"Install electrical components, equipment, or systems."
5192,47-4021.00,Evaluate construction projects to determine compliance with external standards or regulations.
5193,47-4021.00,Locate equipment or materials in need of repair or replacement.
5194,47-4021.00,Prepare operational reports.
5195,47-4021.00,Review blueprints or specifications to determine work requirements.
5196,47-4021.00,Inspect electrical or electronic systems for defects.
5197,47-4021.00,Repair electrical equipment.
5198,47-4021.00,Record operational or environmental data.
5199,47-4021.00,Update job related knowledge or skills.
5200,47-4021.00,Test electrical equipment or systems to ensure proper functioning.
5201,47-4021.00,Install metal structural components.
5202,47-4021.00,Weld metal components.
5203,47-4021.00,Thread wire or cable through ducts or conduits.
5204,47-4021.00,Cut metal components for installation.
5205,43-4061.00,"Explain regulations, policies, or procedures."
5206,43-4061.00,"Interview employees, customers, or others to collect information."
5207,43-4061.00,Record information about legal matters.
5208,43-4061.00,Compile data or documentation.
5209,43-4061.00,Calculate financial data.
5210,43-4061.00,Refer customers to appropriate personnel.
5211,43-4061.00,Obtain personal or financial information about customers or applicants.
5212,43-4061.00,Schedule appointments.
5213,43-4061.00,Administer personnel recruitment or hiring activities.
5214,43-4061.00,Investigate personal characteristics or activities of individuals.
5215,43-4061.00,Monitor financial information.
5216,43-4061.00,"Prepare documentation for contracts, transactions, or regulatory compliance."
5217,43-4061.00,Assist individuals with paperwork.
5218,43-4061.00,Provide information to coworkers.
5219,39-4011.00,Monitor operations to ensure compliance with safety or security policies or regulations.
5220,39-4011.00,Embalm corpses.
5221,39-4011.00,Apply makeup to alter or enhance appearance.
5222,39-4011.00,Clean facilities or equipment.
5223,39-4011.00,Clean work areas.
5224,39-4011.00,Apply decorative or textured finishes or coverings.
5225,39-4011.00,Transport biological or other medical materials.
5226,39-4011.00,Direct funeral or mortuary activities.
5227,39-4011.00,"Collect information from people through observation, interviews, or surveys."
5228,39-4011.00,Handle caskets.
5229,39-4011.00,Maintain client information or service records.
5230,39-4011.00,"Apply cleansing or conditioning agents to client hair, scalp, or skin."
5231,39-4011.00,Supervise service workers.
5232,39-4011.00,Arrange items for use or display.
5233,39-4011.00,Perform basic equipment maintenance.
5234,39-4011.00,Assist practitioners to perform medical procedures.
5235,39-4011.00,File documents or records.
5236,39-4011.00,Testify at legal or legislative proceedings.
5237,11-9161.00,Maintain knowledge of current developments in area of expertise.
5238,11-9161.00,Prepare reports related to compliance matters.
5239,11-9161.00,Develop emergency response plans or procedures.
5240,11-9161.00,Coordinate special events or programs.
5241,11-9161.00,Establish interpersonal business relationships to facilitate work activities.
5242,11-9161.00,Prepare operational progress or status reports.
5243,11-9161.00,Prepare proposals or grant applications to obtain project funding.
5244,11-9161.00,Communicate with government agencies.
5245,11-9161.00,Confer with organizational members to accomplish work activities.
5246,11-9161.00,Coordinate operational activities with external stakeholders.
5247,11-9161.00,Inspect condition or functioning of facilities or equipment.
5248,11-9161.00,Evaluate program effectiveness.
5249,11-9161.00,Recommend organizational process or policy changes.
5250,11-9161.00,Determine operational compliance with regulations or standards.
5251,11-9161.00,Present information to the public.
5252,11-9161.00,Maintain operational records.
5253,11-9161.00,Advise others on legal or regulatory compliance matters.
5254,11-9161.00,Conduct opinion surveys or needs assessments.
5255,11-9161.00,Communicate organizational policies and procedures.
5256,11-9161.00,Manage inventories of products or organizational resources.
5257,11-9161.00,"Develop safety standards, policies, or procedures."
5258,11-9161.00,Implement organizational process or policy changes.
5259,29-2042.00,Inform medical professionals regarding patient conditions and care.
5260,29-2042.00,Treat medical emergencies.
5261,29-2042.00,Analyze patient data to determine patient needs or treatment goals.
5262,29-2042.00,Collaborate with healthcare professionals to plan or provide treatment.
5263,29-2042.00,Drive vehicles to transport individuals or equipment.
5264,29-2042.00,Interact with patients to build rapport or provide emotional support.
5265,29-2042.00,Maintain inventory of medical supplies or equipment.
5266,29-2042.00,Maintain medical equipment or instruments.
5267,29-2042.00,Maintain medical or professional knowledge.
5268,29-2042.00,Monitor patient progress or responses to treatments.
5269,29-2042.00,Position patients for treatment or examination.
5270,29-2042.00,Record patient medical histories.
5271,29-2042.00,Sterilize medical equipment or instruments.
5272,29-1214.00,Analyze patient data to determine patient needs or treatment goals.
5273,29-1214.00,Confer with other professionals to plan patient care.
5274,29-1214.00,Treat medical emergencies.
5275,29-1214.00,Advise patients on effects of health conditions or treatments.
5276,29-1214.00,Analyze test data or images to inform diagnosis or treatment.
5277,29-1214.00,"Collect medical information from patients, family members, or other medical professionals."
5278,29-1214.00,Conduct diagnostic tests to determine patient health.
5279,29-1214.00,Diagnose medical conditions.
5280,29-1214.00,"Evaluate patient functioning, capabilities, or health."
5281,29-1214.00,Evaluate patient outcomes to determine effectiveness of treatments.
5282,29-1214.00,Evaluate treatment options to guide medical decisions.
5283,29-1214.00,"Monitor patient conditions during treatments, procedures, or activities."
5284,29-1214.00,Monitor patient progress or responses to treatments.
5285,29-1214.00,Operate on patients to treat conditions.
5286,29-1214.00,Order medical diagnostic or clinical tests.
5287,29-1214.00,Prescribe medications.
5288,29-1214.00,Record patient medical histories.
5289,29-1214.00,Refer patients to other healthcare practitioners or health resources.
5290,29-1214.00,Supervise patient care personnel.
5291,31-9099.02,Maintain medical equipment or instruments.
5292,31-9099.02,Clean medical equipment.
5293,31-9099.02,Prepare patient treatment areas for use.
5294,31-9099.02,Assist practitioners to perform medical procedures.
5295,31-9099.02,Collect biological specimens from patients.
5296,31-9099.02,Monitor medical equipment to ensure proper functioning.
5297,31-9099.02,Attend educational events to update medical knowledge.
5298,31-9099.02,Operate medical equipment.
5299,31-9099.02,Adjust positions of patients on beds or tables.
5300,31-9099.02,Move patients to or from treatment areas.
5301,31-9099.02,Inventory medical supplies or equipment.
5302,31-9099.02,Teach medical procedures to healthcare personnel.
5303,47-4011.01,Identify opportunities to improve operational efficiency.
5304,47-4011.01,"Assess the cost effectiveness of products, projects, or services."
5305,47-4011.01,Inspect facilities or equipment to ensure specifications are met.
5306,47-4011.01,Analyze risks related to investments in green technology.
5307,47-4011.01,"Prepare financial documents, reports, or budgets."
5308,47-4011.01,Analyze energy usage data.
5309,47-4011.01,Research issues related to the environment or sustainable business practices.
5310,47-4011.01,Test characteristics of materials or structures.
5311,47-4011.01,Calculate data to inform organizational operations.
5312,47-4011.01,Develop technical specifications for systems or equipment.
5313,47-4011.01,Evaluate condition of properties.
5314,47-4011.01,Advise others on business or operational matters.
5315,47-4011.01,Correspond with customers to answer questions or resolve complaints.
5316,47-4011.01,Oversee business processes.
5317,47-4011.01,Verify application data to determine program eligibility.
5318,17-2199.03,Advise others regarding green practices or environmental concerns.
5319,17-2199.03,Analyze energy usage data.
5320,17-2199.03,Monitor industrial energy consumption or management.
5321,17-2199.03,Direct energy production or management activities.
5322,17-2199.03,Inspect equipment or systems.
5323,17-2199.03,Create models of engineering designs or methods.
5324,17-2199.03,"Research energy production, use, or conservation."
5325,17-2199.03,Evaluate plans or specifications to determine technological or environmental implications.
5326,17-2199.03,Prepare technical or operational reports.
5327,17-2199.03,"Purchase materials, equipment, or other resources."
5328,17-2199.03,Train personnel on proper operational procedures.
5329,17-2199.03,Research design or application of green technologies.
5330,17-2199.03,Perform marketing activities.
5331,17-2199.03,Operate computer systems.
5332,17-2199.03,"Recommend technical design or process changes to improve efficiency, quality, or performance."
5333,51-2031.00,Plan production or operational procedures or sequences.
5334,51-2031.00,Review blueprints or other instructions to determine operational methods or sequences.
5335,51-2031.00,Inspect installed components or assemblies.
5336,51-2031.00,Align parts or workpieces to ensure proper assembly.
5337,51-2031.00,Measure dimensions of completed products or workpieces to verify conformance to specifications.
5338,51-2031.00,"Set equipment guides, stops, spacers, or other fixtures."
5339,51-2031.00,Assemble electromechanical or hydraulic systems.
5340,51-2031.00,Smooth metal surfaces or edges.
5341,51-2031.00,Cut industrial materials in preparation for fabrication or processing.
5342,51-2031.00,"Drill holes in parts, equipment, or materials."
5343,51-2031.00,Lay out parts to prepare for assembly.
5344,51-2031.00,Repair parts or assemblies.
5345,51-2031.00,Replace worn equipment components.
5346,51-2031.00,Apply lubricants or coolants to workpieces.
5347,51-2031.00,Operate grinding equipment.
5348,51-2031.00,Operate metal or plastic forming equipment.
5349,25-1032.00,Research topics in area of expertise.
5350,25-1032.00,"Write articles, books or other original materials in area of expertise."
5351,25-1032.00,Develop instructional materials.
5352,25-1032.00,Evaluate student work.
