,code,importance,category,task
2303,43-5011.00,60,Core,Estimate freight or postal rates and record shipment costs and weights.
2304,43-5011.00,58,Core,"Keep records of all goods shipped, received, and stored."
2305,43-5011.00,58,Core,"Notify consignees, passengers, or customers of freight or baggage arrival and arrange for delivery."
2306,43-5011.00,52,Core,Retrieve stored items and trace lost shipments as necessary.
2307,43-5011.00,51,Core,Enter shipping information into a computer by hand or by a hand-held scanner that reads bar codes on goods.
2308,43-5011.00,63,Supplemental,"Prepare manifests showing numbers of airplane passengers and baggage, mail, and freight weights, transmitting data to destinations."
2309,43-5011.00,61,Supplemental,Arrange insurance coverage for goods.
2310,43-5011.00,60,Supplemental,"Install straps, braces, and padding to loads to prevent shifting or damage during shipment."
2311,43-5011.00,57,Supplemental,Check import or export documentation to determine cargo contents and use tariff coding system to classify goods according to fee or tariff group.
2312,43-5011.00,56,Supplemental,Coordinate and supervise activities of workers engaged in packing and shipping merchandise.
2313,43-5011.00,56,Supplemental,Contact vendors or claims adjustment departments to resolve shipment problems or contact service depots to arrange for repairs.
2314,43-5011.00,54,Supplemental,"Inspect and count items received and check them against invoices or other documents, recording shortages and rejecting damaged goods."
2315,43-5011.00,54,Supplemental,"Route received goods to first available flight or to appropriate storage areas or departments, using forklifts, hand trucks, or other equipment."
2316,43-5011.00,50,Supplemental,Direct delivery trucks to shipping doors or designated marshaling areas and help load and unload goods safely.
2317,43-5011.00,49,Supplemental,"Assemble containers and crates used to transport items, such as machines or vehicles."
2318,43-5011.00,41,Supplemental,Maintain a supply of packing materials.
2319,43-5011.00,41,Supplemental,Direct or participate in cargo loading to ensure completeness of load and even distribution of weight.
2320,43-5011.00,41,Supplemental,"Pack goods for shipping, using tools such as staplers, strapping machines, and hammers."
2321,43-5011.00,39,Supplemental,"Attach address labels, identification codes, and shipping instructions to containers."
2322,43-5011.00,38,Supplemental,"Open cargo containers and unwrap contents, using steel cutters, crowbars, or other hand tools."
2323,47-2031.00,87,Core,Follow established safety rules and regulations and maintain a safe and clean environment.
2324,47-2031.00,87,Core,"Study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required."
2325,47-2031.00,85,Core,"Measure and mark cutting lines on materials, using a ruler, pencil, chalk, and marking gauge."
2326,47-2031.00,84,Core,"Shape or cut materials to specified measurements, using hand tools, machines, or power saws."
2327,47-2031.00,83,Core,"Install structures or fixtures, such as windows, frames, floorings, trim, or hardware, using carpenters' hand or power tools."
2328,47-2031.00,83,Core,"Verify trueness of structure, using plumb bob and level."
2329,47-2031.00,80,Core,Select and order lumber or other required materials.
2330,47-2031.00,78,Core,"Arrange for subcontractors to deal with special areas, such as heating or electrical wiring work."
2331,47-2031.00,77,Core,"Maintain records, document actions, and present written progress reports."
2332,47-2031.00,76,Core,"Build or repair cabinets, doors, frameworks, floors, or other wooden fixtures used in buildings, using woodworking machines, carpenter's hand tools, or power tools."
2333,47-2031.00,70,Core,Erect scaffolding or ladders for assembling structures above ground level.
2334,47-2031.00,70,Core,"Anchor and brace forms and other structures in place, using nails, bolts, anchor rods, steel cables, planks, wedges, and timbers."
2335,47-2031.00,69,Core,"Inspect ceiling or floor tile, wall coverings, siding, glass, or woodwork to detect broken or damaged structures."
2336,47-2031.00,69,Core,"Assemble and fasten materials to make frameworks or props, using hand tools and wood screws, nails, dowel pins, or glue."
2337,47-2031.00,68,Core,"Bore boltholes in timber, masonry or concrete walls, using power drill."
2338,47-2031.00,66,Core,Maintain job records and schedule work crew.
2339,47-2031.00,66,Core,"Remove damaged or defective parts or sections of structures and repair or replace, using hand tools."
2340,47-2031.00,65,Core,"Install rough door and window frames, subflooring, fixtures, or temporary supports in structures undergoing construction or repair."
2341,47-2031.00,62,Core,"Finish surfaces of woodwork or wallboard in houses or buildings, using paint, hand tools, or paneling."
2342,47-2031.00,61,Core,"Examine structural timbers and supports to detect decay, and replace timbers as required, using hand tools, nuts, and bolts."
2343,47-2031.00,60,Core,"Apply shock-absorbing, sound-deadening, or decorative paneling to ceilings or walls."
2344,47-2031.00,58,Core,"Cover subfloors with building paper to keep out moisture and lay hardwood, parquet, or wood-strip-block floors by nailing floors to subfloor or cementing them to mastic or asphalt base."
2345,47-2031.00,58,Core,"Fill cracks or other defects in plaster or plasterboard and sand patch, using patching plaster, trowel, and sanding tool."
2346,47-2031.00,56,Core,"Perform minor plumbing, welding, or concrete mixing work."
2347,47-2031.00,76,Supplemental,Prepare cost estimates for clients or employers.
2348,47-2031.00,66,Supplemental,Construct forms or chutes for pouring concrete.
2349,47-2031.00,62,Supplemental,Work with or remove hazardous material.
2350,47-2031.00,61,Supplemental,Dig or direct digging of post holes and set poles to support structures.
2351,47-2031.00,,Supplemental,Build sleds from logs and timbers for use in hauling camp buildings and machinery through wooded areas.
2352,47-2041.00,89,Core,"Inspect the surface to be covered to determine its condition, and correct any imperfections that might show through carpet or cause carpet to wear unevenly."
2353,47-2041.00,89,Core,"Roll out, measure, mark, and cut carpeting to size with a carpet knife, following floor sketches and allowing extra carpet for final fitting."
2354,47-2041.00,88,Core,"Join edges of carpet and seam edges where necessary, by sewing or by using tape with glue and heated carpet iron."
2355,47-2041.00,88,Core,"Cut and trim carpet to fit along wall edges, openings, and projections, finishing the edges with a wall trimmer."
2356,47-2041.00,86,Core,"Plan the layout of the carpet, allowing for expected traffic patterns and placing seams for best appearance and longest wear."
2357,47-2041.00,85,Core,"Stretch carpet to align with walls and ensure a smooth surface, and press carpet in place over tack strips or use staples, tape, tacks or glue to hold carpet in place."
2358,47-2041.00,82,Core,Take measurements and study floor sketches to calculate the area to be carpeted and the amount of material needed.
2359,47-2041.00,81,Core,"Install carpet on some floors using adhesive, following prescribed method."
2360,47-2041.00,78,Core,"Clean up before and after installation, including vacuuming carpet and discarding remnant pieces."
2361,47-2041.00,76,Core,"Measure, cut and install tackless strips along the baseboard or wall."
2362,47-2041.00,75,Core,Nail tack strips around area to be carpeted or use old strips to attach edges of new carpet.
2363,47-2041.00,75,Core,"Cut carpet padding to size and install padding, following prescribed method."
2364,47-2041.00,74,Core,Fasten metal treads across door openings or where carpet meets flooring to hold carpet in place.
2365,47-2041.00,70,Core,Draw building diagrams and record dimensions.
2366,47-2041.00,67,Core,Move furniture from area to be carpeted and remove old carpet and padding.
2367,47-2041.00,64,Core,Cut and bind material.
2368,17-1021.00,88,Core,"Compile data required for map preparation, including aerial photographs, survey notes, records, reports, and original maps."
2369,17-1021.00,87,Core,"Delineate aerial photographic detail, such as control points, hydrography, topography, and cultural features, using precision stereoplotting apparatus or drafting instruments."
2370,17-1021.00,87,Core,"Prepare and alter trace maps, charts, tables, detailed drawings, and three-dimensional optical models of terrain using stereoscopic plotting and computer graphics equipment."
2371,17-1021.00,82,Core,"Study legal records to establish boundaries of local, national, and international properties."
2372,17-1021.00,81,Core,Inspect final compositions to ensure completeness and accuracy.
2373,17-1021.00,80,Core,"Revise existing maps and charts, making all necessary corrections and adjustments."
2374,17-1021.00,78,Core,"Identify, scale, and orient geodetic points, elevations, and other planimetric or topographic features, applying standard mathematical formulas."
2375,17-1021.00,76,Core,"Collect information about specific features of the Earth, using aerial photography and other digital remote sensing techniques."
2376,17-1021.00,75,Core,"Examine and analyze data from ground surveys, reports, aerial photographs, and satellite images to prepare topographic maps, aerial-photograph mosaics, and related charts."
2377,17-1021.00,71,Core,Build and update digital databases.
2378,17-1021.00,69,Core,"Determine map content and layout, as well as production specifications such as scale, size, projection, and colors, and direct production to ensure that specifications are followed."
2379,17-1021.00,74,Supplemental,Determine guidelines that specify which source material is acceptable for use.
2380,17-1021.00,68,Supplemental,Select aerial photographic and remote sensing techniques and plotting equipment needed to meet required standards of accuracy.
2381,17-1021.00,46,Supplemental,"Travel over photographed areas to observe, identify, record, and verify all relevant features."
2382,41-2011.00,91,Core,"Receive payment by cash, check, credit cards, vouchers, or automatic debits."
2383,41-2011.00,90,Core,"Answer customers' questions, and provide information on procedures or policies."
2384,41-2011.00,87,Core,Help customers find the location of products.
2385,41-2011.00,87,Core,"Issue receipts, refunds, credits, or change due to customers."
2386,41-2011.00,86,Core,Greet customers entering establishments.
2387,41-2011.00,86,Core,Supervise others and provide on-the-job training.
2388,41-2011.00,85,Core,Assist customers by providing information and resolving their complaints.
2389,41-2011.00,85,Core,"Maintain clean and orderly checkout areas, and complete other general cleaning duties, such as mopping floors and emptying trash cans."
2390,41-2011.00,85,Core,"Establish or identify prices of goods, services, or admission, and tabulate bills, using calculators, cash registers, or optical price scanners."
2391,41-2011.00,83,Core,Answer incoming phone calls.
2392,41-2011.00,81,Core,"Bag, box, wrap, or gift-wrap merchandise, and prepare packages for shipment."
2393,41-2011.00,75,Core,"Assist with duties in other areas of the store, such as monitoring fitting rooms or bagging and carrying out customers' items."
2394,41-2011.00,73,Core,"Stock shelves, sort and reshelve returned items, and mark prices on items and shelves."
2395,41-2011.00,70,Core,Offer customers carry-out service at the completion of transactions.
2396,41-2011.00,93,Supplemental,Count money in cash drawers at the beginning of shifts to ensure that amounts are correct and that there is adequate change.
2397,41-2011.00,89,Supplemental,"Calculate total payments received during a time period, and reconcile this with total sales."
2398,41-2011.00,88,Supplemental,Keep periodic balance sheets of amounts and numbers of transactions.
2399,41-2011.00,88,Supplemental,Compute and record totals of transactions.
2400,41-2011.00,87,Supplemental,Monitor checkout stations to ensure they have adequate cash available and are staffed appropriately.
2401,41-2011.00,86,Supplemental,"Sort, count, and wrap currency and coins."
2402,41-2011.00,86,Supplemental,Weigh items sold by weight to determine prices.
2403,41-2011.00,86,Supplemental,"Issue trading stamps, and redeem food stamps and coupons."
2404,41-2011.00,85,Supplemental,"Pay company bills by cash, vouchers, or checks."
2405,41-2011.00,83,Supplemental,Post charges against guests' or patients' accounts.
2406,41-2011.00,81,Supplemental,"Request information or assistance, using paging systems."
2407,41-2011.00,80,Supplemental,Process merchandise returns and exchanges.
2408,41-2011.00,80,Supplemental,Cash checks for customers.
2409,41-2011.00,77,Supplemental,Sell tickets and other items to customers.
2410,41-2011.00,67,Supplemental,Compile and maintain non-monetary reports and records.
2411,47-2051.00,80,Core,Check the forms that hold the concrete to see that they are properly constructed.
2412,47-2051.00,78,Core,"Set the forms that hold concrete to the desired pitch and depth, and align them."
2413,47-2051.00,77,Core,"Spread, level, and smooth concrete, using rake, shovel, hand or power trowel, hand or power screed, and float."
2414,47-2051.00,75,Core,"Monitor how the wind, heat, or cold affect the curing of the concrete throughout the entire process."
2415,47-2051.00,72,Core,"Mold expansion joints and edges, using edging tools, jointers, and straightedge."
2416,47-2051.00,72,Core,"Signal truck driver to position truck to facilitate pouring concrete, and move chute to direct concrete on forms."
2417,47-2051.00,71,Core,Direct the casting of the concrete and supervise laborers who use shovels or special tools to spread it.
2418,47-2051.00,70,Core,"Produce rough concrete surface, using broom."
2419,47-2051.00,69,Core,"Apply hardening and sealing compounds to cure surface of concrete, and waterproof or restore surface."
2420,47-2051.00,67,Core,Operate power vibrator to compact concrete.
2421,47-2051.00,66,Core,"Install anchor bolts, steel plates, door sills and other fixtures in freshly poured concrete or pattern or stamp the surface to provide a decorative finish."
2422,47-2051.00,66,Core,"Wet surface to prepare for bonding, fill holes and cracks with grout or slurry, and smooth, using trowel."
2423,47-2051.00,64,Core,"Waterproof or restore concrete surfaces, using appropriate compounds."
2424,47-2051.00,62,Core,"Mix cement, sand, and water to produce concrete, grout, or slurry, using hoe, trowel, tamper, scraper, or concrete-mixing machine."
2425,47-2051.00,58,Core,"Chip, scrape, and grind high spots, ridges, and rough projections to finish concrete, using pneumatic chisels, power grinders, or hand tools."
2426,47-2051.00,57,Core,"Cut out damaged areas, drill holes for reinforcing rods, and position reinforcing rods to repair concrete, using power saw and drill."
2427,47-2051.00,57,Core,"Wet concrete surface, and rub with stone to smooth surface and obtain specified finish."
2428,47-2051.00,54,Core,"Clean chipped area, using wire brush, and feel and observe surface to determine if it is rough or uneven."
2429,47-2051.00,54,Core,"Build wooden molds, and clamp molds around area to be repaired, using hand tools."
2430,47-2051.00,58,Supplemental,"Sprinkle colored marble or stone chips, powdered steel, or coloring powder over surface to produce prescribed finish."
2431,47-2051.00,56,Supplemental,"Fabricate concrete beams, columns, and panels."
2432,47-2051.00,55,Supplemental,"Polish surface, using polishing or surfacing machine."
2433,47-2051.00,53,Supplemental,"Cut metal division strips, and press them into terrazzo base so that top edges form desired design or pattern."
2434,47-2051.00,50,Supplemental,Push roller over surface to embed chips in surface.
2435,47-2051.00,47,Supplemental,"Apply muriatic acid to clean surface, and rinse with water."
2436,47-2051.00,45,Supplemental,"Spread roofing paper on surface of foundation, and spread concrete onto roofing paper with trowel to form terrazzo base."
2437,35-1011.00,99,Core,Monitor sanitation practices to ensure that employees follow standards and regulations.
2438,35-1011.00,96,Core,Check the quality of raw or cooked food products to ensure that standards are met.
2439,35-1011.00,93,Core,Determine production schedules and staff requirements necessary to ensure timely delivery of services.
2440,35-1011.00,91,Core,Check the quantity and quality of received products.
2441,35-1011.00,90,Core,Supervise or coordinate activities of cooks or workers engaged in food preparation.
2442,35-1011.00,86,Core,Determine how food should be presented and create decorative food displays.
2443,35-1011.00,86,Core,"Analyze recipes to assign prices to menu items, based on food, labor, and overhead costs."
2444,35-1011.00,85,Core,"Instruct cooks or other workers in the preparation, cooking, garnishing, or presentation of food."
2445,35-1011.00,84,Core,"Prepare and cook foods of all types, either on a regular basis or for special guests or functions."
2446,35-1011.00,83,Core,"Recruit and hire staff, such as cooks and other kitchen workers."
2447,35-1011.00,82,Core,Order or requisition food or other supplies needed to ensure efficient operation.
2448,35-1011.00,81,Core,"Coordinate planning, budgeting, or purchasing for all the food operations within establishments such as clubs, hotels, or restaurant chains."
2449,35-1011.00,80,Core,"Inspect supplies, equipment, or work areas to ensure conformance to established standards."
2450,35-1011.00,80,Core,"Estimate amounts and costs of required supplies, such as food and ingredients."
2451,35-1011.00,79,Core,Record production or operational data on specified forms.
2452,35-1011.00,78,Core,"Plan, direct, or supervise food preparation or cooking activities of multiple kitchens or restaurants in an establishment such as a restaurant chain, hospital, or hotel."
2453,35-1011.00,78,Core,Arrange for equipment purchases or repairs.
2454,35-1011.00,75,Core,"Collaborate with other personnel to plan and develop recipes or menus, taking into account such factors as seasonal availability of ingredients or the likely number of customers."
2455,35-1011.00,73,Core,Demonstrate new cooking techniques or equipment to staff.
2456,35-1011.00,72,Core,"Meet with customers to discuss menus for special occasions, such as weddings, parties, or banquets."
2457,35-1011.00,72,Core,Meet with sales representatives to negotiate prices or order supplies.
2458,17-2041.00,89,Core,Monitor and analyze data from processes and experiments.
2459,17-2041.00,88,Core,Develop safety procedures to be employed by workers operating equipment or working in close proximity to ongoing chemical reactions.
2460,17-2041.00,85,Core,"Develop processes to separate components of liquids or gases or generate electrical currents, using controlled chemical processes."
2461,17-2041.00,80,Core,Troubleshoot problems with chemical manufacturing processes.
2462,17-2041.00,79,Core,Evaluate chemical equipment and processes to identify ways to optimize performance or to ensure compliance with safety and environmental regulations.
2463,17-2041.00,76,Core,Conduct research to develop new and improved chemical manufacturing processes.
2464,17-2041.00,76,Core,"Perform laboratory studies of steps in manufacture of new products and test proposed processes in small-scale operation, such as a pilot plant."
2465,17-2041.00,73,Core,Prepare estimate of production costs and production progress reports for management.
2466,17-2041.00,73,Core,Design measurement and control systems for chemical plants based on data collected in laboratory experiments and in pilot plant operations.
2467,17-2041.00,70,Core,"Determine most effective arrangement of operations such as mixing, crushing, heat transfer, distillation, and drying."
2468,17-2041.00,69,Core,"Direct activities of workers who operate or are engaged in constructing and improving absorption, evaporation, or electromagnetic equipment."
2469,17-2041.00,69,Core,"Perform tests and monitor performance of processes throughout stages of production to determine degree of control over variables such as temperature, density, specific gravity, and pressure."
2470,17-2041.00,65,Core,Design and plan layout of equipment.
2471,51-9011.00,94,Core,Observe safety precautions to prevent fires or explosions.
2472,51-9011.00,94,Core,"Record operational data, such as temperatures, pressures, ingredients used, processing times, or test results."
2473,51-9011.00,92,Core,Control or operate equipment in which chemical changes or reactions take place during the processing of industrial or consumer products.
2474,51-9011.00,91,Core,Patrol work areas to detect leaks or equipment malfunctions or to monitor operating conditions.
2475,51-9011.00,90,Core,Draw samples of products at specified stages so that analyses can be performed.
2476,51-9011.00,90,Core,"Adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes."
2477,51-9011.00,88,Core,"Monitor gauges, recording instruments, flowmeters, or products to ensure that specified conditions are maintained."
2478,51-9011.00,87,Core,"Test product samples for specific gravity, chemical characteristics, pH levels, concentrations, or viscosities, or send them to laboratories for testing."
2479,51-9011.00,87,Core,"Inspect equipment or units to detect leaks or malfunctions, shutting equipment down, if necessary."
2480,51-9011.00,87,Core,"Open valves or start pumps, agitators, reactors, blowers, or automatic feed of materials."
2481,51-9011.00,86,Core,"Read plant specifications to determine products, ingredients, or prescribed modifications of plant procedures."
2482,51-9011.00,86,Core,Implement appropriate industrial emergency response procedures.
2483,51-9011.00,85,Core,"Measure, weigh, and mix chemical ingredients, according to specifications."
2484,51-9011.00,82,Core,"Dump or scoop prescribed solid, granular, or powdered materials into equipment."
2485,51-9011.00,82,Core,Notify maintenance engineers of equipment malfunctions.
2486,51-9011.00,79,Core,Estimate materials required for production and manufacturing of products.
2487,51-9011.00,79,Core,"Add treating or neutralizing agents to products, and pump products through filters or centrifuges to remove impurities or to precipitate products."
2488,51-9011.00,77,Core,Observe and compare colors and consistencies of products to instrument readings and to laboratory and standard test results.
2489,51-9011.00,74,Core,Direct activities of workers assisting in control or verification of processes or in unloading of materials.
2490,51-9011.00,74,Core,"Drain equipment, and pump water or other solutions through to flush and clean tanks or equipment."
2491,51-9011.00,71,Core,"Flush or clean equipment, using steam hoses or mechanical reamers."
2492,51-9011.00,70,Core,"Make minor repairs, lubricate, and maintain equipment, using hand tools."
2493,51-9011.00,66,Core,Inventory supplies received and consumed.
2494,51-8091.00,94,Core,"Monitor recording instruments, flowmeters, panel lights, or other indicators and listen for warning signals to verify conformity of process conditions."
2495,51-8091.00,93,Core,"Regulate or shut down equipment during emergency situations, as directed by supervisory personnel."
2496,51-8091.00,92,Core,"Control or operate chemical processes or systems of machines, using panelboards, control boards, or semi-automatic equipment."
2497,51-8091.00,91,Core,"Move control settings to make necessary adjustments on equipment units affecting speeds of chemical reactions, quality, or yields."
2498,51-8091.00,91,Core,"Inspect operating units, such as towers, soap-spray storage tanks, scrubbers, collectors, or driers to ensure that all are functioning and to maintain maximum efficiency."
2499,51-8091.00,90,Core,Draw samples of products and conduct quality control tests to monitor processing and to ensure that standards are met.
2500,51-8091.00,88,Core,"Record operating data, such as process conditions, test results, or instrument readings."
2501,51-8091.00,88,Core,Patrol work areas to ensure that solutions in tanks or troughs are not in danger of overflowing.
2502,51-8091.00,88,Core,"Turn valves to regulate flow of products or byproducts through agitator tanks, storage drums, or neutralizer tanks."
2503,51-8091.00,87,Core,Interpret chemical reactions visible through sight glasses or on television monitors and review laboratory test reports for process adjustments.
2504,51-8091.00,86,Core,"Confer with technical and supervisory personnel to report or resolve conditions affecting safety, efficiency, or product quality."
2505,51-8091.00,86,Core,"Start pumps to wash and rinse reactor vessels, to exhaust gases or vapors, to regulate the flow of oil, steam, air, or perfume to towers, or to add products to converter or blending vessels."
2506,51-8091.00,86,Core,"Notify maintenance, stationary engineering, or other auxiliary personnel to correct equipment malfunctions or to adjust power, steam, water, or air supplies."
2507,51-8091.00,83,Core,Repair or replace damaged equipment.
2508,51-8091.00,86,Supplemental,"Gauge tank levels, using calibrated rods."
2509,51-8091.00,85,Supplemental,Calculate material requirements or yields according to formulas.
2510,51-8091.00,81,Supplemental,Direct workers engaged in operating machinery that regulates the flow of materials and products.
2511,51-8091.00,72,Supplemental,"Supervise the cleaning of towers, strainers, or spray tips."
2512,51-8091.00,70,Supplemental,"Defrost frozen valves, using steam hoses."
2513,19-4031.00,88,Core,"Conduct chemical or physical laboratory tests to assist scientists in making qualitative or quantitative analyses of solids, liquids, or gaseous materials."
2514,19-4031.00,86,Core,"Maintain, clean, or sterilize laboratory instruments or equipment."
2515,19-4031.00,84,Core,Monitor product quality to ensure compliance with standards and specifications.
2516,19-4031.00,84,Core,"Set up and conduct chemical experiments, tests, and analyses, using techniques such as chromatography, spectroscopy, physical or chemical separation techniques, or microscopy."
2517,19-4031.00,84,Core,"Prepare chemical solutions for products or processes, following standardized formulas, or create experimental formulas."
2518,19-4031.00,82,Core,Compile and interpret results of tests and analyses.
2519,19-4031.00,80,Core,"Provide and maintain a safe work environment by participating in safety programs, committees, or teams and by conducting laboratory or plant safety audits."
2520,19-4031.00,79,Core,Provide technical support or assistance to chemists or engineers.
2521,19-4031.00,77,Core,"Develop or conduct programs of sampling and analysis to maintain quality standards of raw materials, chemical intermediates, or products."
2522,19-4031.00,73,Core,Train new employees on topics such as the proper operation of laboratory equipment.
2523,19-4031.00,72,Core,Write technical reports or prepare graphs or charts to document experimental results.
2524,19-4031.00,68,Core,Order and inventory materials to maintain supplies.
2525,19-4031.00,68,Supplemental,"Operate experimental pilot plants, assisting with experimental design."
2526,19-4031.00,65,Supplemental,Direct or monitor other workers producing chemical products.
2527,19-4031.00,60,Supplemental,Design or fabricate experimental apparatus to develop new products or processes.
2528,19-4031.00,51,Supplemental,Develop new chemical engineering processes or production techniques.
2529,25-1052.00,94,Core,"Prepare and deliver lectures to undergraduate or graduate students on topics such as organic chemistry, analytical chemistry, and chemical separation."
2530,25-1052.00,93,Core,"Establish, teach, and monitor students' compliance with safety rules for handling chemicals, equipment, and other hazardous materials."
2531,25-1052.00,89,Core,"Evaluate and grade students' class work, laboratory performance, assignments, and papers."
2532,25-1052.00,88,Core,Supervise students' laboratory work.
2533,25-1052.00,86,Core,"Maintain student attendance records, grades, and other required records."
2534,25-1052.00,86,Core,"Supervise undergraduate or graduate teaching, internship, and research work."
2535,25-1052.00,84,Core,"Compile, administer, and grade examinations, or assign this work to others."
2536,25-1052.00,84,Core,"Prepare course materials, such as syllabi, homework assignments, and handouts."
2537,25-1052.00,84,Core,"Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction."
2538,25-1052.00,80,Core,Maintain regularly scheduled office hours to advise and assist students.
2539,25-1052.00,77,Core,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media."
2540,25-1052.00,76,Core,"Initiate, facilitate, and moderate classroom discussions."
2541,25-1052.00,73,Core,"Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."
2542,25-1052.00,69,Core,Advise students on academic and vocational curricula and on career issues.
2543,25-1052.00,69,Core,Write grant proposals to procure external research funding.
2544,25-1052.00,68,Core,"Select, order, and maintain materials and supplies for teaching and research, such as textbooks, chemicals, and laboratory equipment."
2545,25-1052.00,66,Core,Collaborate with colleagues to address teaching and research issues.
2546,25-1052.00,65,Core,Write letters of recommendation for students.
2547,25-1052.00,64,Core,Prepare and submit required reports related to instruction.
2548,25-1052.00,64,Core,"Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues."
2549,25-1052.00,59,Core,Clean laboratory facilities.
2550,25-1052.00,59,Core,"Participate in student recruitment, registration, and placement activities."
2551,25-1052.00,55,Core,Serve on committees or in professional societies.
2552,25-1052.00,67,Supplemental,"Perform administrative duties, such as serving as a department head."
2553,25-1052.00,48,Supplemental,Participate in campus and community events.
2554,25-1052.00,45,Supplemental,Act as advisers to student organizations.
2555,25-1052.00,44,Supplemental,Compile bibliographies of specialized materials for outside reading assignments.
2556,25-1052.00,38,Supplemental,Provide professional consulting services to government or industry.
2557,19-2031.00,88,Core,"Analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques."
2558,19-2031.00,88,Core,Conduct quality control tests.
2559,19-2031.00,86,Core,Maintain laboratory instruments to ensure proper working order and troubleshoot malfunctions when needed.
2560,19-2031.00,83,Core,"Prepare test solutions, compounds, or reagents for laboratory personnel to conduct tests."
2561,19-2031.00,80,Core,"Induce changes in composition of substances by introducing heat, light, energy, or chemical catalysts for quantitative or qualitative analysis."
2562,19-2031.00,80,Core,Evaluate laboratory safety procedures to ensure compliance with standards or to make improvements as needed.
2563,19-2031.00,80,Core,Compile and analyze test information to determine process or equipment operating efficiency or to diagnose malfunctions.
2564,19-2031.00,76,Core,"Write technical papers or reports or prepare standards and specifications for processes, facilities, products, or tests."
2565,19-2031.00,75,Core,"Confer with scientists or engineers to conduct analyses of research projects, interpret test results, or develop nonstandard tests."
2566,19-2031.00,73,Core,"Develop, improve, or customize products, equipment, formulas, processes, or analytical methods."
2567,19-2031.00,72,Core,"Direct, coordinate, or advise personnel in test procedures for analyzing components or physical properties of materials."
2568,19-2031.00,69,Core,"Purchase laboratory supplies, such as chemicals, when supplies are low or near their expiration date."
2569,19-2031.00,69,Supplemental,"Study effects of various methods of processing, preserving, or packaging on composition or properties of foods."
2570,11-1011.00,89,Core,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency."
2571,11-1011.00,87,Core,Appoint department heads or managers and assign or delegate responsibilities to them.
2572,11-1011.00,85,Core,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change."
2573,11-1011.00,85,Core,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."
2574,11-1011.00,79,Core,"Prepare budgets for approval, including those for funding or implementation of programs."
2575,11-1011.00,79,Core,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems."
2576,11-1011.00,78,Core,Implement corrective action plans to solve organizational or departmental problems.
2577,11-1011.00,76,Core,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments."
2578,11-1011.00,74,Core,Establish departmental responsibilities and coordinate functions among departments and sites.
2579,11-1011.00,74,Core,"Preside over, or serve on, boards of directors, management committees, or other governing boards."
2580,11-1011.00,74,Core,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities."
2581,11-1011.00,72,Core,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes."
2582,11-1011.00,71,Core,Review reports submitted by staff members to recommend approval or to suggest changes.
2583,11-1011.00,68,Core,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives."
2584,11-1011.00,67,Core,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals."
2585,11-1011.00,66,Core,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services."
2586,11-1011.00,66,Core,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups."
2587,11-1011.00,66,Core,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies."
2588,11-1011.00,58,Core,Direct or conduct studies or research on issues affecting areas of responsibility.
2589,11-1011.00,81,Supplemental,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products."
2590,11-1011.00,73,Supplemental,"Make presentations to legislative or other government committees regarding policies, programs, or budgets."
2591,11-1011.00,73,Supplemental,Refer major policy matters to elected representatives for final decisions.
2592,11-1011.00,72,Supplemental,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.
2593,11-1011.00,69,Supplemental,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings."
2594,11-1011.00,69,Supplemental,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting."
2595,11-1011.00,66,Supplemental,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced."
2596,11-1011.00,64,Supplemental,"Serve as liaisons between organizations, shareholders, and outside organizations."
2597,11-1011.00,59,Supplemental,Attend and participate in meetings of municipal councils or council committees.
