,Unnamed: 0,title,company,location,description,date_posted,link
174,174,Research Fellow (Semiconductor Device Technology and in Quantum Physics),National University of Singapore,Singapore,circuits and quantum technology. Qualifications •    Possess a PhD Degree in Electrical Engineering with strong knowledge in semiconductor device technology and in quantum physics. •    Strong knowledge in,"Singapore,",https://scholarshipdb.net/jobs-in-Singapore/Research-Fellow-Semiconductor-Device-Technology-And-In-Quantum-Physics-National-University-Of-Singapore=omO8UtZc7RGUYQAlkGUTnw.html
175,175,PhD position in Mode conversion of Quantum state,DTU Electro,Denmark,in multi-mode optical fibers for application in classical as well as quantum communication The PhD student will participate in an international team in an EU-funded Doctoral Network project called,11 days ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Position-In-Mode-Conversion-Of-Quantum-State-Dtu-Electro=xHQZqVZZ7RGUYQAlkGUTnw.html
176,176,N-Photon Entanglement and N-Photon Detection for Quantum-Based Metrology,NIST,United States,"Opportunity at National Institute of Standards and Technology (NIST) N-Photon Entanglement and N-Photon Detection for Quantum-Based Metrology Location Physical Measurement Laboratory, Quantum","Kent Ridge,",https://scholarshipdb.net/jobs-in-United-States/N-Photon-Entanglement-And-N-Photon-Detection-For-Quantum-Based-Metrology-Nist=dpnHhflY7RGUYQAlkGUTnw.html
177,177,"Visiting Research Associate Professor (Quantum Shannon Theory),Centre for Quantum Technologies",National University of Singapore,Singapore,"About Centre for Quantum Technologies (CQT) The Centre for Quantum Technologies (CQT) is a research centre of excellence in Singapore. It brings together physicists, computer scientists and",12 days ago,https://scholarshipdb.net/jobs-in-Singapore/Visiting-Research-Associate-Professor-Quantum-Shannon-Theory-Centre-For-Quantum-Technologies-National-University-Of-Singapore=MHgcOxxR7RGUYQAlkGUTnw.html
178,178,Research Fellow in Terahertz Quantum Cascade Laser Devices,University of Leeds,United Kingdom,"View All Vacancies Are you an ambitious researcher looking for your next challenge? Do you have an established background in quantum cascade lasers, terahertz science or micro-fabrication? Do you",16 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-In-Terahertz-Quantum-Cascade-Laser-Devices-University-Of-Leeds=KQZW6OVb7RGUYQAlkGUTnw.html
179,179,PhD student position in theory of dynamics in quantum materials,Chalmers University of Technology,Sweden,State-of-the-art techniques in the ultrafast control of matter reveal exciting dynamical phases and quantum phenomena. Join us at Chalmers for a PhD project and make a significant contribution to,"Gaithersburg, Maryland",https://scholarshipdb.net/scholarships-in-Sweden/Ph-D-Student-Position-In-Theory-Of-Dynamics-In-Quantum-Materials-Chalmers-University-Of-Technology=rYVbD_BW7RGUYQAlkGUTnw.html
186,186,Doctoral researcher (PhD student) in Quantum Machine Learning Force…,University of Luxembourg,Luxembourg,Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein Interactions (Valid from 01/11/2022 to 03/01/2023) Language: English (UK) Country: Luxembourg,7 days ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Researcher-Ph-D-Student-In-Quantum-Machine-Learning-Force-University-Of-Luxembourg=SMxtyL9c7RGUYQAlkGUTnw.html
187,187,Senior Research Associate in Superconducting Quantum Devices for Dark Matter Experiments - 0968-22,Lancaster University,United Kingdom,Associate post is available for 2 years at Lancaster University to contribute to the project ‘Quantum Science for the Hidden Sector’ (QSHS) funded through STFC as part of the Quantum Technologies,"Lancaster, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Senior-Research-Associate-In-Superconducting-Quantum-Devices-For-Dark-Matter-Experiments-0968-22-Lancaster-University=uiiN_6JR7RGUYQAlkGUTnw.html
188,188,Associate Professor in Post-quantum Cryptography,NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY - NTNU,Norway,"associate professor in cryptology within our Cryptology Discipline. After six years of standardisation efforts to solicit, evaluate, and standardise one or more quantum-resistant public-key cryptographic",about 5 hours ago,https://scholarshipdb.net/jobs-in-Norway/Associate-Professor-In-Post-Quantum-Cryptography-Norwegian-University-Of-Science-Technology-Ntnu=VlLf_BhR7RGUYQAlkGUTnw.html
189,189,Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein Interactions,University of Luxembourg,Luxembourg,"/ ) within its Faculty of Science, Technology and Medicine: Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein Interactions The University of Luxembourg is looking",24 days ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Researcher-Ph-D-Student-In-Quantum-Machine-Learning-Force-Fields-For-Molecule-Protein-Interactions-University-Of-Luxembourg=cPJGUUZa7RGUYQAlkGUTnw.html
190,190,"Chief Executive Officer, Chicago Quantum Exchange (CQE)",The University of Chicago,United States,Department PME Quantum Exchange About the Department The Chicago Quantum Exchange (CQE) is an intellectual hub for advancing the science and engineering of quantum information between the CQE,1 day ago,https://scholarshipdb.net/jobs-in-United-States/Chief-Executive-Officer-Chicago-Quantum-Exchange-Cqe-The-University-Of-Chicago=4WwxsYlb7RGUYQAlkGUTnw.html
191,191,Professor Position in Quantum Mathematics,University of Southern Denmark,Denmark,"The Centre for Quantum Mathematics (QM) at the Department of Mathematics and Computer Science , University of Southern Denmark (SDU) invites applications for a number of positions as professor in","Chicago, Illinois",https://scholarshipdb.net/jobs-in-Denmark/Professor-Position-In-Quantum-Mathematics-University-Of-Southern-Denmark=UK7caclO7RGUYQAlkGUTnw.html
192,192,Associate Professor in Post-quantum Cryptography,NTNU Norwegian University of Science and Technology,Norway,"or more quantum-resistant public-key cryptographic algorithms, in the summer of 2022, the National Institute of Standards and Technology (NIST) from the USA has selected a portfolio of several algorithms",11 days ago,https://scholarshipdb.net/jobs-in-Norway/Associate-Professor-In-Post-Quantum-Cryptography-Ntnu-Norwegian-University-Of-Science-And-Technology=79i06aRQ7RGUYQAlkGUTnw.html
193,193,Research Fellow - Detecting Dark Matter with Trapped Ion Quantum Technology,University of Birmingham ;,United Kingdom,join the Quantum System group at the University of Birmingham and lead the lab activities towards the realization and characterization of a Californium highly charged ion clock.  The successful candidate,about 3 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Detecting-Dark-Matter-With-Trapped-Ion-Quantum-Technology-University-Of-Birmingham=VexPsDJc7RGUYQAlkGUTnw.html
194,194,Post-doctoral position in development of RoHS compliant quantum dots in the infrared,Institute of Photonic Sciences,Luxembourg,-free quantum dots with tuneable absorption in the short wave infrared and fabrication and characterization of photodetectors based on said quantum dots. Share this opening! Use the following URL: https,28 days ago,https://scholarshipdb.net/jobs-in-Luxembourg/Post-Doctoral-Position-In-Development-Of-Ro-Hs-Compliant-Quantum-Dots-In-The-Infrared-Institute-Of-Photonic-Sciences=qDwkq7hT7RGUYQAlkGUTnw.html
195,195,PhD position in the field of Theoretical Physics (Quantum Mechanics),University of Hamburg,Germany,Skip to main content European Commission › EURAXESS › Jobs & Funding › PhD position in the field of Theoretical Physics (Quantum Mechanics) EURAXESS Toggle navigation Jobs & Funding More Working,"Birmingham, England",https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Position-In-The-Field-Of-Theoretical-Physics-Quantum-Mechanics-University-Of-Hamburg=YVZKygZV7RGUYQAlkGUTnw.html
200,200,Senior Research Associate/Research Associate in Superconducting Quantum Amplifiers - 0628-22-R,Lancaster University,United Kingdom,researcher for a new project to develop a microwave parametric amplifier based on quantum paraelectricity. Superconducting parametric amplifiers are exquisitely sensitive and can resolve signals,"Lancaster, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Senior-Research-Associate-Research-Associate-In-Superconducting-Quantum-Amplifiers-0628-22-R-Lancaster-University=4SksQAtQ7RGUYQAlkGUTnw.html
201,201,PhD Studentship: Theory for Generating Quantum Entangled States in Hybrid Nanophotonic Cavities,University of Birmingham ;,United Kingdom,"confinement, one can massively increase the light and matter interaction, to engineering quantum entangled states, possibly even at room temperature. The properties of the photonic cavity control how quickly",about 5 hours ago,https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Theory-For-Generating-Quantum-Entangled-States-In-Hybrid-Nanophotonic-Cavities-University-Of-Birmingham=wxr2BVdW7RGUYQAlkGUTnw.html
202,202,Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein...,University of Luxembourg,Luxembourg,"/ ) within its Faculty of Science, Technology and Medicine: Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein Interactions The University of Luxembourg is looking","Birmingham, England",https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Researcher-Ph-D-Student-In-Quantum-Machine-Learning-Force-Fields-For-Molecule-Protein-University-Of-Luxembourg=JLqx9jla7RGUYQAlkGUTnw.html
203,203,Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein...,University of Luxembourg,Luxembourg,"/ ) within its Faculty of Science, Technology and Medicine: Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein Interactions The University of Luxembourg is looking",19 days ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Researcher-Ph-D-Student-In-Quantum-Machine-Learning-Force-Fields-For-Molecule-Protein-University-Of-Luxembourg=SXvje7Ja7RGUYQAlkGUTnw.html
204,204,Postdoc for generation of Orbital Angular Momentum using Artificial Intelligence for Quantum OCT,Delft University of Technology,Netherlands,"enabling technologies, such as quantum- and nanotechnology, photonics, biotechnology, synthetic biology and materials for energy storage and conversion, our faculty aims to provide solutions to important",14 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-For-Generation-Of-Orbital-Angular-Momentum-Using-Artificial-Intelligence-For-Quantum-Oct-Delft-University-Of-Technology=UyCblbVP7RGUYQAlkGUTnw.html
205,205,Research Fellow (Quantum Materials and Devices),NATIONAL UNIVERSITY OF SINGAPORE,United Kingdom,"experimental condensed matter physics. The candidate will explore the exciting physics of novel quantum systems such as twist-controlled moire structures, topological insulators, two-dimensional superconductors",14 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Quantum-Materials-And-Devices-National-University-Of-Singapore=6dv8DD5Q7RGUYQAlkGUTnw.html
206,206,"Assistant and Associate Professors in Quantum Circuits, Architectures and Technology",Delft University of Technology (TU Delft),Netherlands,"Quantum computing will enable breakthroughs in societal issues ranging from climate change to developing new materials and drugs at the molecular level, but current quantum computing engines are too",2 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-And-Associate-Professors-In-Quantum-Circuits-Architectures-And-Technology-Delft-University-Of-Technology-Tu-Delft=jMIlrPBR7RGUYQAlkGUTnw.html
207,207,"Research Assistant, Centre for Quantum Technologies",NATIONAL UNIVERSITY OF SINGAPORE,United Kingdom,Job Description The Centre for Quantum Technologies (CQT) is a research centre of excellence at the National University of Singapore doing cutting-edge theoretical and experimental science.  CQT is,28 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Assistant-Centre-For-Quantum-Technologies-National-University-Of-Singapore=n1JwqmJP7RGUYQAlkGUTnw.html
208,208,Post-Doc in Quantum Molecular Dynamics (M/W),Universite de Montpellier,France,"de Chimie Physique (ICP) of the University Paris-Saclay. The project aims at addressing the problem of quantum nuclear effects (e.g., Tunneling, effect) in the treatment of complex molecular reactive",26 days ago,https://scholarshipdb.net/jobs-in-France/Post-Doc-In-Quantum-Molecular-Dynamics-M-W-Universite-De-Montpellier=kmTRAfJR7RGUYQAlkGUTnw.html
209,209,Postdoc in theoretical quantum chemistry (excited states methodologies) H/F,CNRS,France,"The project aims to develop new theoretical approaches adapted to excited states and their implementation in the software QUANTUM PACKAGE developed within the laboratory. In particular, the post",29 days ago,https://scholarshipdb.net/jobs-in-France/Postdoc-In-Theoretical-Quantum-Chemistry-Excited-States-Methodologies-H-F-Cnrs=uKBFe-9R7RGUYQAlkGUTnw.html
214,214,"Assistant and Associate Professors in Quantum Circuits, Architectures and Technology",Delft University of Technology (TU Delft),Netherlands,"Assistant and Associate Professors in Quantum Circuits, Architectures and Technology Assistant and Associate Professors in Quantum Circuits, Architectures and Technology Published Deadline Location",24 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-And-Associate-Professors-In-Quantum-Circuits-Architectures-And-Technology-Delft-University-Of-Technology-Tu-Delft=OHob_31R7RGUYQAlkGUTnw.html
215,215,"Assistant and Associate Professors in Quantum Circuits, Architectures and Technology",Delft University of Technology,Netherlands,Challenge: Making quantum computing a reality. Change: Develop scalable quantum computing engines that harness millions of qubits. Impact: Solving complex computational problems that no classical,4 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-And-Associate-Professors-In-Quantum-Circuits-Architectures-And-Technology-Delft-University-Of-Technology=RQUgJVtR7RGUYQAlkGUTnw.html
216,216,"Research Assistant (NISQ Computing and Optical Neural Network), Centre for Quantum Technologies",National University of Singapore,Singapore,"About the Centre for Quantum Technologies The Centre for Quantum Technologies (CQT) is a research centre of excellence in Singapore. It brings together physicists, computer scientists and engineers","Kent Ridge,",https://scholarshipdb.net/jobs-in-Singapore/Research-Assistant-Nisq-Computing-And-Optical-Neural-Network-Centre-For-Quantum-Technologies-National-University-Of-Singapore=yjSFy_hO7RGUYQAlkGUTnw.html
217,217,PhD scholarship in Quantum Communication using High-Order Modes at DTU Electro,DTU Electro,Denmark,"We offer DTU is a leading technical university globally recognized for the excellence of its research, education, innovation and scientific advice. We offer a rewarding and challenging job in an international environment. We strive for academic excellence in an environment characterized by...",about 13 hours ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Scholarship-In-Quantum-Communication-Using-High-Order-Modes-At-Dtu-Electro-Dtu-Electro=dbmIFH5c7RGUYQAlkGUTnw.html
218,218,"M/F: PhD Student - Ab initio Control of Defects for Quantum Bits: Screening, Quantifying,...",CNRS,France,computer programming would be a plus. CMOS qubit technologies is one of the most promising paths towards the development of efficient and low-cost quantum materials. Indeed silicon-(silicon derivatives,10 days ago,https://scholarshipdb.net/scholarships-in-France/M-F-Ph-D-Student-Ab-Initio-Control-Of-Defects-For-Quantum-Bits-Screening-Quantifying-Cnrs=Rb3nUERa7RGUYQAlkGUTnw.html
219,219,Innovation Manager / Business Developer Quantum,Leiden University,Netherlands,"Terms and conditions The appointment is temporary for 1 year, with the option to continue in a permanent position thereafter. The salary depends on previous experience and ranges from € 4.814,- to € 6.181,- gross per month (pay scale 12) on fulltime basis, in accordance with the Collective Labor...","Tremblay en France, le de France",https://scholarshipdb.net/jobs-in-Netherlands/Innovation-Manager-Business-Developer-Quantum-Leiden-University=k69RvRZP7RGUYQAlkGUTnw.html
220,220,"Post-Doctoral Associate in the Center for Quantum and Topological Systems, Dr. Hisham Sati",NEW YORK UNIVERSITY ABU DHABI,United Kingdom,"Description The Center for Quantum and Topological Systems (CQTS)  at New York University (NYU) Abu Dhabi, UAE invites applications for a Research Associate / Postdoctoral Associate position, in",16 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Post-Doctoral-Associate-In-The-Center-For-Quantum-And-Topological-Systems-Dr-Hisham-Sati-New-York-University-Abu-Dhabi=6OTPQFtP7RGUYQAlkGUTnw.html
221,221,Lead developer and system architect for full quantum computer software stack,Forschungszentrum Jülich,Germany,"Your Job: Lead, together with scientists, the development of a full software stack for a quantum computer Lead and advise on high-level software design and architectural decisions Develop and",15 days ago,https://scholarshipdb.net/jobs-in-Germany/Lead-Developer-And-System-Architect-For-Full-Quantum-Computer-Software-Stack-Forschungszentrum-J-lich=eQ9bwOZW7RGUYQAlkGUTnw.html
222,222,POSTDOC POSITION (F*M),"Austrian Academy of Sciences, The Institute for Quantum Optics and Quantum Information – Vienna (IQOQI-Vienna)",Austria,"Job ID: IQOQIVIE155PD222 The Institute for Quantum Optics and Quantum Information – Vienna (IQOQI-Vienna ) of the Austrian Academy of Sciences (OeAW ), Austria's leading non-university research and",28 days ago,https://scholarshipdb.net/jobs-in-Austria/Postdoc-Position-F-M-Austrian-Academy-Of-Sciences-The-Institute-For-Quantum-Optics-And-Quantum-Information-Vienna-Iqoqi-Vienna=HakNGxlk7RGUYQAlkGUTnw.html
223,223,Optics Technical Engineer,Delft University of Technology (TU Delft),Netherlands,"radically new technology with world-changing potential, developing scalable prototypes of a quantum computer and an intrinsically safe quantum internet. We are creating the quantum future and we believe",about 17 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Optics-Technical-Engineer-Delft-University-Of-Technology-Tu-Delft=1KOSIfVk7RGUYQAlkGUTnw.html
226,226,"Post-doctoral Researchers for NQR Group led by Paweł Horodecki, ICTQT, UG (# of pos: 2)",University of Gdansk,Poland,We are looking for two (2) enthusiastic and motivated Post-doctoral Researchers to work in the New Quantum Resources Group led by Prof. Paweł Horodecki at the International Centre for Theory,23 days ago,https://scholarshipdb.net/jobs-in-Poland/Post-Doctoral-Researchers-For-Nqr-Group-Led-By-Pawe-Horodecki-Ictqt-Ug-Of-Pos-2-University-Of-Gdansk=y-SOhZ5U7RGUYQAlkGUTnw.html
227,227,Postdoctoral Research Fellow in Theoretical Physics (ref 234780),University of Oslo,Norway,"focus of the low-energy part of the Theoretical Physics section is on magnetism and simulation methods for many-body systems, as well as on fundamental studies of quantum optics, various quantum phenomena",3 days ago,https://scholarshipdb.net/jobs-in-Norway/Postdoctoral-Research-Fellow-In-Theoretical-Physics-Ref-234780-University-Of-Oslo=BMufJhxk7RGUYQAlkGUTnw.html
228,228,RF Electronics Engineer,CSIRO,Australia,Join a ground-breaking team developing quantum sensing technologies World-leading scientific capability in High Temperature Superconducting (HTS) electronics Get involved in innovative,about 7 hours ago,https://scholarshipdb.net/jobs-in-Australia/Rf-Electronics-Engineer-Csiro=LE6vOtdj7RGUYQAlkGUTnw.html
229,229,PHD STUDENT POSITION (F*M),"Austrian Academy of Sciences, The Institute for Quantum Optics and Quantum Information Vienna (IQOQI-Vienna)",Austria,"Job ID: IQOQIVIE145DOC122 The Institute for Quantum Optics and Quantum Information Vienna (IQOQI-Vienna ) of the Austrian Academy of Sciences (OeAW ), Austria’s leading non-university research and",10 days ago,https://scholarshipdb.net/scholarships-in-Austria/Phd-Student-Position-F-M-Austrian-Academy-Of-Sciences-The-Institute-For-Quantum-Optics-And-Quantum-Information-Vienna-Iqoqi-Vienna=kHMWRYFc7RGUYQAlkGUTnw.html
230,230,Postdoctoral Research Fellow,University of Exeter,United Kingdom,"Postdoctoral Research Fellow working in the area of quantum computing and simulation. The post is offered to work in the group of Dr. Oleksandr Kyriienko (Department of Physics, University of Exeter). A","Exeter, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Fellow-University-Of-Exeter=lNfJ39hk7RGUYQAlkGUTnw.html
231,231,Science and Communication Manager (m/w/d),Center for Integrated Quantum Science and Technology,Germany,"We are looking for a Science and Communication Manager (m/w/d) at the Centre for Integrated Quantum Science and Technology. Are you interested in scientific writing, management, outreach and",about 2 hours ago,https://scholarshipdb.net/jobs-in-Germany/Science-And-Communication-Manager-M-W-D-Center-For-Integrated-Quantum-Science-And-Technology=27Ui1Nhl7RGUYQAlkGUTnw.html
232,232,"69597: Computer Scientist, Data Scientist, or similar, Research…",German Aerospace Center (DLR),Germany,of the Earth system. Quantum computers are one of the ground-breaking novel technologies of the 21st century. They will make it possible to perform calculations and simulations that conventional computers would,"Stuttgart, Baden W rttemberg",https://scholarshipdb.net/jobs-in-Germany/69597-Computer-Scientist-Data-Scientist-Or-Similar-Research-German-Aerospace-Center-Dlr=UXYq7Lhc7RGUYQAlkGUTnw.html
233,233,Postdoctoral Research Fellow,University of Exeter ;,United Kingdom,"in the area of quantum computing and topological data analysis. The post is offered to work in the group of Dr. Oleksandr Kyriienko (Department of Physics, University of Exeter). A successful applicant",about 21 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Fellow-University-Of-Exeter=vEUiBQpd7RGUYQAlkGUTnw.html
234,234,PhD position: Graphene as a platform for new topological phases of electronic matter,Monash University,Australia,"in graphene. One scheme involves transition metal adatoms on graphene which add strong spin-orbit coupling, resulting in a bandgap and a topological insulating quantum spin Hall phase, or, in the case","Germany,",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Graphene-As-A-Platform-For-New-Topological-Phases-Of-Electronic-Matter-Monash-University=Kxnl1tJj7RGUYQAlkGUTnw.html
235,235,BAQIS Recruitment,"Beijing Academy of Quantum Information Science, China",China,"Brief Introduction: Beijing Academy of Quantum Information Sciences (BAQIS) is an innovative research institution, sponsored by the Beijing municipal government, and founded with the partnership",6 days ago,https://scholarshipdb.net/jobs-in-China/Baqis-Recruitment-Beijing-Academy-Of-Quantum-Information-Science-China=SeQekyBg7RGUYQAlkGUTnw.html
240,240,Associate or Assistant (tenure track) Professor,University of Geneva,Switzerland,The Faculty of Science of the University of G eneva is opening a position of Associate or Assistant (tenure track) Professor in the field of low - energy quantum many - body physics,13 days ago,https://scholarshipdb.net/jobs-in-Switzerland/Associate-Or-Assistant-Tenure-Track-Professor-University-Of-Geneva=gAAaBw1c7RGUYQAlkGUTnw.html
241,241,Developer Relations Advocate,Quantum Brilliance GmbH,Germany,About Us Quantum Brilliance is the world pioneer in room-temperature quantum computing using synthetic diamonds. Our unique vision is to make quantum computing available as an everyday technology,"Stuttgart, Baden W rttemberg",https://scholarshipdb.net/jobs-in-Germany/Developer-Relations-Advocate-Quantum-Brilliance-Gmb-H=dHFNgble7RGUYQAlkGUTnw.html
242,242,PhD Studentships - Research Masters and Taught Masters in Physics and Astronomy,University of Glasgow ;,United Kingdom,"Computational and artificial intelligence techniques for imaging Single photon imaging for life sciences, bio-imaging and healthcare Imaging with entanglement Fundamentals of quantum physics in curved spacetime",9 days ago,https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentships-Research-Masters-And-Taught-Masters-In-Physics-And-Astronomy-University-Of-Glasgow=SmtcS5Bf7RGUYQAlkGUTnw.html
243,243,PhD Positions at the IMPRS-QST,Max-Planck-Institut für Quantenoptik,Germany,The International Max Planck Research School for Quantum Science and Technology is opening new PhD positions in summer/fall 2023. The IMPRS is a joint program of the Max Planck Institute of Quantum,"Glasgow, Scotland",https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Positions-At-The-Imprs-Qst-Max-Planck-Institut-F-r-Quantenoptik=ER65YKRW7RGUYQAlkGUTnw.html
244,244,Postdoctoral Research Associate -MilliKelvin Probes of Superconducting Materials & Devices,Oak Ridge National Laboratory,United States,solutions to compelling problems in energy and security. We are seeking a Postdoctoral Research Associate who will support the Quantum Heterostructures Group in the Materials Sciences and Technology Division,8 days ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Research-Associate-Milli-Kelvin-Probes-Of-Superconducting-Materials-Devices-Oak-Ridge-National-Laboratory=b-Jl_Wpk7RGUYQAlkGUTnw.html
245,245,PhD position: Few- and many-body physics in ultracold atomic gases,Monash University,Australia,Ultracold atomic gases have emerged as an ideal platform for investigating the physics of strongly correlated materials in a highly controllable environment. The Theory of Quantum Matter group,"Garching bei M nchen, Bayern",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Few-And-Many-Body-Physics-In-Ultracold-Atomic-Gases-Monash-University=Khnl1tJj7RGUYQAlkGUTnw.html
246,246,Project Manager,Delft University of Technology (TU Delft),Netherlands,"radically new technology with world-changing potential, developing scalable prototypes of a quantum computer and an intrinsically safe quantum internet. We are creating the quantum future and we believe",about 2 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Project-Manager-Delft-University-Of-Technology-Tu-Delft=tkVJ-klc7RGUYQAlkGUTnw.html
247,247,"Postdoctoral Fellow, Physics and Engineering Physics >>>",Tulane University,United States,"Nov 07, 2022 Description We invite applications for a Postdoctoral Research Associate position in theoretical quantum physics within the group of Prof. Shao-Kai Jian at Tulane University that can be","Oak Ridge, Tennessee",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Fellow-Physics-And-Engineering-Physics-Gt-Gt-Gt-Tulane-University=YyQvsy9e7RGUYQAlkGUTnw.html
248,248,69589: Research Software Engineer (f/m/x) - Technical development of…,German Aerospace Center (DLR),Germany,of the Earth system. Quantum computers are one of the ground-breaking novel technologies of the 21st century. They will make it possible to perform calculations and simulations that conventional computers would,about 15 hours ago,https://scholarshipdb.net/jobs-in-Germany/69589-Research-Software-Engineer-F-M-X-Technical-Development-Of-German-Aerospace-Center-Dlr=VE29w_tb7RGUYQAlkGUTnw.html
249,249,"Research Fellow, Theory Group",UNIVERSITY OF SOUTHAMPTON,United Kingdom,(SHEP) at the University of Southampton invites applications for a Research Fellow (post-doctoral) position funded by an EPSRC/STFC research grant to work on investigating new quantum algorithms,about 11 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Theory-Group-University-Of-Southampton=ryUB_lJb7RGUYQAlkGUTnw.html
257,257,Project Manager,Delft University of Technology,Netherlands,Join QuTech and create the Quantum Future! QuTech is a mission-driven research institute run jointly by Delft University of Technology (TU Delft) and the Netherlands Organisation for Applied,2 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Project-Manager-Delft-University-Of-Technology=Yq0rlpZd7RGUYQAlkGUTnw.html
258,258,Joint Faculty Position in Computer & Communication Sciences and Basic Sciences,"École polytechnique fédérale de Lausanne, EPFL",Switzerland,"The Schools of Computer and Communication Sciences (IC) and Basic Sciences (SB) at EPFL invite applications for a joint faculty position in all areas of quantum computing and quantum algorithms, and",6 days ago,https://scholarshipdb.net/jobs-in-Switzerland/Joint-Faculty-Position-In-Computer-Communication-Sciences-And-Basic-Sciences-cole-Polytechnique-F-d-rale-De-Lausanne-Epfl=pIfDKftg7RGUYQAlkGUTnw.html
259,259,Nanofabrication Engineering Lead at NQCP,University of Copenhagen,Denmark,"Foundation Quantum Computer Programme - is establishing a talented and diverse international team to create a cutting-edge quantum programme in the heart of Copenhagen, Denmark. At the Niels Bohr Institute",1 day ago,https://scholarshipdb.net/jobs-in-Denmark/Nanofabrication-Engineering-Lead-At-Nqcp-University-Of-Copenhagen=GMjTlSFg7RGUYQAlkGUTnw.html
260,260,PHD STUDENT POSITION (F*M),"Austrian Academy of Sciences, The Institute for Quantum Optics and Quantum Information Innsbruck (IQOQI-IBK)",Austria,"Job ID: IQOQIIBK151DOC222 The Institute for Quantum Optics and Quantum Information Innsbruck (IQOQI-IBK ) of the Austrian Academy of Sciences (OeAW ), Austria`s leading non-university research and",16 days ago,https://scholarshipdb.net/scholarships-in-Austria/Phd-Student-Position-F-M-Austrian-Academy-Of-Sciences-The-Institute-For-Quantum-Optics-And-Quantum-Information-Innsbruck-Iqoqi-Ibk=VaUUPFJZ7RGUYQAlkGUTnw.html
261,261,Public Outreach Manager (m/f/d),"Max Planck Institute of Quantum Optics, Garching",Germany,"activities for various platforms as well as for the web and social media presences of Munich Quantum Valley Development, organization and implementation of target audience-specific events, exhibitions and","Garching an der Alz, Bayern",https://scholarshipdb.net/jobs-in-Germany/Public-Outreach-Manager-M-F-D-Max-Planck-Institute-Of-Quantum-Optics-Garching=qhObxe5l7RGUYQAlkGUTnw.html
262,262,PhD position: Density Functional Theory (DFT) for unusual electronic structures,University of Melbourne,Australia,"structures, their stability and chemical reactivity. Theoretical and Computational Quantum Chemistry has made significant advances over the last 15 years in the field of noncovalent interactions for electronic",about 6 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Density-Functional-Theory-Dft-For-Unusual-Electronic-Structures-University-Of-Melbourne=mmId6gFi7RGUYQAlkGUTnw.html
