,Unnamed: 0,title,company,location,description,date_posted,link
122,122,Postdoctoral Fellowship in Experimental Quantum Matter,University of Copenhagen,Denmark,"should have a PhD in condensed matter experimental physics, mesoscopic electron transport, or experimental solid-state quantum information science. The project combines nanofabrication, low-temperature",9 days ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoctoral-Fellowship-In-Experimental-Quantum-Matter-University-Of-Copenhagen=lkY2t4hi7RGUYQAlkGUTnw.html
123,123,"Assistant and Associate Professors in Quantum Circuits, Architectures and Technology",Delft University of Technology (TU Delft),Netherlands,"partners. You’ll also be teaching Bachelor and Master students in quantum and non-quantum computing and supervising Master and PhD students. In addition, you’ll play an active role in our faculty’s","Singapore,",https://scholarshipdb.net/jobs-in-Netherlands/Assistant-And-Associate-Professors-In-Quantum-Circuits-Architectures-And-Technology-Delft-University-Of-Technology-Tu-Delft=jMIlrPBR7RGUYQAlkGUTnw.html
124,124,Postdoctoral Research Assistant x 3,University of London,United Kingdom,"Topological Quantum Field Theory (TQFT), algebraic aspects of quantum systems, Conformal Field Theory (CFT), integrability, black hole physics, and the AdS/CFT duality broadly defined. One position will work",4 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Assistant-X-3-University-Of-London=Af-88_Vl7RGUYQAlkGUTnw.html
125,125,Postdoc Quantum Engineering Systems,The Design Society,Worldwide,Closing Date: April 16th 2022 Job description Research on quantum technologies is currently scaling up from laboratory research to implementation of first applications. This postdoc position aims,13 minutes ago,https://scholarshipdb.net/jobs-in-Worldwide/Postdoc-Quantum-Engineering-Systems-The-Design-Society=NzdNcrVj7RGUYQAlkGUTnw.html
126,126,"Research Fellow, Post Quantum Cryptography",QUEENS UNIVERSITY BELFAST,United Kingdom,"implementation of practical, robust and physically secure post-quantum cryptographic architectures at the Centre for Secure Information Technology (CSIT), at the Institute of Electronics, Communication and",26 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Post-Quantum-Cryptography-Queens-University-Belfast=1Q6TzKtk7RGUYQAlkGUTnw.html
127,127,Research Fellow - Post Quantum Cryptography,Queen's University Belfast,United Kingdom,"of practical, robust and physically secure post-quantum cryptographic architectures at the Centre for Secure Information Technology (CSIT), at the Institute of Electronics, Communication and Information","London, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Post-Quantum-Cryptography-Queen-s-University-Belfast=amqraWBk7RGUYQAlkGUTnw.html
128,128,PhD position: Modelling the electronic structure of low-dimensional organic nanostructures on surfaces,Monash University,Australia,". Potential functionality of these nano-assemblies arise from their atomic-scale electronic structure, which is dictated by quantum mechanics. Understanding and predicting such electronic structure is non",about 19 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Modelling-The-Electronic-Structure-Of-Low-Dimensional-Organic-Nanostructures-On-Surfaces-Monash-University=wCgI3dJj7RGUYQAlkGUTnw.html
135,135,"Post-Doctoral Associate in the Center for Quantum and Topological Systems, Dr. Hisham Sati",NEW YORK UNIVERSITY ABU DHABI,United Kingdom,"having a focus and in-depth expertise in a particular topic mentioned above. Applicants should have a PhD in Computer Engineering, Computer Science, or Electrical Engineering. Expertise in Quantum Physics",28 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Post-Doctoral-Associate-In-The-Center-For-Quantum-And-Topological-Systems-Dr-Hisham-Sati-New-York-University-Abu-Dhabi=6OTPQFtP7RGUYQAlkGUTnw.html
136,136,PhD position: Interplay between Dirac electrons and magnetic textures in topological insulators,Monash University,Australia,Topological insulators (TI) represent a new state of quantum matter. TIs have insulating bulk (like an ordinary insulator) and exotic metallic surface states. These states are described by a,about 11 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Interplay-Between-Dirac-Electrons-And-Magnetic-Textures-In-Topological-Insulators-Monash-University=NBnl1tJj7RGUYQAlkGUTnw.html
137,137,PhD position: Excitonic superfluidity in electron-hole bilayers,Monash University,Australia,Superconductivity and superfluidity are macroscopic quantum phenomena that are observed at low temperatures. Bringing them to room temperatures is the Holy Grail in physics. One prospective system,about 11 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Excitonic-Superfluidity-In-Electron-Hole-Bilayers-Monash-University=Jxnl1tJj7RGUYQAlkGUTnw.html
138,138,Research Assistant/Associate,Imperial College London,United Kingdom,"theoretical physics relevant to the funding grant, including string theory, quantum field theory, gauge-gravity duality, black holes, and/or related topics. Essential requirements You must hold a PhD (or","South Kensington, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Assistant-Associate-Imperial-College-London=PE-vs5ll7RGUYQAlkGUTnw.html
139,139,PhD position: Electrical Transport of Kagome metals and superconductors,Monash University,Australia,"bands (similar to graphene). However, when spin-orbit coupling is included, a bandgap is opened and within the bandgap 1D chiral edge states exist, yielding a quantum anomalous Hall insulator that has",about 3 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Electrical-Transport-Of-Kagome-Metals-And-Superconductors-Monash-University=Jhnl1tJj7RGUYQAlkGUTnw.html
140,140,Post-Doctoral Researcher in Scalable Quantum Computing,Universitat Politècnica de Catalunya (UPC) - BarcelonaTECH,Spain,"of developments in the integration of wireless, quantum, and classical architecture simulators. Mentoring of PhD students of the project. Writing of grant applications as PI with freedom to develop own ideas. Work",about 11 hours ago,https://scholarshipdb.net/jobs-in-Spain/Post-Doctoral-Researcher-In-Scalable-Quantum-Computing-Universitat-Polit-cnica-De-Catalunya-Upc-Barcelona-Tech=sGe52nlV7RGUYQAlkGUTnw.html
141,141,Postdoctoral Fellow in Theoretical Physics (2),Stockholm University,Sweden,to have openings for two postdoctoral positions in theoretical condensed matter physics in our group (https://tqmatter.org ): Dynamic Quantum Matter: We are interested in quantum materials that have,22 days ago,https://scholarshipdb.net/jobs-in-Sweden/Postdoctoral-Fellow-In-Theoretical-Physics-2-Stockholm-University=Gn23dx9c7RGUYQAlkGUTnw.html
142,142,"Research Associate, “Quantum Critical Matter”",TECHNISCHE UNIVERSITAT DRESDEN (TU DRESDEN),United Kingdom,"to the success of the whole institution. At the Faculty of Physics, Institute of Theoretical Physics, the Junior Research Group “Quantum Critical Matter” offers a position as Research Associate (m/f/x) (subject to",about 4 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-Quantum-Critical-Matter-Technische-Universitat-Dresden-Tu-Dresden=xB_WzBBi7RGUYQAlkGUTnw.html
143,143,Postdoc in Quantum Sensing Technology,Technical University of Denmark,Denmark,Do you want to drive an experimental project in the highly topical field of quantum-enhanced Raman spectroscopy? Do you wish to use state-of-the-art squeezed light sources in close collaboration,"Layer de la Haye, England",https://scholarshipdb.net/jobs-in-Denmark/Postdoc-In-Quantum-Sensing-Technology-Technical-University-Of-Denmark=_L0T-zxk7RGUYQAlkGUTnw.html
144,144,Assistant/Associate Professor Quantum Computer Science,Delft University of Technology,Netherlands,Activeer hoog contrast Ga naar hoofdcontent Home van TU Delft Werken bij TU Delft Vacatures Wetenschapper PhD Tenure track Postdoc Professional Zoeken Werken bij TU Delft Vacatures Menu sluiten,3 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-Associate-Professor-Quantum-Computer-Science-Delft-University-Of-Technology=9U2bmFVj7RGUYQAlkGUTnw.html
147,147,Research Associate (m/f/x) (w22-404),TU Dresden,Germany,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,"Dresden, Sachsen",https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-W22-404-Tu-Dresden=K-2Ulthk7RGUYQAlkGUTnw.html
148,148,Postdoctoral Research Fellow in Applied Quantum Computing,OsloMet – Oslo Metropolitan University,Norway,"Job Description A Postdoctoral Fellow position in the field of Quantum Computing (QC) is offered for a period of two years, with a possible extension for another year, at the Department",about 3 hours ago,https://scholarshipdb.net/jobs-in-Norway/Postdoctoral-Research-Fellow-In-Applied-Quantum-Computing-Oslo-Met-Oslo-Metropolitan-University=9Kre-XJY7RGUYQAlkGUTnw.html
149,149,Research Associate (m/f/x),Technische Universität Dresden (TU Dresden),Germany,"to the success of the whole institution. At the Faculty of Physics, Institute of Theoretical Physics, the Junior Research Group “Quantum Critical Matter” offers a position as Research Associate (m/f/x) (subject to",17 days ago,https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-Technische-Universit-t-Dresden-Tu-Dresden=BmgHqdRh7RGUYQAlkGUTnw.html
150,150,Postdoc Position in Probing General Relativity with Black Holes,University of Southern Denmark (SDU),Denmark,"particular gravity theory beyond General Relativity, from black holes. The research team – consisting of several PhD students, postdocs, long-term visitors and master students – explores questions in quantum","Dresden, Sachsen",https://scholarshipdb.net/jobs-in-Denmark/Postdoc-Position-In-Probing-General-Relativity-With-Black-Holes-University-Of-Southern-Denmark-Sdu=F-hq0cdc7RGUYQAlkGUTnw.html
151,151,"Research Associate, Communication Technology",TECHNISCHE UNIVERSITAT DRESDEN (TU DRESDEN),United Kingdom,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,about 15 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-Communication-Technology-Technische-Universitat-Dresden-Tu-Dresden=BLx4H65k7RGUYQAlkGUTnw.html
152,152,EP-29 Researcher on Second generation photonic chip design DTIF project (Cornerstone process...,Tyndall National Institute,Ireland,EP-29 Researcher on Second generation photonic chip design DTIF project (Cornerstone process quantum core2) Contract: Full Time/ Specified Purpose (6 months) Tyndall National Institute at University,9 days ago,https://scholarshipdb.net/jobs-in-Ireland/Ep-29-Researcher-On-Second-Generation-Photonic-Chip-Design-Dtif-Project-Cornerstone-Process-Tyndall-National-Institute=0lLSu3pV7RGUYQAlkGUTnw.html
153,153,Staff Research Physicist- Diamond Quantum Devices and Microelectronics,Princeton University,United States,"The Princeton Plasma Physics Laboratory (PPPL) is looking for a research scientist to lead research on the operation, diagnosis, simulation, and optimization of plasma processing for quantum and","Layer de la Haye, England",https://scholarshipdb.net/jobs-in-United-States/Staff-Research-Physicist-Diamond-Quantum-Devices-And-Microelectronics-Princeton-University=SqFM8NZl7RGUYQAlkGUTnw.html
154,154,PhD project on Fabrication and Physics of Semiconductor Nanolasers,Technical University of Denmark,Denmark,We have an opening for an experimental PhD project in the Quantum and Laser Photonics Group. The project will focus on new types of semiconductor lasers for applications in quantum and information,2 days ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Project-On-Fabrication-And-Physics-Of-Semiconductor-Nanolasers-Technical-University-Of-Denmark=Z75RK3Fj7RGUYQAlkGUTnw.html
155,155,Postdoctoral Research Fellow,University of Exeter,United Kingdom,"Fellow working in the area of quantum computing and topological data analysis. The post is offered to work in the group of Dr. Oleksandr Kyriienko (Department of Physics, University of Exeter). A","Cork, Munster",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Fellow-University-Of-Exeter=oAK-Espc7RGUYQAlkGUTnw.html
156,156,"Research Engineer, SCIS",SINGAPORE MANAGEMENT UNIVERSITY,Europe,"in technical discussion with NQCH on incorporating the implementation into their code repository. Qualifications Minimum Master’s/PhD degree in Computer Science, Quantum Information Science or closely",22 days ago,https://scholarshipdb.net/jobs-in-Europe/Research-Engineer-Scis-Singapore-Management-University=M8HaQvpc7RGUYQAlkGUTnw.html
163,163,PhD position: Probing the electronic bandstructure of Kagome metals and superconductors,Monash University,Australia,"will have profound implications in fundamental science and future technologies, such as dissipationless electronics and topological quantum computing. The recent discovery in 2018 of ferromagnetic Kagome",about 11 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Probing-The-Electronic-Bandstructure-Of-Kagome-Metals-And-Superconductors-Monash-University=Yi0Y49Jj7RGUYQAlkGUTnw.html
164,164,Research Fellow - Post Quantum Cryptography,Queen's University Belfast ;,United Kingdom,"University Belfast, is seeking a Research Fellow to conduct research into the design and implementation of practical, robust and physically secure post-quantum cryptographic architectures at the Centre","Belfast, Northern Ireland",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Post-Quantum-Cryptography-Queen-s-University-Belfast=FsxvqXJk7RGUYQAlkGUTnw.html
165,165,"Research Scientist, Quantum Information Sciences",Purdue University,United States,"What You'll Be Doing: As the Research Scientist, Quantum Information Science (QIS), you will explore/research, recommend, obtain funding for, and execute cyberinfrastructure projects that leverage",3 days ago,https://scholarshipdb.net/jobs-in-United-States/Research-Scientist-Quantum-Information-Sciences-Purdue-University=UXMZsIFf7RGUYQAlkGUTnw.html
166,166,Research Associate (m/f/x),Technische Universität Dresden (TU Dresden),Germany,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,"West Lafayette, Indiana",https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-Technische-Universit-t-Dresden-Tu-Dresden=r-Yqxq1i7RGUYQAlkGUTnw.html
167,167,Senior Research Associate in Superconducting Quantum Devices for Dark Matter Experiments - 0968-22,Lancaster University,United Kingdom,". The candidate should have a PhD in experimental condensed matter physics or in a related discipline, and have the potential to be a leader in the field. Experience with nanofabricating and using quantum",7 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Senior-Research-Associate-In-Superconducting-Quantum-Devices-For-Dark-Matter-Experiments-0968-22-Lancaster-University=uiiN_6JR7RGUYQAlkGUTnw.html
168,168,PhD student in Computational Chemistry,Leibniz Institute of Plant Biochemistry,Germany,"The Leibniz Institute of Plant Biochemistry in Halle (Saale), a research institute of the Leibniz Association, is offering a three-year position in the frame of a DFG-funded project for a: PhD","Dresden, Sachsen",https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Student-In-Computational-Chemistry-Leibniz-Institute-Of-Plant-Biochemistry=bmk3Ge9j7RGUYQAlkGUTnw.html
169,169,PhD position: Light transformed materials,Monash University,Australia,Topological materials – with their unique electronic properties dictated by the topology of quantum mechanical states – are on the verge of revolutionising the fields of advanced materials,about 15 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Light-Transformed-Materials-Monash-University=NRnl1tJj7RGUYQAlkGUTnw.html
170,170,Research Fellow (Experimental Condensed Matter Physics),Nanyang Technological University,Singapore,We are seeking highly motivated Research Fellows for a recently awarded 3-year cross-institutional research programme on atomic-precision silicon quantum devices. The program seeks to develop atomic,"Lancaster, England",https://scholarshipdb.net/jobs-in-Singapore/Research-Fellow-Experimental-Condensed-Matter-Physics-Nanyang-Technological-University=KRGCqXlQ7RGUYQAlkGUTnw.html
171,171,Research Associate (m/f/x) (w22-406),TU Dresden,Germany,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,about 6 hours ago,https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-W22-406-Tu-Dresden=cmSFgdhk7RGUYQAlkGUTnw.html
172,172,Research Associate (m/f/x) (w22-405),TU Dresden,Germany,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,"Halle, Sachsen Anhalt",https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-W22-405-Tu-Dresden=jxcVkNhk7RGUYQAlkGUTnw.html
181,181,Two Postdoctoral Positions in Quantum Technologies (# of pos: 2),Consejo Superior de Investigaciones Científicas (CSIC),Spain,"the other hand, introducing novel materials in the qubit device production. Interested candidates are expected to: Hold a PhD in Physics, Materials Science, Nanotech, Quantum, HEP, etc. Be experienced in",22 days ago,https://scholarshipdb.net/jobs-in-Spain/Two-Postdoctoral-Positions-In-Quantum-Technologies-Of-Pos-2-Consejo-Superior-De-Investigaciones-Cient-ficas-Csic=QjCmBZRU7RGUYQAlkGUTnw.html
182,182,PhD position: Exciton dynamics of organic semiconductors in optoelectronic devices,Max-Planck Institute for Polymer Research,Germany,"Job Offer from October 24, 2022 About the position: We are looking for highly motivated and talented PhD students to conduct research in the field of molecular electronics and photophysics","Mainz, Rheinland Pfalz",https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Position-Exciton-Dynamics-Of-Organic-Semiconductors-In-Optoelectronic-Devices-Max-Planck-Institute-For-Polymer-Research=eYLwOs5l7RGUYQAlkGUTnw.html
183,183,Postdoc in Experimental Quantum Magnetism,ETH Zurich,Switzerland,"quantum phases, excitations and phase transitions in frustrated quantum magnets. The successful candidate will synthesize single crystal samples of novel frustrated compounds and study their spectroscopic",about 22 hours ago,https://scholarshipdb.net/jobs-in-Switzerland/Postdoc-In-Experimental-Quantum-Magnetism-Eth-Zurich=Ce-bgQli7RGUYQAlkGUTnw.html
184,184,"Research Associate, Institute of Communication Technology",TECHNISCHE UNIVERSITAT DRESDEN (TU DRESDEN),United Kingdom,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,about 11 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-Institute-Of-Communication-Technology-Technische-Universitat-Dresden-Tu-Dresden=H8BUya1k7RGUYQAlkGUTnw.html
185,185,"Research Associate, Institute of Communication Technology",TECHNISCHE UNIVERSITAT DRESDEN (TU DRESDEN),United Kingdom,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,"Layer de la Haye, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-Institute-Of-Communication-Technology-Technische-Universitat-Dresden-Tu-Dresden=xnNY6a1k7RGUYQAlkGUTnw.html
186,186,Research Associate,University of Sheffield,United Kingdom,November 2022 Are you interested in working for a world top 100 University? We are seeking to appoint a post-doctoral research assistant for the Programme Grant on “Quantum and Many Body Physics Enabled by,2 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-University-Of-Sheffield=WcXug-RO7RGUYQAlkGUTnw.html
187,187,Post-Doct Research Assoc,University of Tennessee,United States,"Post-Doct Research Assoc - 22000002KN Description Postdoctoral Research Associate Materials Science and Engineering Description: The research group of Quantum Magnetism in Materials and Devices, led","Layer de la Haye, England",https://scholarshipdb.net/jobs-in-United-States/Post-Doct-Research-Assoc-University-Of-Tennessee=WeUh5pFg7RGUYQAlkGUTnw.html
188,188,Associate or Full Professor of Quantum Information Science,Purdue University,United States,", quantum topology, quantum algebra, and applied mathematics are encouraged to apply. Qualifications Candidates must have a PhD in physics, chemistry, computer science, mathematics or other closely related",2 days ago,https://scholarshipdb.net/jobs-in-United-States/Associate-Or-Full-Professor-Of-Quantum-Information-Science-Purdue-University=1JWhaABR7RGUYQAlkGUTnw.html
189,189,Assistant Professor of Quantum Information Science,Purdue University,United States,", quantum topology, quantum algebra, and applied mathematics are encouraged to apply. Qualifications Candidates must have a PhD in physics, chemistry, computer science, mathematics or other closely related","Sheffield, England",https://scholarshipdb.net/jobs-in-United-States/Assistant-Professor-Of-Quantum-Information-Science-Purdue-University=yPx-NgBR7RGUYQAlkGUTnw.html
190,190,Research Associate,Imperial College London ;,United Kingdom,The essential requirements for this post are as follow: Hold a PhD in Mathematics or equivalent level of professional qualification in Mathematics or Quantum Physics A broad and strong background in numerical,29 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-Imperial-College-London=cKb9ljRS7RGUYQAlkGUTnw.html
199,199,International Max Planck Research School for Chemistry and Physics of Quantum Materials IMPRS for Chemistry and Physics of Quantum Materials,Max Planck Institute for Chemical Physics of Solids •,Germany,"Physics of Quantum Materials (IMPRS-CPQM) is a joint PhD programme between the Max Planck Institute for Chemical Physics of Solids (MPI CPfS) in Dresden, Germany, the Technische Universität Dresden (TU","Dresden, Sachsen",https://scholarshipdb.net/scholarships-in-Germany/International-Max-Planck-Research-School-For-Chemistry-And-Physics-Of-Quantum-Materials-Imprs-For-Chemistry-And-Physics-Of-Quantum-Materials-Max-Planck-Institute-For-Chemical-Physics-Of-Solids=8OCgsatj7RGUYQAlkGUTnw.html
200,200,Research Associate (m/f/x),Technische Universität Dresden (TU Dresden),Germany,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,about 11 hours ago,https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-Technische-Universit-t-Dresden-Tu-Dresden=A4k-2a1i7RGUYQAlkGUTnw.html
201,201,Research Associate (m/f/x),Technische Universität Dresden (TU Dresden),Germany,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,"Dresden, Sachsen",https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-Technische-Universit-t-Dresden-Tu-Dresden=8CCE0q1i7RGUYQAlkGUTnw.html
202,202,Research Associate in Mathematics,Imperial College London,United Kingdom,"of the Imperial Centre for Quantum Engineering, Science and Technology. Essential requirements Hold a PhD in Mathematics (or equivalent) or a closely related discipline (e.g. Quantum Physics) A broad and strong",about 15 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-In-Mathematics-Imperial-College-London=bq5_T7ZP7RGUYQAlkGUTnw.html
203,203,15 Marie Skłodowska-Curie fellowships for European Joint Doctorates (# of pos: 2),The Cyprus Institute,Cyprus,Applications are invited for 15 Marie Skłodowska-Curie fellowships within the European Joint Doctorate program AQTIVATE starting the Fall Semester of 2023 for a duration of three years. The 15 PhD,"Dresden, Sachsen",https://scholarshipdb.net/jobs-in-Cyprus/15-Marie-Sk-odowska-Curie-Fellowships-For-European-Joint-Doctorates-Of-Pos-2-The-Cyprus-Institute=zVzBeYdR7RGUYQAlkGUTnw.html
204,204,Call for Expressions of Interest – Multiple Academic and Engineering roles with Defence Trailblazer,University of Adelaide,Australia,"PhDs strongly regarded, and experience related to our research themes including: Quantum physics, computation, engineering systems, optics, communication, lasers and quantum electronics, and related",about 15 hours ago,https://scholarshipdb.net/jobs-in-Australia/Call-For-Expressions-Of-Interest-Multiple-Academic-And-Engineering-Roles-With-Defence-Trailblazer-University-Of-Adelaide=LcDN_4dm7RGUYQAlkGUTnw.html
205,205,Postdoctoral Research Associate,The University of Edinburgh ;,United Kingdom,"the Higgs Centre for Theoretical Physics, to work on gauge-theory scattering amplitudes motivated by collider physics and the broader context of quantum field theory. The Opportunity: The Research Associate","South Kensington, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Associate-The-University-Of-Edinburgh=XnYAczNc7RGUYQAlkGUTnw.html
206,206,Research Associate – SEM/FIB & STEM,University of British Columbia,Canada,of projects both with academia and industry. The QMEMC is seeking a PhD-level scientific researcher to support research thrusts using electron microscopy and spectroscopy to study quantum materials,about 2 hours ago,https://scholarshipdb.net/jobs-in-Canada/Research-Associate-Sem-Fib-Stem-University-Of-British-Columbia=pzHAy0lX7RGUYQAlkGUTnw.html
207,207,Chair Professor/Professor/Associate Professor/Assistant Professor in the Department of Physics,City University of Hong Kong,Hong Kong,"region. Presently, research activities within the department are broadly organized into five theme areas: Theory and Computational Physics; Spectroscopy and Imaging; Quantum Materials; Soft Matter and",26 days ago,https://scholarshipdb.net/jobs-in-Hong-Kong/Chair-Professor-Professor-Associate-Professor-Assistant-Professor-In-The-Department-Of-Physics-City-University-Of-Hong-Kong=i4z0M3Nk7RGUYQAlkGUTnw.html
208,208,PhD position: Realizing new intrinsic magnetic topological insulators and heterostructures for lossless transport applications at high temperature,Monash University,Australia,"topological insulator that hosts both intrinsic magnetism and topological protection. In thin film form, MnBi2Te4 is a quantum anomalous Hall insulator, where current flows along chiral edge states without","Adelaide, South Australia",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Realizing-New-Intrinsic-Magnetic-Topological-Insulators-And-Heterostructures-For-Lossless-Transport-Applications-At-High-Temperature-Monash-University=bi0Y49Jj7RGUYQAlkGUTnw.html
217,217,Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Physics Bonn-Cologne Graduate School: PhD in Physics,University of Bonn •,Germany,Degree Dr rer nat (PhD equivalent) in Physics In cooperation with University of Cologne Teaching language English Languages The entire programme is taught in English. Programme duration 6 semesters,"Bonn, Nordrhein Westfalen",https://scholarshipdb.net/scholarships-in-Germany/Bonn-Cologne-Graduate-School-Of-Physics-And-Astronomy-Ph-D-In-Physics-Bonn-Cologne-Graduate-School-Ph-D-In-Physics-University-Of-Bonn=zn8lWNZi7RGUYQAlkGUTnw.html
218,218,PhD Stipend in Edge computing offloading for PQC communication channels (8-22099),Aalborg University,Denmark,"PhD Stipend in Edge computing offloading for PQC communication channels (8-22099) At the Technical Faculty of IT and Design, Department of Electronic Systems, Campus Copenhagen, a PhD stipend in",about 12 hours ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Stipend-In-Edge-Computing-Offloading-For-Pqc-Communication-Channels-8-22099-Aalborg-University=VYivQydf7RGUYQAlkGUTnw.html
219,219,Research Associate,King's College London,United Kingdom,good knowledge of Quantum Spectral Curve technique. The post is available as of 1 May 2023. Responsibility to: Professor Nikolay Gromov (Principal Investigators) This post will be offered on a fixed-term,about 5 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Anchor-Anchor-Research-Associate-Anchor-King-s-College-London=S3m3z_Bl7RGUYQAlkGUTnw.html
220,220,REANNOUNCEMENT - Postdoc Position in Probing General Relativity with Black Holes,University of Southern Denmark,Denmark,"insights in fundamental physics, in particular gravity theory beyond General Relativity, from black holes. The research team - consisting of several PhD students, postdocs, long-term visitors and master","Strand, England",https://scholarshipdb.net/jobs-in-Denmark/Reannouncement-Postdoc-Position-In-Probing-General-Relativity-With-Black-Holes-University-Of-Southern-Denmark=c_ZcYqth7RGUYQAlkGUTnw.html
221,221,"Tenure-Track or Tenured Faculty Position in QIS, QT, Applied Cryptography, and Cybersecurity",Okinawa Institute of Science and Technology Graduate University ;,Japan,". Applications in the following fields are invited: 1. Quantum Information Science and Quantum Technology Particular emphases in quantum algorithms, and quantum error correction. 2. Applied Cryptography and Cyber",about 20 hours ago,https://scholarshipdb.net/jobs-in-Japan/Tenure-Track-Or-Tenured-Faculty-Position-In-Qis-Qt-Applied-Cryptography-And-Cybersecurity-Okinawa-Institute-Of-Science-And-Technology-Graduate-University=gUYpT9BT7RGUYQAlkGUTnw.html
222,222,"Research Associate – SEM/FIB & STEM, at Stewart Blusson Quantum…",The University of British Columbia (UBC),Canada,state of the art facility that supports not only quantum material research but a wide range of projects both with academia and industry. The QMEMC is seeking a PhD-level scientific researcher to support,about 3 hours ago,https://scholarshipdb.net/jobs-in-Canada/Research-Associate-Sem-Fib-Stem-At-Stewart-Blusson-Quantum-The-University-Of-British-Columbia-Ubc=U3iT4r9c7RGUYQAlkGUTnw.html
223,223,Research Fellow (Semiconductor Device Technology and in Quantum Physics),National University of Singapore,Singapore,circuits and quantum technology. Qualifications •    Possess a PhD Degree in Electrical Engineering with strong knowledge in semiconductor device technology and in quantum physics. •    Strong knowledge in,24 days ago,https://scholarshipdb.net/jobs-in-Singapore/Research-Fellow-Semiconductor-Device-Technology-And-In-Quantum-Physics-National-University-Of-Singapore=omO8UtZc7RGUYQAlkGUTnw.html
224,224,Chair Professor/Professor/Associate Professor/Assistant Professor in…,City University of Hong Kong (CityU),China,"region. Presently, research activities within the department are broadly organized into five theme areas: Theory and Computational Physics; Spectroscopy and Imaging; Quantum Materials; Soft Matter and","Vancouver Waterfront Coal Harbour Canada Place, British Columbia",https://scholarshipdb.net/jobs-in-China/Chair-Professor-Professor-Associate-Professor-Assistant-Professor-In-City-University-Of-Hong-Kong-City-U=iOa_WLBi7RGUYQAlkGUTnw.html
